fundDate,fundVal,readFlag,ingeniumDate,fundYoyVal,fundYtdVal,fundDesc,fundCurrency,weekly,risk,status,fundCode,fundName
2021-06-18,0.9037,true,2021-06-17,7.0735,-0.725,Dynamic,PHP,N,17,A,SLPDF,Dynamic Fund
2021-06-17,0.9073,true,2021-06-16,8.1278,-0.3296,Dynamic,PHP,N,17,A,SLPDF,Dynamic Fund
2021-06-16,0.9168,true,2021-06-15,9.3251,0.7141,Dynamic,PHP,N,17,A,SLPDF,Dynamic Fund
2021-06-15,0.9157,true,2021-06-14,10.2456,0.5932,Dynamic,PHP,N,17,A,SLPDF,Dynamic Fund
2021-06-14,0.9093,true,2021-06-13,5.9543,-0.1099,Dynamic,PHP,N,17,A,SLPDF,Dynamic Fund
2021-06-11,0.9069,true,2021-06-10,5.6747,-0.3735,Dynamic,PHP,N,17,A,SLPDF,Dynamic Fund
2021-06-10,0.9005,true,2021-06-09,5.5191,-1.0766,Dynamic,PHP,N,17,A,SLPDF,Dynamic Fund
2021-06-09,0.9048,true,2021-06-08,4.4683,-0.6042,Dynamic,PHP,N,17,A,SLPDF,Dynamic Fund
2021-06-08,0.8931,true,2021-06-07,3.9939,-1.8895,Dynamic,PHP,N,17,A,SLPDF,Dynamic Fund
2021-06-07,0.8895,true,2021-06-06,3.6472,-2.285,Dynamic,PHP,N,17,A,SLPDF,Dynamic Fund
2021-06-04,0.8937,true,2021-06-03,3.5574,-1.8236,Dynamic,PHP,N,17,A,SLPDF,Dynamic Fund
2021-06-03,0.8916,true,2021-06-02,5.8656,-2.0543,Dynamic,PHP,N,17,A,SLPDF,Dynamic Fund
2021-06-02,0.8966,true,2021-06-01,8.6524,-1.505,Dynamic,PHP,N,17,A,SLPDF,Dynamic Fund
2021-06-01,0.8746,true,2021-05-31,6.5676,-3.9218,Dynamic,PHP,N,17,A,SLPDF,Dynamic Fund
2021-05-31,0.8733,true,2021-05-30,7.1665,-4.0646,Dynamic,PHP,N,17,A,SLPDF,Dynamic Fund
2021-05-28,0.878,true,2021-05-27,11.266,-3.5483,Dynamic,PHP,N,17,A,SLPDF,Dynamic Fund
2021-05-27,0.874,true,2021-05-26,11.5223,-3.9877,Dynamic,PHP,N,17,A,SLPDF,Dynamic Fund
2021-05-26,0.8441,true,2021-05-25,8.0102,-7.2723,Dynamic,PHP,N,17,A,SLPDF,Dynamic Fund
2021-05-25,0.8299,true,2021-05-24,5.9492,-8.8323,Dynamic,PHP,N,17,A,SLPDF,Dynamic Fund
2021-05-24,0.8275,true,2021-05-23,5.6428,-9.0959,Dynamic,PHP,N,17,A,SLPDF,Dynamic Fund
2021-05-21,0.8324,true,2021-05-20,5.5943,-8.5576,Dynamic,PHP,N,17,A,SLPDF,Dynamic Fund
2021-05-20,0.8321,true,2021-05-19,5.7709,-8.5906,Dynamic,PHP,N,17,A,SLPDF,Dynamic Fund
2021-05-19,0.8353,true,2021-05-18,6.2858,-8.239,Dynamic,PHP,N,17,A,SLPDF,Dynamic Fund
2021-05-18,0.8336,true,2021-05-17,6.7623,-8.4258,Dynamic,PHP,N,17,A,SLPDF,Dynamic Fund
2021-05-17,0.838,true,2021-05-16,6.6972,-7.9424,Dynamic,PHP,N,17,A,SLPDF,Dynamic Fund
2021-05-14,0.8341,true,2021-05-13,4.9182,-8.3709,Dynamic,PHP,N,17,A,SLPDF,Dynamic Fund
2021-05-12,0.8319,true,2021-05-11,4.879,-8.6125,Dynamic,PHP,N,17,A,SLPDF,Dynamic Fund
2021-05-11,0.8403,true,2021-05-10,5.4991,-7.6898,Dynamic,PHP,N,17,A,SLPDF,Dynamic Fund
2021-05-10,0.8387,true,2021-05-09,5.5234,-7.8655,Dynamic,PHP,N,17,A,SLPDF,Dynamic Fund
2021-05-07,0.8327,true,2021-05-06,4.4007,-8.5247,Dynamic,PHP,N,17,A,SLPDF,Dynamic Fund
2021-05-06,0.8356,true,2021-05-05,5.1334,-8.2061,Dynamic,PHP,N,17,A,SLPDF,Dynamic Fund
