fundDate,fundVal,readFlag,ingeniumDate,fundYoyVal,fundYtdVal,fundDesc,fundCurrency,weekly,risk,status,fundCode,fundName
2021-11-08,0.8393,true,2021-11-07,11.7428,1.5979,Captains,PHP,N,21,A,SLPCP,Sun Life Phils - Captains Fund
2021-11-05,0.8342,true,2021-11-04,11.6136,0.9805,Captains,PHP,N,21,A,SLPCP,Sun Life Phils - Captains Fund
2021-11-04,0.821,true,2021-11-03,13.8223,-0.6174,Captains,PHP,N,21,A,SLPCP,Sun Life Phils - Captains Fund
2021-11-03,0.8203,true,2021-11-02,16.7853,-0.7021,Captains,PHP,N,21,A,SLPCP,Sun Life Phils - Captains Fund
2021-11-02,0.8125,true,2021-11-01,15.5104,-1.6463,Captains,PHP,N,21,A,SLPCP,Sun Life Phils - Captains Fund
2021-10-29,0.8103,true,2021-10-28,16.4224,-1.9126,Captains,PHP,N,21,A,SLPCP,Sun Life Phils - Captains Fund
2021-10-28,0.8161,true,2021-10-27,15.0733,-1.2105,Captains,PHP,N,21,A,SLPCP,Sun Life Phils - Captains Fund
2021-10-27,0.8317,true,2021-10-26,16.7134,0.6779,Captains,PHP,N,21,A,SLPCP,Sun Life Phils - Captains Fund
2021-10-26,0.8365,true,2021-10-25,15.0619,1.2589,Captains,PHP,N,21,A,SLPCP,Sun Life Phils - Captains Fund
2021-10-25,0.8402,true,2021-10-24,14.6092,1.7068,Captains,PHP,N,21,A,SLPCP,Sun Life Phils - Captains Fund
2021-10-22,0.8496,true,2021-10-21,20.374,2.8447,Captains,PHP,N,21,A,SLPCP,Sun Life Phils - Captains Fund
2021-10-21,0.8549,true,2021-10-20,21.9544,3.4863,Captains,PHP,N,21,A,SLPCP,Sun Life Phils - Captains Fund
2021-10-20,0.838,true,2021-10-19,22.3001,1.4405,Captains,PHP,N,21,A,SLPCP,Sun Life Phils - Captains Fund
2021-10-19,0.8398,true,2021-10-18,25.2872,1.6584,Captains,PHP,N,21,A,SLPCP,Sun Life Phils - Captains Fund
2021-10-18,0.8344,true,2021-10-17,27.0595,1.0047,Captains,PHP,N,21,A,SLPCP,Sun Life Phils - Captains Fund
2021-10-15,0.8312,true,2021-10-14,25.4831,0.6174,Captains,PHP,N,21,A,SLPCP,Sun Life Phils - Captains Fund
2021-10-14,0.8255,true,2021-10-13,25.2086,-0.0726,Captains,PHP,N,21,A,SLPCP,Sun Life Phils - Captains Fund
2021-10-13,0.8129,true,2021-10-12,24.927,-1.5979,Captains,PHP,N,21,A,SLPCP,Sun Life Phils - Captains Fund
2021-10-12,0.8121,true,2021-10-11,25.3241,-1.6947,Captains,PHP,N,21,A,SLPCP,Sun Life Phils - Captains Fund
2021-10-11,0.7993,true,2021-10-10,22.1798,-3.2442,Captains,PHP,N,21,A,SLPCP,Sun Life Phils - Captains Fund
2021-10-08,0.7829,true,2021-10-07,20.0215,-5.2294,Captains,PHP,N,21,A,SLPCP,Sun Life Phils - Captains Fund
2021-10-07,0.7858,true,2021-10-06,22.1704,-4.8783,Captains,PHP,N,21,A,SLPCP,Sun Life Phils - Captains Fund
2021-10-06,0.8023,true,2021-10-05,24.1758,-2.881,Captains,PHP,N,21,A,SLPCP,Sun Life Phils - Captains Fund
2021-10-05,0.8006,true,2021-10-04,23.321,-3.0868,Captains,PHP,N,21,A,SLPCP,Sun Life Phils - Captains Fund
2021-10-04,0.7991,true,2021-10-03,23.2989,-3.2684,Captains,PHP,N,21,A,SLPCP,Sun Life Phils - Captains Fund
2021-10-01,0.7869,true,2021-09-30,22.4366,-4.7452,Captains,PHP,N,21,A,SLPCP,Sun Life Phils - Captains Fund
2021-09-30,0.7886,true,2021-09-29,23.9158,-4.5394,Captains,PHP,N,21,A,SLPCP,Sun Life Phils - Captains Fund
2021-09-29,0.7838,true,2021-09-28,23.7253,-5.1204,Captains,PHP,N,21,A,SLPCP,Sun Life Phils - Captains Fund
2021-09-28,0.7782,true,2021-09-27,21.8794,-5.7983,Captains,PHP,N,21,A,SLPCP,Sun Life Phils - Captains Fund
2021-09-27,0.7937,true,2021-09-26,24.4824,-3.922,Captains,PHP,N,21,A,SLPCP,Sun Life Phils - Captains Fund
