fundDate,fundVal,readFlag,ingeniumDate,fundYoyVal,fundYtdVal,fundDesc,fundCurrency,weekly,risk,status,fundCode,fundName
2022-01-28,2.0566,true,2022-01-27,-5.9625,-4.362,Dollar Bond,USD,N,1,A,SLUBF,Sun Life Phils - Dollar Bond Fund
2022-01-27,2.0552,true,2022-01-26,-6.1081,-4.4271,Dollar Bond,USD,N,1,A,SLUBF,Sun Life Phils - Dollar Bond Fund
2022-01-26,2.0687,true,2022-01-25,-5.2055,-3.7993,Dollar Bond,USD,N,1,A,SLUBF,Sun Life Phils - Dollar Bond Fund
2022-01-25,2.0713,true,2022-01-24,-5.1603,-3.6784,Dollar Bond,USD,N,1,A,SLUBF,Sun Life Phils - Dollar Bond Fund
2022-01-24,2.0783,true,2022-01-23,-4.8005,-3.3529,Dollar Bond,USD,N,1,A,SLUBF,Sun Life Phils - Dollar Bond Fund
2022-01-21,2.0799,true,2022-01-20,-4.9927,-3.2785,Dollar Bond,USD,N,1,A,SLUBF,Sun Life Phils - Dollar Bond Fund
2022-01-20,2.0684,true,2022-01-19,-5.4057,-3.8132,Dollar Bond,USD,N,1,A,SLUBF,Sun Life Phils - Dollar Bond Fund
2022-01-19,2.0603,true,2022-01-18,-5.4865,-4.1899,Dollar Bond,USD,N,1,A,SLUBF,Sun Life Phils - Dollar Bond Fund
2022-01-18,2.0676,true,2022-01-17,-4.9161,-3.8504,Dollar Bond,USD,N,1,A,SLUBF,Sun Life Phils - Dollar Bond Fund
2022-01-17,2.0883,true,2022-01-16,-3.9332,-2.8878,Dollar Bond,USD,N,1,A,SLUBF,Sun Life Phils - Dollar Bond Fund
2022-01-14,2.0919,true,2022-01-13,-3.7366,-2.7204,Dollar Bond,USD,N,1,A,SLUBF,Sun Life Phils - Dollar Bond Fund
2022-01-13,2.1128,true,2022-01-12,-2.4246,-1.7485,Dollar Bond,USD,N,1,A,SLUBF,Sun Life Phils - Dollar Bond Fund
2022-01-12,2.1157,true,2022-01-11,-2.25,-1.6137,Dollar Bond,USD,N,1,A,SLUBF,Sun Life Phils - Dollar Bond Fund
2022-01-11,2.1141,true,2022-01-10,-2.8581,-1.6881,Dollar Bond,USD,N,1,A,SLUBF,Sun Life Phils - Dollar Bond Fund
2022-01-10,2.1052,true,2022-01-09,-3.3603,-2.1019,Dollar Bond,USD,N,1,A,SLUBF,Sun Life Phils - Dollar Bond Fund
2022-01-07,2.1171,true,2022-01-06,-3.1563,-1.5485,Dollar Bond,USD,N,1,A,SLUBF,Sun Life Phils - Dollar Bond Fund
2022-01-06,2.1197,true,2022-01-05,-3.5272,-1.4276,Dollar Bond,USD,N,1,A,SLUBF,Sun Life Phils - Dollar Bond Fund
2022-01-05,2.1354,true,2022-01-04,-3.2793,-0.6975,Dollar Bond,USD,N,1,A,SLUBF,Sun Life Phils - Dollar Bond Fund
2022-01-04,2.1377,true,2022-01-03,-3.1444,-0.5906,Dollar Bond,USD,N,1,A,SLUBF,Sun Life Phils - Dollar Bond Fund
2022-01-03,2.1514,true,2022-01-02,-2.1869,0.0465,Dollar Bond,USD,N,1,A,SLUBF,Sun Life Phils - Dollar Bond Fund
2021-12-31,2.1504,true,2021-12-30,-2.2323,-2.2323,Dollar Bond,USD,N,1,A,SLUBF,Sun Life Phils - Dollar Bond Fund
2021-12-29,2.1512,true,2021-12-28,-2.196,-2.196,Dollar Bond,USD,N,1,A,SLUBF,Sun Life Phils - Dollar Bond Fund
2021-12-28,2.1513,true,2021-12-27,-2.1603,-2.1914,Dollar Bond,USD,N,1,A,SLUBF,Sun Life Phils - Dollar Bond Fund
2021-12-27,2.1511,true,2021-12-26,-2.2405,-2.2005,Dollar Bond,USD,N,1,A,SLUBF,Sun Life Phils - Dollar Bond Fund
2021-12-24,2.1502,true,2021-12-23,-2.2814,-2.2414,Dollar Bond,USD,N,1,A,SLUBF,Sun Life Phils - Dollar Bond Fund
2021-12-23,2.1505,true,2021-12-22,-2.2678,-2.2278,Dollar Bond,USD,N,1,A,SLUBF,Sun Life Phils - Dollar Bond Fund
2021-12-22,2.1514,true,2021-12-21,-2.2313,-2.1869,Dollar Bond,USD,N,1,A,SLUBF,Sun Life Phils - Dollar Bond Fund
2021-12-21,2.1537,true,2021-12-20,-2.0556,-2.0823,Dollar Bond,USD,N,1,A,SLUBF,Sun Life Phils - Dollar Bond Fund
2021-12-20,2.1533,true,2021-12-19,-1.6578,-2.1005,Dollar Bond,USD,N,1,A,SLUBF,Sun Life Phils - Dollar Bond Fund
2021-12-17,2.1521,true,2021-12-16,-1.6767,-2.155,Dollar Bond,USD,N,1,A,SLUBF,Sun Life Phils - Dollar Bond Fund
2021-12-16,2.1521,true,2021-12-15,-1.6363,-2.155,Dollar Bond,USD,N,1,A,SLUBF,Sun Life Phils - Dollar Bond Fund
