fundDate,fundVal,readFlag,ingeniumDate,fundYoyVal,fundYtdVal,fundDesc,fundCurrency,weekly,risk,status,fundCode,fundName
2022-03-11,1.0029,true,2022-03-10,0.2499,0.0299,Dollar Money Market,USD,N,1,A,SLUMM,Sun Life Phils - Dollar Money Market Fund
2022-03-10,1.0029,true,2022-03-09,0.2599,0.0299,Dollar Money Market,USD,N,1,A,SLUMM,Sun Life Phils - Dollar Money Market Fund
2022-03-09,1.003,true,2022-03-08,0.2699,0.0399,Dollar Money Market,USD,N,1,A,SLUMM,Sun Life Phils - Dollar Money Market Fund
2022-03-08,1.003,true,2022-03-07,0.2699,0.0399,Dollar Money Market,USD,N,1,A,SLUMM,Sun Life Phils - Dollar Money Market Fund
2022-03-07,1.0029,true,2022-03-06,0.2599,0.0299,Dollar Money Market,USD,N,1,A,SLUMM,Sun Life Phils - Dollar Money Market Fund
2022-03-04,1.0029,true,2022-03-03,0.2599,0.0299,Dollar Money Market,USD,N,1,A,SLUMM,Sun Life Phils - Dollar Money Market Fund
2022-03-03,1.003,true,2022-03-02,0.2799,0.0399,Dollar Money Market,USD,N,1,A,SLUMM,Sun Life Phils - Dollar Money Market Fund
2022-03-02,1.003,true,2022-03-01,0.2699,0.0399,Dollar Money Market,USD,N,1,A,SLUMM,Sun Life Phils - Dollar Money Market Fund
2022-03-01,1.003,true,2022-02-28,0.29,0.0399,Dollar Money Market,USD,N,1,A,SLUMM,Sun Life Phils - Dollar Money Market Fund
2022-02-28,1.0028,true,2022-02-27,0.27,0.0199,Dollar Money Market,USD,N,1,A,SLUMM,Sun Life Phils - Dollar Money Market Fund
2022-02-24,1.0029,true,2022-02-23,0.28,0.0299,Dollar Money Market,USD,N,1,A,SLUMM,Sun Life Phils - Dollar Money Market Fund
2022-02-23,1.0029,true,2022-02-22,0.28,0.0299,Dollar Money Market,USD,N,1,A,SLUMM,Sun Life Phils - Dollar Money Market Fund
2022-02-22,1.0029,true,2022-02-21,0.29,0.0299,Dollar Money Market,USD,N,1,A,SLUMM,Sun Life Phils - Dollar Money Market Fund
2022-02-21,1.0028,true,2022-02-20,0.27,0.0199,Dollar Money Market,USD,N,1,A,SLUMM,Sun Life Phils - Dollar Money Market Fund
2022-02-18,1.0029,true,2022-02-17,0.29,0.0299,Dollar Money Market,USD,N,1,A,SLUMM,Sun Life Phils - Dollar Money Market Fund
2022-02-17,1.0028,true,2022-02-16,0.28,0.0199,Dollar Money Market,USD,N,1,A,SLUMM,Sun Life Phils - Dollar Money Market Fund
2022-02-16,1.0028,true,2022-02-15,0.28,0.0199,Dollar Money Market,USD,N,1,A,SLUMM,Sun Life Phils - Dollar Money Market Fund
2022-02-15,1.0027,true,2022-02-14,0.28,0.01,Dollar Money Market,USD,N,1,A,SLUMM,Sun Life Phils - Dollar Money Market Fund
2022-02-14,1.0027,true,2022-02-13,0.28,0.01,Dollar Money Market,USD,N,1,A,SLUMM,Sun Life Phils - Dollar Money Market Fund
2022-02-11,1.0027,true,2022-02-10,0.28,0.01,Dollar Money Market,USD,N,1,A,SLUMM,Sun Life Phils - Dollar Money Market Fund
2022-02-10,1.0027,true,2022-02-09,0.28,0.01,Dollar Money Market,USD,N,1,A,SLUMM,Sun Life Phils - Dollar Money Market Fund
2022-02-09,1.0027,true,2022-02-08,0.27,0.01,Dollar Money Market,USD,N,1,A,SLUMM,Sun Life Phils - Dollar Money Market Fund
