fundDate,fundVal,readFlag,ingeniumDate,fundYoyVal,fundYtdVal,fundDesc,fundCurrency,weekly,risk,status,fundCode,fundName
2021-10-01,1.3551,true,2021-09-30,20.5069,10.1707,Global Growth,USD,N,27,A,SLUGF,Global Growth Fund
2021-09-30,1.3675,true,2021-09-29,22.0546,11.1789,Global Growth,USD,N,27,A,SLUGF,Global Growth Fund
2021-09-29,1.3741,true,2021-09-28,22.7752,11.7154,Global Growth,USD,N,27,A,SLUGF,Global Growth Fund
2021-09-28,1.4016,true,2021-09-27,27.4298,13.9512,Global Growth,USD,N,27,A,SLUGF,Global Growth Fund
2021-09-27,1.4136,true,2021-09-26,29.6881,14.9268,Global Growth,USD,N,27,A,SLUGF,Global Growth Fund
2021-09-24,1.4149,true,2021-09-23,28.9673,15.0325,Global Growth,USD,N,27,A,SLUGF,Global Growth Fund
2021-09-23,1.401,true,2021-09-22,26.524,13.9024,Global Growth,USD,N,27,A,SLUGF,Global Growth Fund
2021-09-22,1.3898,true,2021-09-21,26.4489,12.9919,Global Growth,USD,N,27,A,SLUGF,Global Growth Fund
2021-09-21,1.3915,true,2021-09-20,24.4188,13.1301,Global Growth,USD,N,27,A,SLUGF,Global Growth Fund
2021-09-20,1.4094,true,2021-09-19,25.3357,14.5854,Global Growth,USD,N,27,A,SLUGF,Global Growth Fund
2021-09-17,1.4202,true,2021-09-16,25.1278,15.4634,Global Growth,USD,N,27,A,SLUGF,Global Growth Fund
2021-09-16,1.4185,true,2021-09-15,24.6595,15.3252,Global Growth,USD,N,27,A,SLUGF,Global Growth Fund
2021-09-15,1.4148,true,2021-09-14,25.2811,15.0244,Global Growth,USD,N,27,A,SLUGF,Global Growth Fund
2021-09-14,1.4177,true,2021-09-13,27.0568,15.2602,Global Growth,USD,N,27,A,SLUGF,Global Growth Fund
2021-09-13,1.4198,true,2021-09-12,27.0742,15.4309,Global Growth,USD,N,27,A,SLUGF,Global Growth Fund
2021-09-10,1.4251,true,2021-09-09,26.6981,15.8618,Global Growth,USD,N,27,A,SLUGF,Global Growth Fund
2021-09-09,1.4291,true,2021-09-08,29.155,16.187,Global Growth,USD,N,27,A,SLUGF,Global Growth Fund
2021-09-08,1.433,true,2021-09-07,27.1179,16.5041,Global Growth,USD,N,27,A,SLUGF,Global Growth Fund
2021-09-07,1.4363,true,2021-09-06,27.4559,16.7724,Global Growth,USD,N,27,A,SLUGF,Global Growth Fund
2021-09-06,1.4353,true,2021-09-05,25.0806,16.6911,Global Growth,USD,N,27,A,SLUGF,Global Growth Fund
2021-09-03,1.4353,true,2021-09-02,21.9353,16.6911,Global Growth,USD,N,27,A,SLUGF,Global Growth Fund
2021-09-02,1.4322,true,2021-09-01,23.2318,16.439,Global Growth,USD,N,27,A,SLUGF,Global Growth Fund
2021-09-01,1.4262,true,2021-08-31,23.6089,15.9512,Global Growth,USD,N,27,A,SLUGF,Global Growth Fund
2021-08-31,1.4257,true,2021-08-30,23.6728,15.9106,Global Growth,USD,N,27,A,SLUGF,Global Growth Fund
2021-08-27,1.4099,true,2021-08-26,22.281,14.626,Global Growth,USD,N,27,A,SLUGF,Global Growth Fund
2021-08-26,1.416,true,2021-08-25,24.1125,15.122,Global Growth,USD,N,27,A,SLUGF,Global Growth Fund
2021-08-25,1.4117,true,2021-08-24,24.171,14.7724,Global Growth,USD,N,27,A,SLUGF,Global Growth Fund
2021-08-24,1.4061,true,2021-08-23,24.8092,14.3171,Global Growth,USD,N,27,A,SLUGF,Global Growth Fund
2021-08-23,1.3922,true,2021-08-22,23.5644,13.187,Global Growth,USD,N,27,A,SLUGF,Global Growth Fund
