fundDate,fundVal,readFlag,ingeniumDate,fundYoyVal,fundYtdVal,fundDesc,fundCurrency,weekly,risk,status,fundCode,fundName
2022-02-24,0.9968,true,2022-02-23,-7.0756,-3.8209,Global Income,USD,N,16,A,SLUIF,Sun Life Phils - Global Income Fund
2022-02-23,0.9976,true,2022-02-22,-7.1049,-3.7437,Global Income,USD,N,16,A,SLUIF,Sun Life Phils - Global Income Fund
2022-02-22,0.9996,true,2022-02-21,-6.9967,-3.5508,Global Income,USD,N,16,A,SLUIF,Sun Life Phils - Global Income Fund
2022-02-21,0.999,true,2022-02-20,-7.1993,-3.6086,Global Income,USD,N,16,A,SLUIF,Sun Life Phils - Global Income Fund
2022-02-18,0.9982,true,2022-02-17,-7.3166,-3.6858,Global Income,USD,N,16,A,SLUIF,Sun Life Phils - Global Income Fund
2022-02-17,0.997,true,2022-02-16,-7.5654,-3.8016,Global Income,USD,N,16,A,SLUIF,Sun Life Phils - Global Income Fund
2022-02-16,0.9959,true,2022-02-15,-7.9745,-3.9078,Global Income,USD,N,16,A,SLUIF,Sun Life Phils - Global Income Fund
2022-02-15,0.9984,true,2022-02-14,-7.7605,-3.6665,Global Income,USD,N,16,A,SLUIF,Sun Life Phils - Global Income Fund
2022-02-14,1.0019,true,2022-02-13,-7.8034,-3.3288,Global Income,USD,N,16,A,SLUIF,Sun Life Phils - Global Income Fund
2022-02-11,1.0044,true,2022-02-10,-7.5734,-3.0876,Global Income,USD,N,16,A,SLUIF,Sun Life Phils - Global Income Fund
2022-02-10,1.0072,true,2022-02-09,-7.162,-2.8174,Global Income,USD,N,16,A,SLUIF,Sun Life Phils - Global Income Fund
2022-02-09,1.0062,true,2022-02-08,-7.0743,-2.9139,Global Income,USD,N,16,A,SLUIF,Sun Life Phils - Global Income Fund
2022-02-08,1.0079,true,2022-02-07,-6.7191,-2.7499,Global Income,USD,N,16,A,SLUIF,Sun Life Phils - Global Income Fund
2022-02-07,1.0112,true,2022-02-06,-6.5002,-2.4315,Global Income,USD,N,16,A,SLUIF,Sun Life Phils - Global Income Fund
2022-02-04,1.0166,true,2022-02-03,-6.0878,-1.9105,Global Income,USD,N,16,A,SLUIF,Sun Life Phils - Global Income Fund
2022-02-03,1.0182,true,2022-02-02,-5.966,-1.7561,Global Income,USD,N,16,A,SLUIF,Sun Life Phils - Global Income Fund
2022-02-02,1.0167,true,2022-02-01,-6.2517,-1.9008,Global Income,USD,N,16,A,SLUIF,Sun Life Phils - Global Income Fund
2022-01-31,1.0161,true,2022-01-30,-6.4537,-1.9587,Global Income,USD,N,16,A,SLUIF,Sun Life Phils - Global Income Fund
