fundDate,fundVal,readFlag,ingeniumDate,fundYoyVal,fundYtdVal,fundDesc,fundCurrency,weekly,risk,status,fundCode,fundName
2021-07-19,1.394,true,2021-07-18,19.3085,7.7946,Global Opportunity,USD,N,16,A,SLUOF,Sun Life Phils - Global Opportunity Fund
2021-07-16,1.3981,true,2021-07-15,19.2003,8.1117,Global Opportunity,USD,N,16,A,SLUOF,Sun Life Phils - Global Opportunity Fund
2021-07-15,1.4014,true,2021-07-14,20.3228,8.3668,Global Opportunity,USD,N,16,A,SLUOF,Sun Life Phils - Global Opportunity Fund
2021-07-14,1.4003,true,2021-07-13,20.0634,8.2818,Global Opportunity,USD,N,16,A,SLUOF,Sun Life Phils - Global Opportunity Fund
2021-07-13,1.4,true,2021-07-12,19.8733,8.2586,Global Opportunity,USD,N,16,A,SLUOF,Sun Life Phils - Global Opportunity Fund
2021-07-12,1.3945,true,2021-07-11,19.3308,7.8333,Global Opportunity,USD,N,16,A,SLUOF,Sun Life Phils - Global Opportunity Fund
2021-07-09,1.3878,true,2021-07-08,19.0427,7.3152,Global Opportunity,USD,N,16,A,SLUOF,Sun Life Phils - Global Opportunity Fund
2021-07-08,1.399,true,2021-07-07,20.5619,8.1813,Global Opportunity,USD,N,16,A,SLUOF,Sun Life Phils - Global Opportunity Fund
2021-07-07,1.3972,true,2021-07-06,20.1892,8.0421,Global Opportunity,USD,N,16,A,SLUOF,Sun Life Phils - Global Opportunity Fund
2021-07-06,1.3958,true,2021-07-05,21.2895,7.9338,Global Opportunity,USD,N,16,A,SLUOF,Sun Life Phils - Global Opportunity Fund
2021-07-05,1.3954,true,2021-07-04,21.318,7.9029,Global Opportunity,USD,N,16,A,SLUOF,Sun Life Phils - Global Opportunity Fund
2021-07-02,1.3919,true,2021-07-01,21.8187,7.6322,Global Opportunity,USD,N,16,A,SLUOF,Sun Life Phils - Global Opportunity Fund
2021-07-01,1.3898,true,2021-06-30,22.3415,7.4698,Global Opportunity,USD,N,16,A,SLUOF,Sun Life Phils - Global Opportunity Fund
2021-06-30,1.3925,true,2021-06-29,23.372,7.6786,Global Opportunity,USD,N,16,A,SLUOF,Sun Life Phils - Global Opportunity Fund
2021-06-29,1.3929,true,2021-06-28,23.3528,7.7096,Global Opportunity,USD,N,16,A,SLUOF,Sun Life Phils - Global Opportunity Fund
2021-06-28,1.3921,true,2021-06-27,22.6844,7.6477,Global Opportunity,USD,N,16,A,SLUOF,Sun Life Phils - Global Opportunity Fund
2021-06-25,1.3881,true,2021-06-24,22.3103,7.3384,Global Opportunity,USD,N,16,A,SLUOF,Sun Life Phils - Global Opportunity Fund
2021-06-24,1.3835,true,2021-06-23,20.6821,6.9827,Global Opportunity,USD,N,16,A,SLUOF,Sun Life Phils - Global Opportunity Fund
2021-06-23,1.38,true,2021-06-22,21.1589,6.712,Global Opportunity,USD,N,16,A,SLUOF,Sun Life Phils - Global Opportunity Fund
