fundDate,fundVal,readFlag,ingeniumDate,fundYoyVal,fundYtdVal,fundDesc,fundCurrency,weekly,risk,status,fundCode,fundName
2022-02-04,0.8714,true,2022-02-03,13.0367,4.849,Growth Plus,PHP,N,18,A,SLPGP,Sun Life Phils - Growth Plus Fund
2022-02-03,0.8679,true,2022-02-02,13.229,4.4279,Growth Plus,PHP,N,18,A,SLPGP,Sun Life Phils - Growth Plus Fund
2022-02-02,0.8748,true,2022-02-01,14.4876,5.2581,Growth Plus,PHP,N,18,A,SLPGP,Sun Life Phils - Growth Plus Fund
2022-01-31,0.8635,true,2022-01-30,16.8629,3.8984,Growth Plus,PHP,N,18,A,SLPGP,Sun Life Phils - Growth Plus Fund
2022-01-28,0.8511,true,2022-01-27,11.8397,2.4064,Growth Plus,PHP,N,18,A,SLPGP,Sun Life Phils - Growth Plus Fund
2022-01-27,0.8526,true,2022-01-26,11.5531,2.5869,Growth Plus,PHP,N,18,A,SLPGP,Sun Life Phils - Growth Plus Fund
2022-01-26,0.8516,true,2022-01-25,10.411,2.4666,Growth Plus,PHP,N,18,A,SLPGP,Sun Life Phils - Growth Plus Fund
2022-01-25,0.8558,true,2022-01-24,8.9636,2.972,Growth Plus,PHP,N,18,A,SLPGP,Sun Life Phils - Growth Plus Fund
2022-01-24,0.8517,true,2022-01-23,8.483,2.4786,Growth Plus,PHP,N,18,A,SLPGP,Sun Life Phils - Growth Plus Fund
2022-01-21,0.8567,true,2022-01-20,7.9375,3.0803,Growth Plus,PHP,N,18,A,SLPGP,Sun Life Phils - Growth Plus Fund
2022-01-20,0.8539,true,2022-01-19,7.5847,2.7434,Growth Plus,PHP,N,18,A,SLPGP,Sun Life Phils - Growth Plus Fund
2022-01-19,0.8578,true,2022-01-18,7.413,3.2126,Growth Plus,PHP,N,18,A,SLPGP,Sun Life Phils - Growth Plus Fund
2022-01-18,0.8658,true,2022-01-17,8.1304,4.1752,Growth Plus,PHP,N,18,A,SLPGP,Sun Life Phils - Growth Plus Fund
2022-01-17,0.8539,true,2022-01-16,5.9955,2.7434,Growth Plus,PHP,N,18,A,SLPGP,Sun Life Phils - Growth Plus Fund
2022-01-14,0.8547,true,2022-01-13,6.0685,2.8396,Growth Plus,PHP,N,18,A,SLPGP,Sun Life Phils - Growth Plus Fund
2022-01-13,0.8595,true,2022-01-12,6.9695,3.4172,Growth Plus,PHP,N,18,A,SLPGP,Sun Life Phils - Growth Plus Fund
2022-01-12,0.8469,true,2022-01-11,5.3358,1.9011,Growth Plus,PHP,N,18,A,SLPGP,Sun Life Phils - Growth Plus Fund
2022-01-11,0.8323,true,2022-01-10,2.7277,0.1444,Growth Plus,PHP,N,18,A,SLPGP,Sun Life Phils - Growth Plus Fund
2022-01-10,0.84,true,2022-01-09,3.8319,1.0709,Growth Plus,PHP,N,18,A,SLPGP,Sun Life Phils - Growth Plus Fund
2022-01-07,0.8273,true,2022-01-06,4.4175,-0.4572,Growth Plus,PHP,N,18,A,SLPGP,Sun Life Phils - Growth Plus Fund
2022-01-06,0.8319,true,2022-01-05,6.49,0.0963,Growth Plus,PHP,N,18,A,SLPGP,Sun Life Phils - Growth Plus Fund
2022-01-05,0.8336,true,2022-01-04,5.1728,0.3008,Growth Plus,PHP,N,18,A,SLPGP,Sun Life Phils - Growth Plus Fund
2022-01-04,0.8258,true,2022-01-03,3.6266,-0.6377,Growth Plus,PHP,N,18,A,SLPGP,Sun Life Phils - Growth Plus Fund
2022-01-03,0.8259,true,2022-01-02,4.333,-0.6257,Growth Plus,PHP,N,18,A,SLPGP,Sun Life Phils - Growth Plus Fund
2021-12-31,0.8311,true,2021-12-30,4.9899,4.9899,Growth Plus,PHP,N,18,A,SLPGP,Sun Life Phils - Growth Plus Fund
2021-12-29,0.8538,true,2021-12-28,7.8575,7.8575,Growth Plus,PHP,N,18,A,SLPGP,Sun Life Phils - Growth Plus Fund
2021-12-28,0.8456,true,2021-12-27,7.3369,6.8216,Growth Plus,PHP,N,18,A,SLPGP,Sun Life Phils - Growth Plus Fund
2021-12-27,0.8407,true,2021-12-26,5.5228,6.2026,Growth Plus,PHP,N,18,A,SLPGP,Sun Life Phils - Growth Plus Fund
2021-12-24,0.8358,true,2021-12-23,4.9077,5.5836,Growth Plus,PHP,N,18,A,SLPGP,Sun Life Phils - Growth Plus Fund
2021-12-23,0.843,true,2021-12-22,5.8115,6.4932,Growth Plus,PHP,N,18,A,SLPGP,Sun Life Phils - Growth Plus Fund
2021-12-22,0.8298,true,2021-12-21,4.5747,4.8257,Growth Plus,PHP,N,18,A,SLPGP,Sun Life Phils - Growth Plus Fund
2021-12-21,0.8312,true,2021-12-20,3.8611,5.0025,Growth Plus,PHP,N,18,A,SLPGP,Sun Life Phils - Growth Plus Fund
2021-12-20,0.8391,true,2021-12-19,3.8105,6.0005,Growth Plus,PHP,N,18,A,SLPGP,Sun Life Phils - Growth Plus Fund
2021-12-17,0.8457,true,2021-12-16,4.4461,6.8343,Growth Plus,PHP,N,18,A,SLPGP,Sun Life Phils - Growth Plus Fund
2021-12-16,0.8385,true,2021-12-15,3.5825,5.9247,Growth Plus,PHP,N,18,A,SLPGP,Sun Life Phils - Growth Plus Fund
2021-12-15,0.8293,true,2021-12-14,3.404,4.7625,Growth Plus,PHP,N,18,A,SLPGP,Sun Life Phils - Growth Plus Fund
2021-12-14,0.8448,true,2021-12-13,4.5027,6.7206,Growth Plus,PHP,N,18,A,SLPGP,Sun Life Phils - Growth Plus Fund
2021-12-13,0.8403,true,2021-12-12,4.9981,6.1521,Growth Plus,PHP,N,18,A,SLPGP,Sun Life Phils - Growth Plus Fund
2021-12-10,0.8392,true,2021-12-09,6.0399,6.0131,Growth Plus,PHP,N,18,A,SLPGP,Sun Life Phils - Growth Plus Fund
2021-12-09,0.8436,true,2021-12-08,7.0694,6.569,Growth Plus,PHP,N,18,A,SLPGP,Sun Life Phils - Growth Plus Fund
2021-12-07,0.8325,true,2021-12-06,4.4804,5.1668,Growth Plus,PHP,N,18,A,SLPGP,Sun Life Phils - Growth Plus Fund
2021-12-06,0.8331,true,2021-12-05,5.6965,5.2425,Growth Plus,PHP,N,18,A,SLPGP,Sun Life Phils - Growth Plus Fund
2021-12-03,0.8251,true,2021-12-02,4.3902,4.2319,Growth Plus,PHP,N,18,A,SLPGP,Sun Life Phils - Growth Plus Fund
2021-12-02,0.8231,true,2021-12-01,5.729,3.9793,Growth Plus,PHP,N,18,A,SLPGP,Sun Life Phils - Growth Plus Fund
2021-12-01,0.8158,true,2021-11-30,5.3733,3.0571,Growth Plus,PHP,N,18,A,SLPGP,Sun Life Phils - Growth Plus Fund
2021-11-29,0.8432,true,2021-11-28,11.8451,6.5184,Growth Plus,PHP,N,18,A,SLPGP,Sun Life Phils - Growth Plus Fund
2021-11-26,0.8497,true,2021-11-25,11.2027,7.3396,Growth Plus,PHP,N,18,A,SLPGP,Sun Life Phils - Growth Plus Fund
2021-11-25,0.8591,true,2021-11-24,10.6802,8.527,Growth Plus,PHP,N,18,A,SLPGP,Sun Life Phils - Growth Plus Fund
2021-11-24,0.8641,true,2021-11-23,10.1326,9.1587,Growth Plus,PHP,N,18,A,SLPGP,Sun Life Phils - Growth Plus Fund
2021-11-23,0.863,true,2021-11-22,9.2543,9.0197,Growth Plus,PHP,N,18,A,SLPGP,Sun Life Phils - Growth Plus Fund
2021-11-22,0.8447,true,2021-11-21,7.3862,6.7079,Growth Plus,PHP,N,18,A,SLPGP,Sun Life Phils - Growth Plus Fund
2021-11-19,0.8423,true,2021-11-18,9.1486,6.4047,Growth Plus,PHP,N,18,A,SLPGP,Sun Life Phils - Growth Plus Fund
2021-11-18,0.8466,true,2021-11-17,9.112,6.948,Growth Plus,PHP,N,18,A,SLPGP,Sun Life Phils - Growth Plus Fund
2021-11-17,0.8521,true,2021-11-16,11.0662,7.6427,Growth Plus,PHP,N,18,A,SLPGP,Sun Life Phils - Growth Plus Fund
2021-11-16,0.8497,true,2021-11-15,11.4799,7.3396,Growth Plus,PHP,N,18,A,SLPGP,Sun Life Phils - Growth Plus Fund
2021-11-15,0.8448,true,2021-11-14,10.5036,6.7206,Growth Plus,PHP,N,18,A,SLPGP,Sun Life Phils - Growth Plus Fund
2021-11-12,0.8506,true,2021-11-11,10.5249,7.4533,Growth Plus,PHP,N,18,A,SLPGP,Sun Life Phils - Growth Plus Fund
2021-11-11,0.8479,true,2021-11-10,10.1741,7.1122,Growth Plus,PHP,N,18,A,SLPGP,Sun Life Phils - Growth Plus Fund
2021-11-10,0.8513,true,2021-11-09,10.6734,7.5417,Growth Plus,PHP,N,18,A,SLPGP,Sun Life Phils - Growth Plus Fund
2021-11-09,0.859,true,2021-11-08,16.3011,8.5144,Growth Plus,PHP,N,18,A,SLPGP,Sun Life Phils - Growth Plus Fund
2021-11-08,0.8517,true,2021-11-07,15.4691,7.5922,Growth Plus,PHP,N,18,A,SLPGP,Sun Life Phils - Growth Plus Fund
2021-11-05,0.8463,true,2021-11-04,15.4413,6.9101,Growth Plus,PHP,N,18,A,SLPGP,Sun Life Phils - Growth Plus Fund
2021-11-04,0.831,true,2021-11-03,16.3377,4.9773,Growth Plus,PHP,N,18,A,SLPGP,Sun Life Phils - Growth Plus Fund
2021-11-03,0.8312,true,2021-11-02,18.4552,5.0025,Growth Plus,PHP,N,18,A,SLPGP,Sun Life Phils - Growth Plus Fund
2021-11-02,0.8217,true,2021-11-01,17.235,3.8024,Growth Plus,PHP,N,18,A,SLPGP,Sun Life Phils - Growth Plus Fund
2021-10-29,0.8205,true,2021-10-28,18.1255,3.6508,Growth Plus,PHP,N,18,A,SLPGP,Sun Life Phils - Growth Plus Fund
2021-10-28,0.8336,true,2021-10-27,17.5575,5.3057,Growth Plus,PHP,N,18,A,SLPGP,Sun Life Phils - Growth Plus Fund
2021-10-27,0.8475,true,2021-10-26,18.5646,7.0616,Growth Plus,PHP,N,18,A,SLPGP,Sun Life Phils - Growth Plus Fund
2021-10-26,0.8486,true,2021-10-25,17.3234,7.2006,Growth Plus,PHP,N,18,A,SLPGP,Sun Life Phils - Growth Plus Fund
2021-10-25,0.8466,true,2021-10-24,17.2901,6.948,Growth Plus,PHP,N,18,A,SLPGP,Sun Life Phils - Growth Plus Fund
2021-10-22,0.8535,true,2021-10-21,20.7214,7.8196,Growth Plus,PHP,N,18,A,SLPGP,Sun Life Phils - Growth Plus Fund
2021-10-21,0.8559,true,2021-10-20,21.715,8.1228,Growth Plus,PHP,N,18,A,SLPGP,Sun Life Phils - Growth Plus Fund
2021-10-20,0.8481,true,2021-10-19,23.4857,7.1374,Growth Plus,PHP,N,18,A,SLPGP,Sun Life Phils - Growth Plus Fund
2021-10-19,0.8478,true,2021-10-18,24.7315,7.0995,Growth Plus,PHP,N,18,A,SLPGP,Sun Life Phils - Growth Plus Fund
2021-10-18,0.8488,true,2021-10-17,26.4601,7.2259,Growth Plus,PHP,N,18,A,SLPGP,Sun Life Phils - Growth Plus Fund
2021-10-15,0.8461,true,2021-10-14,25.6087,6.8848,Growth Plus,PHP,N,18,A,SLPGP,Sun Life Phils - Growth Plus Fund
2021-10-14,0.8362,true,2021-10-13,24.7315,5.6342,Growth Plus,PHP,N,18,A,SLPGP,Sun Life Phils - Growth Plus Fund
2021-10-13,0.8311,true,2021-10-12,24.2488,4.9899,Growth Plus,PHP,N,18,A,SLPGP,Sun Life Phils - Growth Plus Fund
2021-10-12,0.8263,true,2021-10-11,23.2548,4.3835,Growth Plus,PHP,N,18,A,SLPGP,Sun Life Phils - Growth Plus Fund
2021-10-11,0.8204,true,2021-10-10,22.2106,3.6382,Growth Plus,PHP,N,18,A,SLPGP,Sun Life Phils - Growth Plus Fund
