fundDate,fundVal,readFlag,ingeniumDate,fundYoyVal,fundYtdVal,fundDesc,fundCurrency,weekly,risk,status,fundCode,fundName
2022-01-26,1.0475,true,2022-01-25,4.7186,1.6201,Index,PHP,N,20,A,SLPIN,Sun Life Phils - Index Fund
2022-01-25,1.0531,true,2022-01-24,3.897,2.1634,Index,PHP,N,20,A,SLPIN,Sun Life Phils - Index Fund
2022-01-24,1.0482,true,2022-01-23,3.7514,1.688,Index,PHP,N,20,A,SLPIN,Sun Life Phils - Index Fund
2022-01-21,1.0537,true,2022-01-20,3.1018,2.2216,Index,PHP,N,20,A,SLPIN,Sun Life Phils - Index Fund
2022-01-20,1.0457,true,2022-01-19,2.289,1.4455,Index,PHP,N,20,A,SLPIN,Sun Life Phils - Index Fund
2022-01-19,1.0492,true,2022-01-18,1.7949,1.785,Index,PHP,N,20,A,SLPIN,Sun Life Phils - Index Fund
2022-01-18,1.0614,true,2022-01-17,2.7095,2.9686,Index,PHP,N,20,A,SLPIN,Sun Life Phils - Index Fund
2022-01-17,1.0445,true,2022-01-16,0.5294,1.3291,Index,PHP,N,20,A,SLPIN,Sun Life Phils - Index Fund
2022-01-14,1.0509,true,2022-01-13,0.8638,1.9499,Index,PHP,N,20,A,SLPIN,Sun Life Phils - Index Fund
2022-01-13,1.0574,true,2022-01-12,1.9377,2.5805,Index,PHP,N,20,A,SLPIN,Sun Life Phils - Index Fund
2022-01-12,1.0433,true,2022-01-11,0.2884,1.2127,Index,PHP,N,20,A,SLPIN,Sun Life Phils - Index Fund
2022-01-11,1.0249,true,2022-01-10,-2.3161,-0.5724,Index,PHP,N,20,A,SLPIN,Sun Life Phils - Index Fund
2022-01-10,1.0322,true,2022-01-09,-1.3853,0.1358,Index,PHP,N,20,A,SLPIN,Sun Life Phils - Index Fund
2022-01-07,1.013,true,2022-01-06,-0.8612,-1.7268,Index,PHP,N,20,A,SLPIN,Sun Life Phils - Index Fund
2022-01-06,1.024,true,2022-01-05,1.4163,-0.6597,Index,PHP,N,20,A,SLPIN,Sun Life Phils - Index Fund
2022-01-05,1.0255,true,2022-01-04,0.3032,-0.5142,Index,PHP,N,20,A,SLPIN,Sun Life Phils - Index Fund
2022-01-04,1.0182,true,2022-01-03,-1.3085,-1.2224,Index,PHP,N,20,A,SLPIN,Sun Life Phils - Index Fund
2022-01-03,1.0183,true,2022-01-02,-0.6149,-1.2127,Index,PHP,N,20,A,SLPIN,Sun Life Phils - Index Fund
2021-12-31,1.0308,true,2021-12-30,0.6051,0.6051,Index,PHP,N,20,A,SLPIN,Sun Life Phils - Index Fund
