fundDate,fundVal,readFlag,ingeniumDate,fundYoyVal,fundYtdVal,fundDesc,fundCurrency,weekly,risk,status,fundCode,fundName
2022-01-06,1.1462,true,2022-01-05,0.9601,0.0175,Money Market,PHP,N,1,A,SLPMM,Sun Life Phils - Money Market Fund
2022-01-05,1.1462,true,2022-01-04,0.9601,0.0175,Money Market,PHP,N,1,A,SLPMM,Sun Life Phils - Money Market Fund
2022-01-04,1.1462,true,2022-01-03,0.9779,0.0175,Money Market,PHP,N,1,A,SLPMM,Sun Life Phils - Money Market Fund
2022-01-03,1.146,true,2022-01-02,0.9514,0.0,Money Market,PHP,N,1,A,SLPMM,Sun Life Phils - Money Market Fund
2021-12-31,1.146,true,2021-12-30,0.9514,0.9514,Money Market,PHP,N,1,A,SLPMM,Sun Life Phils - Money Market Fund
2021-12-29,1.1459,true,2021-12-28,0.9426,0.9426,Money Market,PHP,N,1,A,SLPMM,Sun Life Phils - Money Market Fund
2021-12-28,1.146,true,2021-12-27,0.9692,0.9514,Money Market,PHP,N,1,A,SLPMM,Sun Life Phils - Money Market Fund
2021-12-27,1.1458,true,2021-12-26,0.9515,0.9338,Money Market,PHP,N,1,A,SLPMM,Sun Life Phils - Money Market Fund
2021-12-24,1.1459,true,2021-12-23,0.9604,0.9426,Money Market,PHP,N,1,A,SLPMM,Sun Life Phils - Money Market Fund
2021-12-23,1.1458,true,2021-12-22,0.9515,0.9338,Money Market,PHP,N,1,A,SLPMM,Sun Life Phils - Money Market Fund
2021-12-22,1.1458,true,2021-12-21,0.9515,0.9338,Money Market,PHP,N,1,A,SLPMM,Sun Life Phils - Money Market Fund
2021-12-21,1.1457,true,2021-12-20,0.9605,0.9249,Money Market,PHP,N,1,A,SLPMM,Sun Life Phils - Money Market Fund
2021-12-20,1.1457,true,2021-12-19,0.9872,0.9249,Money Market,PHP,N,1,A,SLPMM,Sun Life Phils - Money Market Fund
2021-12-17,1.1456,true,2021-12-16,0.9873,0.9161,Money Market,PHP,N,1,A,SLPMM,Sun Life Phils - Money Market Fund
2021-12-16,1.1455,true,2021-12-15,0.9785,0.9073,Money Market,PHP,N,1,A,SLPMM,Sun Life Phils - Money Market Fund
2021-12-15,1.1454,true,2021-12-14,0.9697,0.8985,Money Market,PHP,N,1,A,SLPMM,Sun Life Phils - Money Market Fund
2021-12-14,1.1454,true,2021-12-13,0.9786,0.8985,Money Market,PHP,N,1,A,SLPMM,Sun Life Phils - Money Market Fund
2021-12-13,1.1453,true,2021-12-12,0.9787,0.8897,Money Market,PHP,N,1,A,SLPMM,Sun Life Phils - Money Market Fund
2021-12-10,1.1453,true,2021-12-09,0.9787,0.8897,Money Market,PHP,N,1,A,SLPMM,Sun Life Phils - Money Market Fund
2021-12-09,1.1452,true,2021-12-08,0.9877,0.8809,Money Market,PHP,N,1,A,SLPMM,Sun Life Phils - Money Market Fund
2021-12-07,1.1452,true,2021-12-06,0.9877,0.8809,Money Market,PHP,N,1,A,SLPMM,Sun Life Phils - Money Market Fund
2021-12-06,1.1451,true,2021-12-05,0.9788,0.8721,Money Market,PHP,N,1,A,SLPMM,Sun Life Phils - Money Market Fund
2021-12-03,1.145,true,2021-12-02,0.97,0.8633,Money Market,PHP,N,1,A,SLPMM,Sun Life Phils - Money Market Fund
2021-12-02,1.145,true,2021-12-01,0.9789,0.8633,Money Market,PHP,N,1,A,SLPMM,Sun Life Phils - Money Market Fund
2021-12-01,1.1449,true,2021-11-30,0.979,0.8545,Money Market,PHP,N,1,A,SLPMM,Sun Life Phils - Money Market Fund
2021-11-29,1.1447,true,2021-11-28,0.9614,0.8369,Money Market,PHP,N,1,A,SLPMM,Sun Life Phils - Money Market Fund
2021-11-26,1.1448,true,2021-11-25,0.9791,0.8457,Money Market,PHP,N,1,A,SLPMM,Sun Life Phils - Money Market Fund
2021-11-25,1.1447,true,2021-11-24,0.9703,0.8369,Money Market,PHP,N,1,A,SLPMM,Sun Life Phils - Money Market Fund
2021-11-24,1.1447,true,2021-11-23,0.9703,0.8369,Money Market,PHP,N,1,A,SLPMM,Sun Life Phils - Money Market Fund
2021-11-23,1.1447,true,2021-11-22,0.9881,0.8369,Money Market,PHP,N,1,A,SLPMM,Sun Life Phils - Money Market Fund
2021-11-22,1.1446,true,2021-11-21,0.9793,0.828,Money Market,PHP,N,1,A,SLPMM,Sun Life Phils - Money Market Fund
2021-11-19,1.1446,true,2021-11-18,0.9793,0.828,Money Market,PHP,N,1,A,SLPMM,Sun Life Phils - Money Market Fund
2021-11-18,1.1446,true,2021-11-17,0.9882,0.828,Money Market,PHP,N,1,A,SLPMM,Sun Life Phils - Money Market Fund
2021-11-17,1.1445,true,2021-11-16,0.9794,0.8192,Money Market,PHP,N,1,A,SLPMM,Sun Life Phils - Money Market Fund
2021-11-16,1.1444,true,2021-11-15,0.9884,0.8104,Money Market,PHP,N,1,A,SLPMM,Sun Life Phils - Money Market Fund
2021-11-15,1.1442,true,2021-11-14,0.9707,0.7928,Money Market,PHP,N,1,A,SLPMM,Sun Life Phils - Money Market Fund
2021-11-12,1.1443,true,2021-11-11,0.9795,0.8016,Money Market,PHP,N,1,A,SLPMM,Sun Life Phils - Money Market Fund
2021-11-11,1.1442,true,2021-11-10,0.9707,0.7928,Money Market,PHP,N,1,A,SLPMM,Sun Life Phils - Money Market Fund
2021-11-10,1.1442,true,2021-11-09,0.9707,0.7928,Money Market,PHP,N,1,A,SLPMM,Sun Life Phils - Money Market Fund
2021-11-09,1.1442,true,2021-11-08,0.9885,0.7928,Money Market,PHP,N,1,A,SLPMM,Sun Life Phils - Money Market Fund
2021-11-08,1.144,true,2021-11-07,0.9709,0.7752,Money Market,PHP,N,1,A,SLPMM,Sun Life Phils - Money Market Fund
2021-11-05,1.1441,true,2021-11-04,0.9797,0.784,Money Market,PHP,N,1,A,SLPMM,Sun Life Phils - Money Market Fund
2021-11-04,1.144,true,2021-11-03,0.9709,0.7752,Money Market,PHP,N,1,A,SLPMM,Sun Life Phils - Money Market Fund
2021-11-03,1.144,true,2021-11-02,0.9887,0.7752,Money Market,PHP,N,1,A,SLPMM,Sun Life Phils - Money Market Fund
2021-11-02,1.1439,true,2021-11-01,0.9799,0.7664,Money Market,PHP,N,1,A,SLPMM,Sun Life Phils - Money Market Fund
2021-10-29,1.1438,true,2021-10-28,0.971,0.7576,Money Market,PHP,N,1,A,SLPMM,Sun Life Phils - Money Market Fund
