fundDate,fundVal,readFlag,ingeniumDate,fundYoyVal,fundYtdVal,fundDesc,fundCurrency,weekly,risk,status,fundCode,fundName
2021-10-01,0.9429,true,2021-09-30,8.7794,-4.2158,Opportunity Tracker,PHP,N,22,A,SLPOT,Sun Life Phils - Opportunity Tracker Fund
2021-09-30,0.9452,true,2021-09-29,9.9198,-3.9821,Opportunity Tracker,PHP,N,22,A,SLPOT,Sun Life Phils - Opportunity Tracker Fund
2021-09-29,0.9446,true,2021-09-28,10.0932,-4.0431,Opportunity Tracker,PHP,N,22,A,SLPOT,Sun Life Phils - Opportunity Tracker Fund
2021-09-28,0.9423,true,2021-09-27,9.7229,-4.2767,Opportunity Tracker,PHP,N,22,A,SLPOT,Sun Life Phils - Opportunity Tracker Fund
2021-09-27,0.9479,true,2021-09-26,10.5939,-3.7078,Opportunity Tracker,PHP,N,22,A,SLPOT,Sun Life Phils - Opportunity Tracker Fund
2021-09-24,0.9476,true,2021-09-23,10.4558,-3.7383,Opportunity Tracker,PHP,N,22,A,SLPOT,Sun Life Phils - Opportunity Tracker Fund
2021-09-23,0.9466,true,2021-09-22,9.9292,-3.8399,Opportunity Tracker,PHP,N,22,A,SLPOT,Sun Life Phils - Opportunity Tracker Fund
2021-09-22,0.9452,true,2021-09-21,9.8176,-3.9821,Opportunity Tracker,PHP,N,22,A,SLPOT,Sun Life Phils - Opportunity Tracker Fund
2021-09-21,0.9445,true,2021-09-20,9.5581,-4.0532,Opportunity Tracker,PHP,N,22,A,SLPOT,Sun Life Phils - Opportunity Tracker Fund
2021-09-20,0.9432,true,2021-09-19,9.2932,-4.1853,Opportunity Tracker,PHP,N,22,A,SLPOT,Sun Life Phils - Opportunity Tracker Fund
2021-09-17,0.947,true,2021-09-16,9.3786,-3.7993,Opportunity Tracker,PHP,N,22,A,SLPOT,Sun Life Phils - Opportunity Tracker Fund
2021-09-16,0.9504,true,2021-09-15,9.5815,-3.4539,Opportunity Tracker,PHP,N,22,A,SLPOT,Sun Life Phils - Opportunity Tracker Fund
2021-09-15,0.9449,true,2021-09-14,8.2856,-4.0126,Opportunity Tracker,PHP,N,22,A,SLPOT,Sun Life Phils - Opportunity Tracker Fund
2021-09-14,0.9474,true,2021-09-13,8.5845,-3.7586,Opportunity Tracker,PHP,N,22,A,SLPOT,Sun Life Phils - Opportunity Tracker Fund
2021-09-13,0.9506,true,2021-09-12,9.1765,-3.4336,Opportunity Tracker,PHP,N,22,A,SLPOT,Sun Life Phils - Opportunity Tracker Fund
2021-09-10,0.9509,true,2021-09-09,9.791,-3.4031,Opportunity Tracker,PHP,N,22,A,SLPOT,Sun Life Phils - Opportunity Tracker Fund
2021-09-09,0.9477,true,2021-09-08,9.0564,-3.7282,Opportunity Tracker,PHP,N,22,A,SLPOT,Sun Life Phils - Opportunity Tracker Fund
2021-09-08,0.9495,true,2021-09-07,8.2915,-3.5453,Opportunity Tracker,PHP,N,22,A,SLPOT,Sun Life Phils - Opportunity Tracker Fund
2021-09-07,0.9466,true,2021-09-06,8.8797,-3.8399,Opportunity Tracker,PHP,N,22,A,SLPOT,Sun Life Phils - Opportunity Tracker Fund
2021-09-06,0.9445,true,2021-09-05,10.1329,-4.0532,Opportunity Tracker,PHP,N,22,A,SLPOT,Sun Life Phils - Opportunity Tracker Fund
2021-09-03,0.946,true,2021-09-02,10.4495,-3.9009,Opportunity Tracker,PHP,N,22,A,SLPOT,Sun Life Phils - Opportunity Tracker Fund
2021-09-02,0.9419,true,2021-09-01,10.2282,-4.3174,Opportunity Tracker,PHP,N,22,A,SLPOT,Sun Life Phils - Opportunity Tracker Fund
2021-09-01,0.9388,true,2021-08-31,9.1755,-4.6323,Opportunity Tracker,PHP,N,22,A,SLPOT,Sun Life Phils - Opportunity Tracker Fund
2021-08-31,0.9436,true,2021-08-30,8.7598,-4.1447,Opportunity Tracker,PHP,N,22,A,SLPOT,Sun Life Phils - Opportunity Tracker Fund
2021-08-27,0.9389,true,2021-08-26,7.7585,-4.6221,Opportunity Tracker,PHP,N,22,A,SLPOT,Sun Life Phils - Opportunity Tracker Fund
2021-08-26,0.9408,true,2021-08-25,7.6553,-4.4291,Opportunity Tracker,PHP,N,22,A,SLPOT,Sun Life Phils - Opportunity Tracker Fund
2021-08-25,0.9404,true,2021-08-24,7.3884,-4.4697,Opportunity Tracker,PHP,N,22,A,SLPOT,Sun Life Phils - Opportunity Tracker Fund
2021-08-24,0.9314,true,2021-08-23,6.3728,-5.384,Opportunity Tracker,PHP,N,22,A,SLPOT,Sun Life Phils - Opportunity Tracker Fund
2021-08-23,0.9258,true,2021-08-22,5.109,-5.9529,Opportunity Tracker,PHP,N,22,A,SLPOT,Sun Life Phils - Opportunity Tracker Fund
2021-08-20,0.9288,true,2021-08-19,5.4496,-5.6481,Opportunity Tracker,PHP,N,22,A,SLPOT,Sun Life Phils - Opportunity Tracker Fund
2021-08-19,0.9358,true,2021-08-18,5.8837,-4.937,Opportunity Tracker,PHP,N,22,A,SLPOT,Sun Life Phils - Opportunity Tracker Fund
