fundDate,fundVal,readFlag,ingeniumDate,fundYoyVal,fundYtdVal,fundDesc,fundCurrency,weekly,risk,status,fundCode,fundName
2022-01-14,2.978,true,2022-01-13,-5.0685,1.2305,Balanced,PHP,N,3,A,SLPBA,Sun Life Phils - Peso Balanced Fund
2022-01-13,2.9858,true,2022-01-12,-4.607,1.4957,Balanced,PHP,N,3,A,SLPBA,Sun Life Phils - Peso Balanced Fund
2022-01-12,2.9659,true,2022-01-11,-5.4753,0.8192,Balanced,PHP,N,3,A,SLPBA,Sun Life Phils - Peso Balanced Fund
2022-01-11,2.9237,true,2022-01-10,-7.1222,-0.6153,Balanced,PHP,N,3,A,SLPBA,Sun Life Phils - Peso Balanced Fund
2022-01-10,2.9436,true,2022-01-09,-6.4098,0.0612,Balanced,PHP,N,3,A,SLPBA,Sun Life Phils - Peso Balanced Fund
2022-01-07,2.9127,true,2022-01-06,-6.157,-0.9892,Balanced,PHP,N,3,A,SLPBA,Sun Life Phils - Peso Balanced Fund
2022-01-06,2.9307,true,2022-01-05,-5.0478,-0.3773,Balanced,PHP,N,3,A,SLPBA,Sun Life Phils - Peso Balanced Fund
2022-01-05,2.9333,true,2022-01-04,-5.6422,-0.2889,Balanced,PHP,N,3,A,SLPBA,Sun Life Phils - Peso Balanced Fund
2022-01-04,2.9184,true,2022-01-03,-6.6351,-0.7954,Balanced,PHP,N,3,A,SLPBA,Sun Life Phils - Peso Balanced Fund
2022-01-03,2.9185,true,2022-01-02,-6.0488,-0.792,Balanced,PHP,N,3,A,SLPBA,Sun Life Phils - Peso Balanced Fund
2021-12-31,2.9418,true,2021-12-30,-5.2987,-5.2987,Balanced,PHP,N,3,A,SLPBA,Sun Life Phils - Peso Balanced Fund
2021-12-29,2.9895,true,2021-12-28,-3.7632,-3.7632,Balanced,PHP,N,3,A,SLPBA,Sun Life Phils - Peso Balanced Fund
2021-12-28,2.9747,true,2021-12-27,-4.1254,-4.2396,Balanced,PHP,N,3,A,SLPBA,Sun Life Phils - Peso Balanced Fund
2021-12-27,2.9712,true,2021-12-26,-4.879,-4.3523,Balanced,PHP,N,3,A,SLPBA,Sun Life Phils - Peso Balanced Fund
2021-12-24,2.957,true,2021-12-23,-5.3336,-4.8094,Balanced,PHP,N,3,A,SLPBA,Sun Life Phils - Peso Balanced Fund
2021-12-23,2.9735,true,2021-12-22,-4.8054,-4.2783,Balanced,PHP,N,3,A,SLPBA,Sun Life Phils - Peso Balanced Fund
2021-12-22,2.9447,true,2021-12-21,-5.7032,-5.2054,Balanced,PHP,N,3,A,SLPBA,Sun Life Phils - Peso Balanced Fund
2021-12-21,2.9573,true,2021-12-20,-5.4572,-4.7998,Balanced,PHP,N,3,A,SLPBA,Sun Life Phils - Peso Balanced Fund
2021-12-20,2.9738,true,2021-12-19,-5.2326,-4.2686,Balanced,PHP,N,3,A,SLPBA,Sun Life Phils - Peso Balanced Fund
2021-12-17,2.9853,true,2021-12-16,-5.1352,-3.8984,Balanced,PHP,N,3,A,SLPBA,Sun Life Phils - Peso Balanced Fund
