fundDate,fundVal,readFlag,ingeniumDate,fundYoyVal,fundYtdVal,fundDesc,fundCurrency,weekly,risk,status,fundCode,fundName
2021-12-06,2.1933,true,2021-12-05,-4.722,-4.9738,Bond,PHP,N,2,A,SLPBF,Sun Life Phils - Peso Bond Fund
2021-12-03,2.1915,true,2021-12-02,-4.8539,-5.0518,Bond,PHP,N,2,A,SLPBF,Sun Life Phils - Peso Bond Fund
2021-12-02,2.191,true,2021-12-01,-4.8136,-5.0734,Bond,PHP,N,2,A,SLPBF,Sun Life Phils - Peso Bond Fund
2021-12-01,2.1932,true,2021-11-30,-4.6766,-4.9781,Bond,PHP,N,2,A,SLPBF,Sun Life Phils - Peso Bond Fund
2021-11-29,2.1972,true,2021-11-28,-4.4903,-4.8048,Bond,PHP,N,2,A,SLPBF,Sun Life Phils - Peso Bond Fund
2021-11-26,2.2066,true,2021-11-25,-4.0275,-4.3976,Bond,PHP,N,2,A,SLPBF,Sun Life Phils - Peso Bond Fund
2021-11-25,2.2091,true,2021-11-24,-3.9146,-4.2892,Bond,PHP,N,2,A,SLPBF,Sun Life Phils - Peso Bond Fund
2021-11-24,2.2099,true,2021-11-23,-3.9216,-4.2546,Bond,PHP,N,2,A,SLPBF,Sun Life Phils - Peso Bond Fund
2021-11-23,2.2091,true,2021-11-22,-3.856,-4.2892,Bond,PHP,N,2,A,SLPBF,Sun Life Phils - Peso Bond Fund
2021-11-22,2.2102,true,2021-11-21,-3.7788,-4.2416,Bond,PHP,N,2,A,SLPBF,Sun Life Phils - Peso Bond Fund
2021-11-19,2.2097,true,2021-11-18,-3.7126,-4.2632,Bond,PHP,N,2,A,SLPBF,Sun Life Phils - Peso Bond Fund
2021-11-18,2.2092,true,2021-11-17,-3.7092,-4.2849,Bond,PHP,N,2,A,SLPBF,Sun Life Phils - Peso Bond Fund
2021-11-17,2.2056,true,2021-11-16,-3.8242,-4.4409,Bond,PHP,N,2,A,SLPBF,Sun Life Phils - Peso Bond Fund
2021-11-16,2.2041,true,2021-11-15,-3.965,-4.5059,Bond,PHP,N,2,A,SLPBF,Sun Life Phils - Peso Bond Fund
2021-11-15,2.2033,true,2021-11-14,-4.004,-4.5405,Bond,PHP,N,2,A,SLPBF,Sun Life Phils - Peso Bond Fund
2021-11-12,2.2068,true,2021-11-11,-3.7509,-4.3889,Bond,PHP,N,2,A,SLPBF,Sun Life Phils - Peso Bond Fund
2021-11-11,2.2051,true,2021-11-10,-3.825,-4.4625,Bond,PHP,N,2,A,SLPBF,Sun Life Phils - Peso Bond Fund
2021-11-10,2.2068,true,2021-11-09,-3.797,-4.3889,Bond,PHP,N,2,A,SLPBF,Sun Life Phils - Peso Bond Fund
2021-11-09,2.2066,true,2021-11-08,-3.8141,-4.3976,Bond,PHP,N,2,A,SLPBF,Sun Life Phils - Peso Bond Fund
2021-11-08,2.2115,true,2021-11-07,-3.5753,-4.1853,Bond,PHP,N,2,A,SLPBF,Sun Life Phils - Peso Bond Fund
2021-11-05,2.2119,true,2021-11-04,-3.4863,-4.1679,Bond,PHP,N,2,A,SLPBF,Sun Life Phils - Peso Bond Fund
2021-11-04,2.2126,true,2021-11-03,-3.4516,-4.1376,Bond,PHP,N,2,A,SLPBF,Sun Life Phils - Peso Bond Fund
2021-11-03,2.2188,true,2021-11-02,-3.1726,-3.869,Bond,PHP,N,2,A,SLPBF,Sun Life Phils - Peso Bond Fund
2021-11-02,2.2192,true,2021-11-01,-3.1551,-3.8517,Bond,PHP,N,2,A,SLPBF,Sun Life Phils - Peso Bond Fund
2021-10-29,2.2187,true,2021-10-28,-3.2572,-3.8733,Bond,PHP,N,2,A,SLPBF,Sun Life Phils - Peso Bond Fund
2021-10-28,2.2181,true,2021-10-27,-3.3002,-3.8993,Bond,PHP,N,2,A,SLPBF,Sun Life Phils - Peso Bond Fund
2021-10-27,2.2184,true,2021-10-26,-3.3208,-3.8863,Bond,PHP,N,2,A,SLPBF,Sun Life Phils - Peso Bond Fund
2021-10-26,2.2168,true,2021-10-25,-3.4495,-3.9556,Bond,PHP,N,2,A,SLPBF,Sun Life Phils - Peso Bond Fund
2021-10-25,2.2167,true,2021-10-24,-3.4244,-3.96,Bond,PHP,N,2,A,SLPBF,Sun Life Phils - Peso Bond Fund
2021-10-22,2.215,true,2021-10-21,-3.5279,-4.0336,Bond,PHP,N,2,A,SLPBF,Sun Life Phils - Peso Bond Fund
2021-10-21,2.2166,true,2021-10-20,-3.4161,-3.9643,Bond,PHP,N,2,A,SLPBF,Sun Life Phils - Peso Bond Fund
2021-10-20,2.2203,true,2021-10-19,-3.297,-3.804,Bond,PHP,N,2,A,SLPBF,Sun Life Phils - Peso Bond Fund
2021-10-19,2.2212,true,2021-10-18,-3.3168,-3.765,Bond,PHP,N,2,A,SLPBF,Sun Life Phils - Peso Bond Fund
2021-10-18,2.2248,true,2021-10-17,-3.198,-3.609,Bond,PHP,N,2,A,SLPBF,Sun Life Phils - Peso Bond Fund
2021-10-15,2.2251,true,2021-10-14,-3.185,-3.596,Bond,PHP,N,2,A,SLPBF,Sun Life Phils - Peso Bond Fund
2021-10-14,2.2243,true,2021-10-13,-3.0933,-3.6307,Bond,PHP,N,2,A,SLPBF,Sun Life Phils - Peso Bond Fund
2021-10-13,2.2253,true,2021-10-12,-3.0793,-3.5874,Bond,PHP,N,2,A,SLPBF,Sun Life Phils - Peso Bond Fund
2021-10-12,2.2259,true,2021-10-11,-3.0109,-3.5614,Bond,PHP,N,2,A,SLPBF,Sun Life Phils - Peso Bond Fund
2021-10-11,2.2284,true,2021-10-10,-2.995,-3.4531,Bond,PHP,N,2,A,SLPBF,Sun Life Phils - Peso Bond Fund
2021-10-08,2.2302,true,2021-10-07,-2.8701,-3.3751,Bond,PHP,N,2,A,SLPBF,Sun Life Phils - Peso Bond Fund
2021-10-07,2.2328,true,2021-10-06,-2.6848,-3.2624,Bond,PHP,N,2,A,SLPBF,Sun Life Phils - Peso Bond Fund
2021-10-06,2.2337,true,2021-10-05,-2.7346,-3.2234,Bond,PHP,N,2,A,SLPBF,Sun Life Phils - Peso Bond Fund
2021-10-05,2.2331,true,2021-10-04,-2.7734,-3.2494,Bond,PHP,N,2,A,SLPBF,Sun Life Phils - Peso Bond Fund
2021-10-04,2.2343,true,2021-10-03,-2.6576,-3.1974,Bond,PHP,N,2,A,SLPBF,Sun Life Phils - Peso Bond Fund
2021-10-01,2.2339,true,2021-09-30,-2.6284,-3.2148,Bond,PHP,N,2,A,SLPBF,Sun Life Phils - Peso Bond Fund
2021-09-30,2.2365,true,2021-09-29,-2.3362,-3.1021,Bond,PHP,N,2,A,SLPBF,Sun Life Phils - Peso Bond Fund
2021-09-29,2.2378,true,2021-09-28,-2.2112,-3.0458,Bond,PHP,N,2,A,SLPBF,Sun Life Phils - Peso Bond Fund
