fundDate,fundVal,readFlag,ingeniumDate,fundYoyVal,fundYtdVal,fundDesc,fundCurrency,weekly,risk,status,fundCode,fundName
2021-08-09,3.6656,true,2021-08-08,13.5986,-4.2874,Equity,PHP,N,4,A,SLPEF,Sun Life Phils - Peso Equity Fund
2021-08-06,3.6133,true,2021-08-05,11.1203,-5.653,Equity,PHP,N,4,A,SLPEF,Sun Life Phils - Peso Equity Fund
2021-08-05,3.5958,true,2021-08-04,11.6777,-6.11,Equity,PHP,N,4,A,SLPEF,Sun Life Phils - Peso Equity Fund
2021-08-04,3.6204,true,2021-08-03,13.4815,-5.4676,Equity,PHP,N,4,A,SLPEF,Sun Life Phils - Peso Equity Fund
2021-08-03,3.6036,true,2021-08-02,14.1536,-5.9063,Equity,PHP,N,4,A,SLPEF,Sun Life Phils - Peso Equity Fund
2021-08-02,3.5474,true,2021-08-01,8.646,-7.3738,Equity,PHP,N,4,A,SLPEF,Sun Life Phils - Peso Equity Fund
2021-07-30,3.4624,true,2021-07-29,6.0427,-9.5932,Equity,PHP,N,4,A,SLPEF,Sun Life Phils - Peso Equity Fund
2021-07-29,3.5699,true,2021-07-28,8.729,-6.7863,Equity,PHP,N,4,A,SLPEF,Sun Life Phils - Peso Equity Fund
2021-07-28,3.5537,true,2021-07-27,9.1096,-7.2093,Equity,PHP,N,4,A,SLPEF,Sun Life Phils - Peso Equity Fund
2021-07-27,3.5751,true,2021-07-26,10.8283,-6.6505,Equity,PHP,N,4,A,SLPEF,Sun Life Phils - Peso Equity Fund
2021-07-26,3.4914,true,2021-07-25,5.6847,-8.836,Equity,PHP,N,4,A,SLPEF,Sun Life Phils - Peso Equity Fund
2021-07-23,3.5633,true,2021-07-22,7.3671,-6.9586,Equity,PHP,N,4,A,SLPEF,Sun Life Phils - Peso Equity Fund
2021-07-22,3.5992,true,2021-07-21,8.0354,-6.0212,Equity,PHP,N,4,A,SLPEF,Sun Life Phils - Peso Equity Fund
2021-07-21,3.5564,true,2021-07-20,5.7886,-7.1388,Equity,PHP,N,4,A,SLPEF,Sun Life Phils - Peso Equity Fund
2021-07-19,3.6066,true,2021-07-18,8.0888,-5.828,Equity,PHP,N,4,A,SLPEF,Sun Life Phils - Peso Equity Fund
2021-07-16,3.6649,true,2021-07-15,8.9026,-4.3057,Equity,PHP,N,4,A,SLPEF,Sun Life Phils - Peso Equity Fund
2021-07-15,3.6897,true,2021-07-14,11.7684,-3.6582,Equity,PHP,N,4,A,SLPEF,Sun Life Phils - Peso Equity Fund
2021-07-14,3.7458,true,2021-07-13,10.8979,-2.1933,Equity,PHP,N,4,A,SLPEF,Sun Life Phils - Peso Equity Fund
2021-07-13,3.7286,true,2021-07-12,10.4967,-2.6424,Equity,PHP,N,4,A,SLPEF,Sun Life Phils - Peso Equity Fund
2021-07-12,3.7796,true,2021-07-11,11.6441,-1.3108,Equity,PHP,N,4,A,SLPEF,Sun Life Phils - Peso Equity Fund
2021-07-09,3.7301,true,2021-07-08,10.0909,-2.6033,Equity,PHP,N,4,A,SLPEF,Sun Life Phils - Peso Equity Fund
2021-07-08,3.7706,true,2021-07-07,9.9621,-1.5458,Equity,PHP,N,4,A,SLPEF,Sun Life Phils - Peso Equity Fund
2021-07-07,3.7766,true,2021-07-06,10.2528,-1.3891,Equity,PHP,N,4,A,SLPEF,Sun Life Phils - Peso Equity Fund
2021-07-06,3.804,true,2021-07-05,9.9549,-0.6737,Equity,PHP,N,4,A,SLPEF,Sun Life Phils - Peso Equity Fund
2021-07-05,3.8247,true,2021-07-04,9.7884,-0.1332,Equity,PHP,N,4,A,SLPEF,Sun Life Phils - Peso Equity Fund
2021-07-02,3.8062,true,2021-07-01,9.0946,-0.6162,Equity,PHP,N,4,A,SLPEF,Sun Life Phils - Peso Equity Fund
2021-07-01,3.7824,true,2021-06-30,10.9078,-1.2377,Equity,PHP,N,4,A,SLPEF,Sun Life Phils - Peso Equity Fund
2021-06-30,3.7551,true,2021-06-29,10.1978,-1.9505,Equity,PHP,N,4,A,SLPEF,Sun Life Phils - Peso Equity Fund
2021-06-29,3.7799,true,2021-06-28,12.5104,-1.3029,Equity,PHP,N,4,A,SLPEF,Sun Life Phils - Peso Equity Fund
2021-06-28,3.7695,true,2021-06-27,10.9231,-1.5745,Equity,PHP,N,4,A,SLPEF,Sun Life Phils - Peso Equity Fund
2021-06-25,3.772,true,2021-06-24,12.3823,-1.5092,Equity,PHP,N,4,A,SLPEF,Sun Life Phils - Peso Equity Fund
2021-06-24,3.7439,true,2021-06-23,10.3874,-2.2429,Equity,PHP,N,4,A,SLPEF,Sun Life Phils - Peso Equity Fund
2021-06-23,3.7629,true,2021-06-22,8.9527,-1.7468,Equity,PHP,N,4,A,SLPEF,Sun Life Phils - Peso Equity Fund
2021-06-22,3.7355,true,2021-06-21,7.6947,-2.4623,Equity,PHP,N,4,A,SLPEF,Sun Life Phils - Peso Equity Fund
2021-06-21,3.7136,true,2021-06-20,7.6375,-3.0341,Equity,PHP,N,4,A,SLPEF,Sun Life Phils - Peso Equity Fund
2021-06-18,3.7276,true,2021-06-17,7.4453,-2.6685,Equity,PHP,N,4,A,SLPEF,Sun Life Phils - Peso Equity Fund
2021-06-17,3.7405,true,2021-06-16,8.7323,-2.3317,Equity,PHP,N,4,A,SLPEF,Sun Life Phils - Peso Equity Fund
2021-06-16,3.7833,true,2021-06-15,9.9221,-1.2142,Equity,PHP,N,4,A,SLPEF,Sun Life Phils - Peso Equity Fund
2021-06-15,3.7812,true,2021-06-14,11.6716,-1.269,Equity,PHP,N,4,A,SLPEF,Sun Life Phils - Peso Equity Fund
2021-06-14,3.7584,true,2021-06-13,5.9749,-1.8643,Equity,PHP,N,4,A,SLPEF,Sun Life Phils - Peso Equity Fund
2021-06-11,3.7534,true,2021-06-10,5.8339,-1.9949,Equity,PHP,N,4,A,SLPEF,Sun Life Phils - Peso Equity Fund
2021-06-10,3.7288,true,2021-06-09,5.5779,-2.6372,Equity,PHP,N,4,A,SLPEF,Sun Life Phils - Peso Equity Fund
2021-06-09,3.7489,true,2021-06-08,3.9023,-2.1124,Equity,PHP,N,4,A,SLPEF,Sun Life Phils - Peso Equity Fund
2021-06-08,3.6954,true,2021-06-07,3.652,-3.5093,Equity,PHP,N,4,A,SLPEF,Sun Life Phils - Peso Equity Fund
2021-06-07,3.6751,true,2021-06-06,3.5619,-4.0394,Equity,PHP,N,4,A,SLPEF,Sun Life Phils - Peso Equity Fund
2021-06-04,3.6951,true,2021-06-03,3.6058,-3.5172,Equity,PHP,N,4,A,SLPEF,Sun Life Phils - Peso Equity Fund
2021-06-03,3.6879,true,2021-06-02,7.5534,-3.7052,Equity,PHP,N,4,A,SLPEF,Sun Life Phils - Peso Equity Fund
2021-06-02,3.7079,true,2021-06-01,11.8657,-3.1829,Equity,PHP,N,4,A,SLPEF,Sun Life Phils - Peso Equity Fund
2021-06-01,3.6015,true,2021-05-31,9.9963,-5.9611,Equity,PHP,N,4,A,SLPEF,Sun Life Phils - Peso Equity Fund
2021-05-31,3.5985,true,2021-05-30,11.2193,-6.0395,Equity,PHP,N,4,A,SLPEF,Sun Life Phils - Peso Equity Fund
2021-05-28,3.6163,true,2021-05-27,16.6887,-5.5747,Equity,PHP,N,4,A,SLPEF,Sun Life Phils - Peso Equity Fund
