fundDate,fundVal,readFlag,ingeniumDate,fundYoyVal,fundYtdVal,fundDesc,fundCurrency,weekly,risk,status,fundCode,fundName
2022-01-26,1.4535,true,2022-01-25,5.2193,0.2898,Growth,PHP,N,15,A,SLPGF,Sun Life Phils - Peso Growth Fund
2022-01-25,1.4594,true,2022-01-24,4.2056,0.6969,Growth,PHP,N,15,A,SLPGF,Sun Life Phils - Peso Growth Fund
2022-01-24,1.4524,true,2022-01-23,3.9954,0.2139,Growth,PHP,N,15,A,SLPGF,Sun Life Phils - Peso Growth Fund
2022-01-21,1.4621,true,2022-01-20,3.6583,0.8832,Growth,PHP,N,15,A,SLPGF,Sun Life Phils - Peso Growth Fund
2022-01-20,1.4561,true,2022-01-19,3.2109,0.4692,Growth,PHP,N,15,A,SLPGF,Sun Life Phils - Peso Growth Fund
2022-01-19,1.4612,true,2022-01-18,2.8218,0.8211,Growth,PHP,N,15,A,SLPGF,Sun Life Phils - Peso Growth Fund
2022-01-18,1.4748,true,2022-01-17,3.5093,1.7595,Growth,PHP,N,15,A,SLPGF,Sun Life Phils - Peso Growth Fund
2022-01-17,1.457,true,2022-01-16,1.7174,0.5313,Growth,PHP,N,15,A,SLPGF,Sun Life Phils - Peso Growth Fund
2022-01-14,1.4656,true,2022-01-13,2.0329,1.1247,Growth,PHP,N,15,A,SLPGF,Sun Life Phils - Peso Growth Fund
2022-01-13,1.4722,true,2022-01-12,2.9007,1.5801,Growth,PHP,N,15,A,SLPGF,Sun Life Phils - Peso Growth Fund
2022-01-12,1.4574,true,2022-01-11,1.4196,0.5589,Growth,PHP,N,15,A,SLPGF,Sun Life Phils - Peso Growth Fund
2022-01-11,1.4339,true,2022-01-10,-0.8642,-1.0626,Growth,PHP,N,15,A,SLPGF,Sun Life Phils - Peso Growth Fund
2022-01-10,1.4461,true,2022-01-09,0.3609,-0.2208,Growth,PHP,N,15,A,SLPGF,Sun Life Phils - Peso Growth Fund
2022-01-07,1.4198,true,2022-01-06,0.6879,-2.0355,Growth,PHP,N,15,A,SLPGF,Sun Life Phils - Peso Growth Fund
2022-01-06,1.4364,true,2022-01-05,3.0268,-0.8901,Growth,PHP,N,15,A,SLPGF,Sun Life Phils - Peso Growth Fund
2022-01-05,1.4383,true,2022-01-04,2.0795,-0.759,Growth,PHP,N,15,A,SLPGF,Sun Life Phils - Peso Growth Fund
2022-01-04,1.429,true,2022-01-03,0.4923,-1.4007,Growth,PHP,N,15,A,SLPGF,Sun Life Phils - Peso Growth Fund
2022-01-03,1.4291,true,2022-01-02,1.2756,-1.3938,Growth,PHP,N,15,A,SLPGF,Sun Life Phils - Peso Growth Fund
2021-12-31,1.4493,true,2021-12-30,2.7071,2.7071,Growth,PHP,N,15,A,SLPGF,Sun Life Phils - Peso Growth Fund
2021-12-29,1.4779,true,2021-12-28,4.7339,4.7339,Growth,PHP,N,15,A,SLPGF,Sun Life Phils - Peso Growth Fund
2021-12-28,1.4687,true,2021-12-27,4.2518,4.0819,Growth,PHP,N,15,A,SLPGF,Sun Life Phils - Peso Growth Fund
2021-12-27,1.4633,true,2021-12-26,2.7093,3.6992,Growth,PHP,N,15,A,SLPGF,Sun Life Phils - Peso Growth Fund
2021-12-24,1.4511,true,2021-12-23,1.853,2.8347,Growth,PHP,N,15,A,SLPGF,Sun Life Phils - Peso Growth Fund
2021-12-23,1.4627,true,2021-12-22,2.6672,3.6567,Growth,PHP,N,15,A,SLPGF,Sun Life Phils - Peso Growth Fund
2021-12-22,1.4432,true,2021-12-21,1.3483,2.2748,Growth,PHP,N,15,A,SLPGF,Sun Life Phils - Peso Growth Fund
2021-12-21,1.4493,true,2021-12-20,1.2647,2.7071,Growth,PHP,N,15,A,SLPGF,Sun Life Phils - Peso Growth Fund
2021-12-20,1.4639,true,2021-12-19,1.7445,3.7418,Growth,PHP,N,15,A,SLPGF,Sun Life Phils - Peso Growth Fund
2021-12-17,1.4725,true,2021-12-16,2.1576,4.3512,Growth,PHP,N,15,A,SLPGF,Sun Life Phils - Peso Growth Fund
2021-12-16,1.4645,true,2021-12-15,1.497,3.7843,Growth,PHP,N,15,A,SLPGF,Sun Life Phils - Peso Growth Fund
2021-12-15,1.4446,true,2021-12-14,0.9151,2.374,Growth,PHP,N,15,A,SLPGF,Sun Life Phils - Peso Growth Fund
2021-12-14,1.4668,true,2021-12-13,1.8894,3.9473,Growth,PHP,N,15,A,SLPGF,Sun Life Phils - Peso Growth Fund
2021-12-13,1.4588,true,2021-12-12,1.8786,3.3803,Growth,PHP,N,15,A,SLPGF,Sun Life Phils - Peso Growth Fund
2021-12-10,1.4564,true,2021-12-09,2.9913,3.2103,Growth,PHP,N,15,A,SLPGF,Sun Life Phils - Peso Growth Fund
