fundDate,fundVal,readFlag,ingeniumDate,fundYoyVal,fundYtdVal,fundDesc,fundCurrency,weekly,risk,status,fundCode,fundName
2021-09-17,1.5786,true,2021-09-16,-2.2297,-2.8853,Income,PHP,N,13,A,SLPIF,Sun Life Phils - Peso Income Fund
2021-09-16,1.5781,true,2021-09-15,-2.2364,-2.916,Income,PHP,N,13,A,SLPIF,Sun Life Phils - Peso Income Fund
2021-09-15,1.5782,true,2021-09-14,-2.1939,-2.9099,Income,PHP,N,13,A,SLPIF,Sun Life Phils - Peso Income Fund
2021-09-14,1.5787,true,2021-09-13,-2.2598,-2.8791,Income,PHP,N,13,A,SLPIF,Sun Life Phils - Peso Income Fund
2021-09-13,1.5788,true,2021-09-12,-2.3322,-2.873,Income,PHP,N,13,A,SLPIF,Sun Life Phils - Peso Income Fund
2021-09-10,1.5791,true,2021-09-09,-2.3197,-2.8545,Income,PHP,N,13,A,SLPIF,Sun Life Phils - Peso Income Fund
2021-09-09,1.5788,true,2021-09-08,-2.4408,-2.873,Income,PHP,N,13,A,SLPIF,Sun Life Phils - Peso Income Fund
2021-09-08,1.5783,true,2021-09-07,-2.4476,-2.9037,Income,PHP,N,13,A,SLPIF,Sun Life Phils - Peso Income Fund
2021-09-07,1.5779,true,2021-09-06,-2.4422,-2.9283,Income,PHP,N,13,A,SLPIF,Sun Life Phils - Peso Income Fund
2021-09-06,1.578,true,2021-09-05,-2.4601,-2.9222,Income,PHP,N,13,A,SLPIF,Sun Life Phils - Peso Income Fund
2021-09-03,1.5777,true,2021-09-02,-2.4847,-2.9406,Income,PHP,N,13,A,SLPIF,Sun Life Phils - Peso Income Fund
2021-09-02,1.5773,true,2021-09-01,-2.6057,-2.9652,Income,PHP,N,13,A,SLPIF,Sun Life Phils - Peso Income Fund
2021-09-01,1.5769,true,2021-08-31,-2.6184,-2.9898,Income,PHP,N,13,A,SLPIF,Sun Life Phils - Peso Income Fund
2021-08-31,1.5776,true,2021-08-30,-2.5632,-2.9468,Income,PHP,N,13,A,SLPIF,Sun Life Phils - Peso Income Fund
2021-08-27,1.5765,true,2021-08-26,-2.6491,-3.0145,Income,PHP,N,13,A,SLPIF,Sun Life Phils - Peso Income Fund
2021-08-26,1.5759,true,2021-08-25,-2.7402,-3.0514,Income,PHP,N,13,A,SLPIF,Sun Life Phils - Peso Income Fund
2021-08-25,1.5754,true,2021-08-24,-3.0404,-3.0821,Income,PHP,N,13,A,SLPIF,Sun Life Phils - Peso Income Fund
2021-08-24,1.5754,true,2021-08-23,-3.0105,-3.0821,Income,PHP,N,13,A,SLPIF,Sun Life Phils - Peso Income Fund
2021-08-23,1.5758,true,2021-08-22,-3.0456,-3.0575,Income,PHP,N,13,A,SLPIF,Sun Life Phils - Peso Income Fund
2021-08-20,1.5759,true,2021-08-19,-3.0394,-3.0514,Income,PHP,N,13,A,SLPIF,Sun Life Phils - Peso Income Fund
2021-08-19,1.5753,true,2021-08-18,-3.0406,-3.0883,Income,PHP,N,13,A,SLPIF,Sun Life Phils - Peso Income Fund
2021-08-18,1.5753,true,2021-08-17,-2.9988,-3.0883,Income,PHP,N,13,A,SLPIF,Sun Life Phils - Peso Income Fund
2021-08-17,1.5771,true,2021-08-16,-2.8879,-2.9775,Income,PHP,N,13,A,SLPIF,Sun Life Phils - Peso Income Fund
2021-08-16,1.5766,true,2021-08-15,-2.757,-3.0083,Income,PHP,N,13,A,SLPIF,Sun Life Phils - Peso Income Fund
2021-08-13,1.5758,true,2021-08-12,-2.7284,-3.0575,Income,PHP,N,13,A,SLPIF,Sun Life Phils - Peso Income Fund
2021-08-12,1.5758,true,2021-08-11,-2.6382,-3.0575,Income,PHP,N,13,A,SLPIF,Sun Life Phils - Peso Income Fund
2021-08-11,1.5762,true,2021-08-10,-2.7697,-3.0329,Income,PHP,N,13,A,SLPIF,Sun Life Phils - Peso Income Fund
2021-08-10,1.5776,true,2021-08-09,-2.7494,-2.9468,Income,PHP,N,13,A,SLPIF,Sun Life Phils - Peso Income Fund
2021-08-09,1.5766,true,2021-08-08,-2.5948,-3.0083,Income,PHP,N,13,A,SLPIF,Sun Life Phils - Peso Income Fund
2021-08-06,1.5746,true,2021-08-05,-2.7124,-3.1313,Income,PHP,N,13,A,SLPIF,Sun Life Phils - Peso Income Fund
2021-08-05,1.5756,true,2021-08-04,-2.6446,-3.0698,Income,PHP,N,13,A,SLPIF,Sun Life Phils - Peso Income Fund
2021-08-04,1.5746,true,2021-08-03,-2.6643,-3.1313,Income,PHP,N,13,A,SLPIF,Sun Life Phils - Peso Income Fund
2021-08-03,1.5745,true,2021-08-02,-2.6644,-3.1375,Income,PHP,N,13,A,SLPIF,Sun Life Phils - Peso Income Fund
2021-08-02,1.5737,true,2021-08-01,-2.834,-3.1867,Income,PHP,N,13,A,SLPIF,Sun Life Phils - Peso Income Fund
2021-07-30,1.5734,true,2021-07-29,-2.8526,-3.2052,Income,PHP,N,13,A,SLPIF,Sun Life Phils - Peso Income Fund
2021-07-29,1.5726,true,2021-07-28,-2.9259,-3.2544,Income,PHP,N,13,A,SLPIF,Sun Life Phils - Peso Income Fund
2021-07-28,1.5724,true,2021-07-27,-2.9203,-3.2667,Income,PHP,N,13,A,SLPIF,Sun Life Phils - Peso Income Fund
2021-07-27,1.5704,true,2021-07-26,-2.9179,-3.3897,Income,PHP,N,13,A,SLPIF,Sun Life Phils - Peso Income Fund
2021-07-26,1.5701,true,2021-07-25,-2.9844,-3.4082,Income,PHP,N,13,A,SLPIF,Sun Life Phils - Peso Income Fund
2021-07-23,1.5713,true,2021-07-22,-2.8202,-3.3344,Income,PHP,N,13,A,SLPIF,Sun Life Phils - Peso Income Fund
2021-07-22,1.571,true,2021-07-21,-2.7967,-3.3528,Income,PHP,N,13,A,SLPIF,Sun Life Phils - Peso Income Fund
2021-07-21,1.5711,true,2021-07-20,-2.7243,-3.3467,Income,PHP,N,13,A,SLPIF,Sun Life Phils - Peso Income Fund
2021-07-19,1.5722,true,2021-07-18,-2.4448,-3.279,Income,PHP,N,13,A,SLPIF,Sun Life Phils - Peso Income Fund
2021-07-16,1.5731,true,2021-07-15,-2.3405,-3.2236,Income,PHP,N,13,A,SLPIF,Sun Life Phils - Peso Income Fund
2021-07-15,1.5702,true,2021-07-14,-2.4418,-3.402,Income,PHP,N,13,A,SLPIF,Sun Life Phils - Peso Income Fund
2021-07-14,1.5706,true,2021-07-13,-2.2833,-3.3774,Income,PHP,N,13,A,SLPIF,Sun Life Phils - Peso Income Fund
2021-07-13,1.5706,true,2021-07-12,-2.0762,-3.3774,Income,PHP,N,13,A,SLPIF,Sun Life Phils - Peso Income Fund
2021-07-12,1.5707,true,2021-07-11,-2.0577,-3.3713,Income,PHP,N,13,A,SLPIF,Sun Life Phils - Peso Income Fund
2021-07-09,1.571,true,2021-07-08,-2.0024,-3.3528,Income,PHP,N,13,A,SLPIF,Sun Life Phils - Peso Income Fund
2021-07-08,1.5723,true,2021-07-07,-1.8846,-3.2728,Income,PHP,N,13,A,SLPIF,Sun Life Phils - Peso Income Fund
2021-07-07,1.5728,true,2021-07-06,-1.8105,-3.2421,Income,PHP,N,13,A,SLPIF,Sun Life Phils - Peso Income Fund
2021-07-06,1.5725,true,2021-07-05,-1.6265,-3.2605,Income,PHP,N,13,A,SLPIF,Sun Life Phils - Peso Income Fund
2021-07-05,1.5734,true,2021-07-04,-1.6686,-3.2052,Income,PHP,N,13,A,SLPIF,Sun Life Phils - Peso Income Fund
2021-07-02,1.5744,true,2021-07-01,-1.5754,-3.1436,Income,PHP,N,13,A,SLPIF,Sun Life Phils - Peso Income Fund
2021-07-01,1.5744,true,2021-06-30,-1.5692,-3.1436,Income,PHP,N,13,A,SLPIF,Sun Life Phils - Peso Income Fund
2021-06-30,1.5733,true,2021-06-29,-1.6319,-3.2113,Income,PHP,N,13,A,SLPIF,Sun Life Phils - Peso Income Fund
2021-06-29,1.575,true,2021-06-28,-1.464,-3.1067,Income,PHP,N,13,A,SLPIF,Sun Life Phils - Peso Income Fund
2021-06-28,1.5746,true,2021-06-27,-1.2604,-3.1313,Income,PHP,N,13,A,SLPIF,Sun Life Phils - Peso Income Fund
2021-06-25,1.5745,true,2021-06-24,-0.9997,-3.1375,Income,PHP,N,13,A,SLPIF,Sun Life Phils - Peso Income Fund
2021-06-24,1.574,true,2021-06-23,-1.025,-3.1683,Income,PHP,N,13,A,SLPIF,Sun Life Phils - Peso Income Fund
2021-06-23,1.5746,true,2021-06-22,-0.9872,-3.1313,Income,PHP,N,13,A,SLPIF,Sun Life Phils - Peso Income Fund
