fundDate,fundVal,readFlag,ingeniumDate,fundYoyVal,fundYtdVal,fundDesc,fundCurrency,weekly,risk,status,fundCode,fundName
2022-02-24,2.5829,true,2022-02-23,0.3653,-1.352,MyFuture 2030,PHP,N,7,A,TDF30,Sun Life Phils - Peso MyFuture 2030
2022-02-23,2.6103,true,2022-02-22,0.7604,-0.3055,MyFuture 2030,PHP,N,7,A,TDF30,Sun Life Phils - Peso MyFuture 2030
2022-02-22,2.6326,true,2022-02-21,1.324,0.5462,MyFuture 2030,PHP,N,7,A,TDF30,Sun Life Phils - Peso MyFuture 2030
2022-02-21,2.6151,true,2022-02-20,-0.5665,-0.1222,MyFuture 2030,PHP,N,7,A,TDF30,Sun Life Phils - Peso MyFuture 2030
2022-02-18,2.6264,true,2022-02-17,0.4321,0.3094,MyFuture 2030,PHP,N,7,A,TDF30,Sun Life Phils - Peso MyFuture 2030
2022-02-17,2.6352,true,2022-02-16,-0.4796,0.6455,MyFuture 2030,PHP,N,7,A,TDF30,Sun Life Phils - Peso MyFuture 2030
2022-02-16,2.6358,true,2022-02-15,-1.218,0.6684,MyFuture 2030,PHP,N,7,A,TDF30,Sun Life Phils - Peso MyFuture 2030
2022-02-15,2.6143,true,2022-02-14,-1.2988,-0.1528,MyFuture 2030,PHP,N,7,A,TDF30,Sun Life Phils - Peso MyFuture 2030
2022-02-14,2.6169,true,2022-02-13,-1.524,-0.0535,MyFuture 2030,PHP,N,7,A,TDF30,Sun Life Phils - Peso MyFuture 2030
2022-02-11,2.6077,true,2022-02-10,-1.8702,-0.4048,MyFuture 2030,PHP,N,7,A,TDF30,Sun Life Phils - Peso MyFuture 2030
2022-02-10,2.6469,true,2022-02-09,-1.2572,1.0923,MyFuture 2030,PHP,N,7,A,TDF30,Sun Life Phils - Peso MyFuture 2030
2022-02-09,2.6644,true,2022-02-08,-0.5487,1.7607,MyFuture 2030,PHP,N,7,A,TDF30,Sun Life Phils - Peso MyFuture 2030
2022-02-08,2.6638,true,2022-02-07,-0.2322,1.7378,MyFuture 2030,PHP,N,7,A,TDF30,Sun Life Phils - Peso MyFuture 2030
2022-02-07,2.6495,true,2022-02-06,-0.7492,1.1916,MyFuture 2030,PHP,N,7,A,TDF30,Sun Life Phils - Peso MyFuture 2030
2022-02-04,2.6664,true,2022-02-03,0.9044,1.8371,MyFuture 2030,PHP,N,7,A,TDF30,Sun Life Phils - Peso MyFuture 2030
2022-02-03,2.6525,true,2022-02-02,0.7483,1.3062,MyFuture 2030,PHP,N,7,A,TDF30,Sun Life Phils - Peso MyFuture 2030
2022-02-02,2.6658,true,2022-02-01,1.0385,1.8142,MyFuture 2030,PHP,N,7,A,TDF30,Sun Life Phils - Peso MyFuture 2030
2022-01-31,2.6429,true,2022-01-30,2.617,0.9395,MyFuture 2030,PHP,N,7,A,TDF30,Sun Life Phils - Peso MyFuture 2030
2022-01-28,2.6252,true,2022-01-27,-0.3076,0.2635,MyFuture 2030,PHP,N,7,A,TDF30,Sun Life Phils - Peso MyFuture 2030
2022-01-27,2.6232,true,2022-01-26,-0.5573,0.1871,MyFuture 2030,PHP,N,7,A,TDF30,Sun Life Phils - Peso MyFuture 2030
2022-01-26,2.6224,true,2022-01-25,-1.7202,0.1566,MyFuture 2030,PHP,N,7,A,TDF30,Sun Life Phils - Peso MyFuture 2030
2022-01-25,2.6306,true,2022-01-24,-2.3062,0.4698,MyFuture 2030,PHP,N,7,A,TDF30,Sun Life Phils - Peso MyFuture 2030
2022-01-24,2.6253,true,2022-01-23,-2.2271,0.2673,MyFuture 2030,PHP,N,7,A,TDF30,Sun Life Phils - Peso MyFuture 2030
2022-01-21,2.6335,true,2022-01-20,-2.7224,0.5805,MyFuture 2030,PHP,N,7,A,TDF30,Sun Life Phils - Peso MyFuture 2030
2022-01-20,2.6294,true,2022-01-19,-2.9097,0.4239,MyFuture 2030,PHP,N,7,A,TDF30,Sun Life Phils - Peso MyFuture 2030
2022-01-19,2.6339,true,2022-01-18,-3.1654,0.5958,MyFuture 2030,PHP,N,7,A,TDF30,Sun Life Phils - Peso MyFuture 2030
2022-01-18,2.6481,true,2022-01-17,-2.6863,1.1381,MyFuture 2030,PHP,N,7,A,TDF30,Sun Life Phils - Peso MyFuture 2030
2022-01-17,2.6258,true,2022-01-16,-3.7216,0.2864,MyFuture 2030,PHP,N,7,A,TDF30,Sun Life Phils - Peso MyFuture 2030
2022-01-14,2.6336,true,2022-01-13,-3.7075,0.5843,MyFuture 2030,PHP,N,7,A,TDF30,Sun Life Phils - Peso MyFuture 2030
2022-01-13,2.6419,true,2022-01-12,-3.1313,0.9013,MyFuture 2030,PHP,N,7,A,TDF30,Sun Life Phils - Peso MyFuture 2030
2022-01-12,2.6251,true,2022-01-11,-3.8918,0.2597,MyFuture 2030,PHP,N,7,A,TDF30,Sun Life Phils - Peso MyFuture 2030
2022-01-11,2.6013,true,2022-01-10,-5.1832,-0.6493,MyFuture 2030,PHP,N,7,A,TDF30,Sun Life Phils - Peso MyFuture 2030
2022-01-10,2.6127,true,2022-01-09,-4.6773,-0.2139,MyFuture 2030,PHP,N,7,A,TDF30,Sun Life Phils - Peso MyFuture 2030
2022-01-07,2.5897,true,2022-01-06,-4.0425,-1.0923,MyFuture 2030,PHP,N,7,A,TDF30,Sun Life Phils - Peso MyFuture 2030
2022-01-06,2.6005,true,2022-01-05,-3.0894,-0.6798,MyFuture 2030,PHP,N,7,A,TDF30,Sun Life Phils - Peso MyFuture 2030
2022-01-05,2.6008,true,2022-01-04,-3.8308,-0.6684,MyFuture 2030,PHP,N,7,A,TDF30,Sun Life Phils - Peso MyFuture 2030
2022-01-04,2.5969,true,2022-01-03,-4.5082,-0.8173,MyFuture 2030,PHP,N,7,A,TDF30,Sun Life Phils - Peso MyFuture 2030
2022-01-03,2.5986,true,2022-01-02,-3.9867,-0.7524,MyFuture 2030,PHP,N,7,A,TDF30,Sun Life Phils - Peso MyFuture 2030
2021-12-31,2.6183,true,2021-12-30,-3.2588,-3.2588,MyFuture 2030,PHP,N,7,A,TDF30,Sun Life Phils - Peso MyFuture 2030
2021-12-29,2.6684,true,2021-12-28,-1.4077,-1.4077,MyFuture 2030,PHP,N,7,A,TDF30,Sun Life Phils - Peso MyFuture 2030
2021-12-28,2.657,true,2021-12-27,-1.6327,-1.8289,MyFuture 2030,PHP,N,7,A,TDF30,Sun Life Phils - Peso MyFuture 2030
2021-12-27,2.6463,true,2021-12-26,-2.7453,-2.2243,MyFuture 2030,PHP,N,7,A,TDF30,Sun Life Phils - Peso MyFuture 2030
2021-12-24,2.6304,true,2021-12-23,-3.3297,-2.8117,MyFuture 2030,PHP,N,7,A,TDF30,Sun Life Phils - Peso MyFuture 2030
2021-12-23,2.6505,true,2021-12-22,-2.591,-2.0691,MyFuture 2030,PHP,N,7,A,TDF30,Sun Life Phils - Peso MyFuture 2030
2021-12-22,2.6184,true,2021-12-21,-3.7211,-3.2551,MyFuture 2030,PHP,N,7,A,TDF30,Sun Life Phils - Peso MyFuture 2030
2021-12-21,2.6297,true,2021-12-20,-3.3873,-2.8376,MyFuture 2030,PHP,N,7,A,TDF30,Sun Life Phils - Peso MyFuture 2030
2021-12-20,2.6464,true,2021-12-19,-3.3031,-2.2206,MyFuture 2030,PHP,N,7,A,TDF30,Sun Life Phils - Peso MyFuture 2030
2021-12-17,2.6626,true,2021-12-16,-2.97,-1.622,MyFuture 2030,PHP,N,7,A,TDF30,Sun Life Phils - Peso MyFuture 2030
2021-12-16,2.6477,true,2021-12-15,-3.5341,-2.1725,MyFuture 2030,PHP,N,7,A,TDF30,Sun Life Phils - Peso MyFuture 2030
2021-12-15,2.6208,true,2021-12-14,-3.8909,-3.1665,MyFuture 2030,PHP,N,7,A,TDF30,Sun Life Phils - Peso MyFuture 2030
2021-12-14,2.6434,true,2021-12-13,-3.5079,-2.3314,MyFuture 2030,PHP,N,7,A,TDF30,Sun Life Phils - Peso MyFuture 2030
2021-12-13,2.6306,true,2021-12-12,-3.6163,-2.8044,MyFuture 2030,PHP,N,7,A,TDF30,Sun Life Phils - Peso MyFuture 2030
2021-12-10,2.6292,true,2021-12-09,-2.8381,-2.8561,MyFuture 2030,PHP,N,7,A,TDF30,Sun Life Phils - Peso MyFuture 2030
2021-12-09,2.6396,true,2021-12-08,-1.972,-2.4718,MyFuture 2030,PHP,N,7,A,TDF30,Sun Life Phils - Peso MyFuture 2030
2021-12-07,2.619,true,2021-12-06,-3.6424,-3.233,MyFuture 2030,PHP,N,7,A,TDF30,Sun Life Phils - Peso MyFuture 2030
2021-12-06,2.6164,true,2021-12-05,-3.1322,-3.329,MyFuture 2030,PHP,N,7,A,TDF30,Sun Life Phils - Peso MyFuture 2030
2021-12-03,2.5992,true,2021-12-02,-4.2687,-3.9645,MyFuture 2030,PHP,N,7,A,TDF30,Sun Life Phils - Peso MyFuture 2030
2021-12-02,2.5941,true,2021-12-01,-3.4753,-4.153,MyFuture 2030,PHP,N,7,A,TDF30,Sun Life Phils - Peso MyFuture 2030
2021-12-01,2.5752,true,2021-11-30,-3.6155,-4.8513,MyFuture 2030,PHP,N,7,A,TDF30,Sun Life Phils - Peso MyFuture 2030
2021-11-29,2.632,true,2021-11-28,0.5732,-2.7526,MyFuture 2030,PHP,N,7,A,TDF30,Sun Life Phils - Peso MyFuture 2030
2021-11-26,2.6504,true,2021-11-25,-0.0641,-2.0728,MyFuture 2030,PHP,N,7,A,TDF30,Sun Life Phils - Peso MyFuture 2030
2021-11-25,2.6704,true,2021-11-24,-0.0374,-1.3338,MyFuture 2030,PHP,N,7,A,TDF30,Sun Life Phils - Peso MyFuture 2030
2021-11-24,2.681,true,2021-11-23,-0.7956,-0.9422,MyFuture 2030,PHP,N,7,A,TDF30,Sun Life Phils - Peso MyFuture 2030
2021-11-23,2.6752,true,2021-11-22,-1.6217,-1.1565,MyFuture 2030,PHP,N,7,A,TDF30,Sun Life Phils - Peso MyFuture 2030
2021-11-22,2.6491,true,2021-11-21,-2.4775,-2.1208,MyFuture 2030,PHP,N,7,A,TDF30,Sun Life Phils - Peso MyFuture 2030
2021-11-19,2.6469,true,2021-11-18,-0.8429,-2.2021,MyFuture 2030,PHP,N,7,A,TDF30,Sun Life Phils - Peso MyFuture 2030
2021-11-18,2.6469,true,2021-11-17,-1.3308,-2.2021,MyFuture 2030,PHP,N,7,A,TDF30,Sun Life Phils - Peso MyFuture 2030
2021-11-17,2.6564,true,2021-11-16,-0.1128,-1.8511,MyFuture 2030,PHP,N,7,A,TDF30,Sun Life Phils - Peso MyFuture 2030
2021-11-16,2.6598,true,2021-11-15,0.4494,-1.7255,MyFuture 2030,PHP,N,7,A,TDF30,Sun Life Phils - Peso MyFuture 2030
2021-11-15,2.6576,true,2021-11-14,-0.1128,-1.8068,MyFuture 2030,PHP,N,7,A,TDF30,Sun Life Phils - Peso MyFuture 2030
2021-11-12,2.6674,true,2021-11-11,-0.2394,-1.4447,MyFuture 2030,PHP,N,7,A,TDF30,Sun Life Phils - Peso MyFuture 2030
2021-11-11,2.6554,true,2021-11-10,-0.6882,-1.888,MyFuture 2030,PHP,N,7,A,TDF30,Sun Life Phils - Peso MyFuture 2030
2021-11-10,2.6685,true,2021-11-09,-0.3026,-1.404,MyFuture 2030,PHP,N,7,A,TDF30,Sun Life Phils - Peso MyFuture 2030
2021-11-09,2.6862,true,2021-11-08,3.7383,-0.75,MyFuture 2030,PHP,N,7,A,TDF30,Sun Life Phils - Peso MyFuture 2030
2021-11-08,2.6777,true,2021-11-07,3.442,-1.0641,MyFuture 2030,PHP,N,7,A,TDF30,Sun Life Phils - Peso MyFuture 2030
