fundDate,fundVal,readFlag,ingeniumDate,fundYoyVal,fundYtdVal,fundDesc,fundCurrency,weekly,risk,status,fundCode,fundName
2022-03-22,1.2737,true,2022-03-21,0.8552,-2.2637,Opportunity,PHP,N,14,A,SLPOF,Sun Life Phils - Peso Opportunity Fund
2022-03-21,1.2644,true,2022-03-20,-0.5584,-2.9773,Opportunity,PHP,N,14,A,SLPOF,Sun Life Phils - Peso Opportunity Fund
2022-03-18,1.2708,true,2022-03-17,-1.9898,-2.4862,Opportunity,PHP,N,14,A,SLPOF,Sun Life Phils - Peso Opportunity Fund
2022-03-17,1.2842,true,2022-03-16,-0.3724,-1.4579,Opportunity,PHP,N,14,A,SLPOF,Sun Life Phils - Peso Opportunity Fund
2022-03-16,1.2719,true,2022-03-15,-1.2193,-2.4018,Opportunity,PHP,N,14,A,SLPOF,Sun Life Phils - Peso Opportunity Fund
2022-03-15,1.2702,true,2022-03-14,-1.1287,-2.5322,Opportunity,PHP,N,14,A,SLPOF,Sun Life Phils - Peso Opportunity Fund
2022-03-14,1.2491,true,2022-03-13,-4.4958,-4.1513,Opportunity,PHP,N,14,A,SLPOF,Sun Life Phils - Peso Opportunity Fund
2022-03-11,1.2823,true,2022-03-10,-1.8973,-1.6037,Opportunity,PHP,N,14,A,SLPOF,Sun Life Phils - Peso Opportunity Fund
2022-03-10,1.2882,true,2022-03-09,-2.5567,-1.151,Opportunity,PHP,N,14,A,SLPOF,Sun Life Phils - Peso Opportunity Fund
2022-03-09,1.2743,true,2022-03-08,-3.2643,-2.2176,Opportunity,PHP,N,14,A,SLPOF,Sun Life Phils - Peso Opportunity Fund
2022-03-08,1.271,true,2022-03-07,-3.5148,-2.4708,Opportunity,PHP,N,14,A,SLPOF,Sun Life Phils - Peso Opportunity Fund
2022-03-07,1.3005,true,2022-03-06,-2.4088,-0.2072,Opportunity,PHP,N,14,A,SLPOF,Sun Life Phils - Peso Opportunity Fund
2022-03-04,1.3073,true,2022-03-03,-1.8544,0.3146,Opportunity,PHP,N,14,A,SLPOF,Sun Life Phils - Peso Opportunity Fund
2022-03-03,1.3116,true,2022-03-02,-2.134,0.6446,Opportunity,PHP,N,14,A,SLPOF,Sun Life Phils - Peso Opportunity Fund
2022-03-02,1.3048,true,2022-03-01,-2.5177,0.1228,Opportunity,PHP,N,14,A,SLPOF,Sun Life Phils - Peso Opportunity Fund
2022-03-01,1.3134,true,2022-02-28,-1.5664,0.7827,Opportunity,PHP,N,14,A,SLPOF,Sun Life Phils - Peso Opportunity Fund
2022-02-28,1.3012,true,2022-02-27,-1.6329,-0.1535,Opportunity,PHP,N,14,A,SLPOF,Sun Life Phils - Peso Opportunity Fund
2022-02-24,1.2969,true,2022-02-23,-1.6904,-0.4834,Opportunity,PHP,N,14,A,SLPOF,Sun Life Phils - Peso Opportunity Fund
2022-02-23,1.3139,true,2022-02-22,-0.8153,0.8211,Opportunity,PHP,N,14,A,SLPOF,Sun Life Phils - Peso Opportunity Fund
2022-02-22,1.3207,true,2022-02-21,-0.317,1.3428,Opportunity,PHP,N,14,A,SLPOF,Sun Life Phils - Peso Opportunity Fund
2022-02-21,1.3147,true,2022-02-20,-1.9466,0.8824,Opportunity,PHP,N,14,A,SLPOF,Sun Life Phils - Peso Opportunity Fund
2022-02-18,1.3186,true,2022-02-17,-1.1025,1.1817,Opportunity,PHP,N,14,A,SLPOF,Sun Life Phils - Peso Opportunity Fund
2022-02-17,1.3212,true,2022-02-16,-1.9663,1.3812,Opportunity,PHP,N,14,A,SLPOF,Sun Life Phils - Peso Opportunity Fund
2022-02-16,1.3208,true,2022-02-15,-2.6533,1.3505,Opportunity,PHP,N,14,A,SLPOF,Sun Life Phils - Peso Opportunity Fund
2022-02-15,1.3048,true,2022-02-14,-3.1904,0.1228,Opportunity,PHP,N,14,A,SLPOF,Sun Life Phils - Peso Opportunity Fund
2022-02-14,1.3135,true,2022-02-13,-2.9051,0.7904,Opportunity,PHP,N,14,A,SLPOF,Sun Life Phils - Peso Opportunity Fund
2022-02-11,1.3027,true,2022-02-10,-3.7034,-0.0384,Opportunity,PHP,N,14,A,SLPOF,Sun Life Phils - Peso Opportunity Fund
2022-02-10,1.3198,true,2022-02-09,-3.1126,1.2738,Opportunity,PHP,N,14,A,SLPOF,Sun Life Phils - Peso Opportunity Fund
2022-02-09,1.3308,true,2022-02-08,-2.1471,2.1179,Opportunity,PHP,N,14,A,SLPOF,Sun Life Phils - Peso Opportunity Fund
2022-02-08,1.3244,true,2022-02-07,-2.3088,1.6268,Opportunity,PHP,N,14,A,SLPOF,Sun Life Phils - Peso Opportunity Fund
2022-02-07,1.319,true,2022-02-06,-2.6856,1.2124,Opportunity,PHP,N,14,A,SLPOF,Sun Life Phils - Peso Opportunity Fund
2022-02-04,1.3282,true,2022-02-03,-1.0209,1.9184,Opportunity,PHP,N,14,A,SLPOF,Sun Life Phils - Peso Opportunity Fund
2022-02-03,1.3242,true,2022-02-02,-2.7753,1.6114,Opportunity,PHP,N,14,A,SLPOF,Sun Life Phils - Peso Opportunity Fund
2022-02-02,1.3334,true,2022-02-01,-2.107,2.3174,Opportunity,PHP,N,14,A,SLPOF,Sun Life Phils - Peso Opportunity Fund
2022-01-31,1.3233,true,2022-01-30,-0.7426,1.5424,Opportunity,PHP,N,14,A,SLPOF,Sun Life Phils - Peso Opportunity Fund
2022-01-28,1.3159,true,2022-01-27,-3.1215,0.9745,Opportunity,PHP,N,14,A,SLPOF,Sun Life Phils - Peso Opportunity Fund
2022-01-27,1.3182,true,2022-01-26,-3.0093,1.151,Opportunity,PHP,N,14,A,SLPOF,Sun Life Phils - Peso Opportunity Fund
2022-01-26,1.3149,true,2022-01-25,-4.1269,0.8978,Opportunity,PHP,N,14,A,SLPOF,Sun Life Phils - Peso Opportunity Fund
2022-01-25,1.319,true,2022-01-24,-4.6138,1.2124,Opportunity,PHP,N,14,A,SLPOF,Sun Life Phils - Peso Opportunity Fund
2022-01-24,1.3153,true,2022-01-23,-4.64,0.9285,Opportunity,PHP,N,14,A,SLPOF,Sun Life Phils - Peso Opportunity Fund
2022-01-21,1.3211,true,2022-01-20,-4.9226,1.3735,Opportunity,PHP,N,14,A,SLPOF,Sun Life Phils - Peso Opportunity Fund
2022-01-20,1.318,true,2022-01-19,-5.1253,1.1357,Opportunity,PHP,N,14,A,SLPOF,Sun Life Phils - Peso Opportunity Fund
2022-01-19,1.3212,true,2022-01-18,-5.3514,1.3812,Opportunity,PHP,N,14,A,SLPOF,Sun Life Phils - Peso Opportunity Fund
2022-01-18,1.3291,true,2022-01-17,-4.7991,1.9874,Opportunity,PHP,N,14,A,SLPOF,Sun Life Phils - Peso Opportunity Fund
2022-01-17,1.3162,true,2022-01-16,-5.9387,0.9975,Opportunity,PHP,N,14,A,SLPOF,Sun Life Phils - Peso Opportunity Fund
2022-01-14,1.3191,true,2022-01-13,-5.9264,1.2201,Opportunity,PHP,N,14,A,SLPOF,Sun Life Phils - Peso Opportunity Fund
2022-01-13,1.3226,true,2022-01-12,-5.4678,1.4886,Opportunity,PHP,N,14,A,SLPOF,Sun Life Phils - Peso Opportunity Fund
2022-01-12,1.3137,true,2022-01-11,-6.3382,0.8057,Opportunity,PHP,N,14,A,SLPOF,Sun Life Phils - Peso Opportunity Fund
2022-01-11,1.2951,true,2022-01-10,-7.9793,-0.6215,Opportunity,PHP,N,14,A,SLPOF,Sun Life Phils - Peso Opportunity Fund
2022-01-10,1.3042,true,2022-01-09,-7.247,0.0767,Opportunity,PHP,N,14,A,SLPOF,Sun Life Phils - Peso Opportunity Fund
2022-01-07,1.2903,true,2022-01-06,-7.0054,-0.9899,Opportunity,PHP,N,14,A,SLPOF,Sun Life Phils - Peso Opportunity Fund
2022-01-06,1.2987,true,2022-01-05,-5.864,-0.3453,Opportunity,PHP,N,14,A,SLPOF,Sun Life Phils - Peso Opportunity Fund
2022-01-05,1.2998,true,2022-01-04,-6.4556,-0.2609,Opportunity,PHP,N,14,A,SLPOF,Sun Life Phils - Peso Opportunity Fund
2022-01-04,1.2929,true,2022-01-03,-7.4517,-0.7904,Opportunity,PHP,N,14,A,SLPOF,Sun Life Phils - Peso Opportunity Fund
2022-01-03,1.2929,true,2022-01-02,-6.8516,-0.7904,Opportunity,PHP,N,14,A,SLPOF,Sun Life Phils - Peso Opportunity Fund
