fundDate,fundVal,readFlag,ingeniumDate,fundYoyVal,fundYtdVal,fundDesc,fundCurrency,weekly,risk,status,fundCode,fundName
2021-07-27,1.0719,true,2021-07-26,-1.1618,0.337,Sun Dollar Maximizer - PriMO 2,USD,Y,24,A,SLUD9,Sun Dollar Maximizer - PriMO 2
2021-07-21,1.0678,true,2021-07-20,-1.1479,-0.0468,Sun Dollar Maximizer - PriMO 2,USD,Y,24,A,SLUD9,Sun Dollar Maximizer - PriMO 2
2021-07-13,1.069,true,2021-07-12,-0.5489,0.0655,Sun Dollar Maximizer - PriMO 2,USD,Y,24,A,SLUD9,Sun Dollar Maximizer - PriMO 2
2021-07-06,1.068,true,2021-07-05,-0.8449,-0.0281,Sun Dollar Maximizer - PriMO 2,USD,Y,24,A,SLUD9,Sun Dollar Maximizer - PriMO 2
2021-06-29,1.065,true,2021-06-28,-0.2529,-0.3089,Sun Dollar Maximizer - PriMO 2,USD,Y,24,A,SLUD9,Sun Dollar Maximizer - PriMO 2
2021-06-22,1.0648,true,2021-06-21,-0.4022,-0.3276,Sun Dollar Maximizer - PriMO 2,USD,Y,24,A,SLUD9,Sun Dollar Maximizer - PriMO 2
2021-06-15,1.0734,true,2021-06-14,1.6285,0.4774,Sun Dollar Maximizer - PriMO 2,USD,Y,24,A,SLUD9,Sun Dollar Maximizer - PriMO 2
2021-06-08,1.0703,true,2021-06-07,0.5071,0.1872,Sun Dollar Maximizer - PriMO 2,USD,Y,24,A,SLUD9,Sun Dollar Maximizer - PriMO 2
2021-06-01,1.0681,true,2021-05-31,2.0055,-0.0187,Sun Dollar Maximizer - PriMO 2,USD,Y,24,A,SLUD9,Sun Dollar Maximizer - PriMO 2
2021-05-25,1.066,true,2021-05-24,2.6579,-0.2153,Sun Dollar Maximizer - PriMO 2,USD,Y,24,A,SLUD9,Sun Dollar Maximizer - PriMO 2
2021-05-18,1.0664,true,2021-05-17,3.8162,-0.1779,Sun Dollar Maximizer - PriMO 2,USD,Y,24,A,SLUD9,Sun Dollar Maximizer - PriMO 2
2021-05-11,1.0674,true,2021-05-10,4.1772,-0.0842,Sun Dollar Maximizer - PriMO 2,USD,Y,24,A,SLUD9,Sun Dollar Maximizer - PriMO 2
2021-05-04,1.0626,true,2021-05-03,3.871,-0.5336,Sun Dollar Maximizer - PriMO 2,USD,Y,24,A,SLUD9,Sun Dollar Maximizer - PriMO 2
2021-04-27,1.0595,true,2021-04-26,4.0971,-0.8237,Sun Dollar Maximizer - PriMO 2,USD,Y,24,A,SLUD9,Sun Dollar Maximizer - PriMO 2
2021-04-20,1.0596,true,2021-04-19,3.416,-0.8144,Sun Dollar Maximizer - PriMO 2,USD,Y,24,A,SLUD9,Sun Dollar Maximizer - PriMO 2
2021-04-13,1.0576,true,2021-04-12,3.7066,-1.0016,Sun Dollar Maximizer - PriMO 2,USD,Y,24,A,SLUD9,Sun Dollar Maximizer - PriMO 2
