fundDate,fundVal,readFlag,ingeniumDate,fundYoyVal,fundYtdVal,fundDesc,fundCurrency,weekly,risk,status,fundCode,fundName
2022-02-22,0.9773,true,2022-02-21,-8.9529,-3.3429,Sun Dollar Maximizer - PriMO,USD,Y,23,A,SLUD8,Sun Dollar Maximizer - PriMO
2022-02-15,0.9794,true,2022-02-14,-9.0284,-3.1352,Sun Dollar Maximizer - PriMO,USD,Y,23,A,SLUD8,Sun Dollar Maximizer - PriMO
2022-02-08,0.9848,true,2022-02-07,-8.4248,-2.6011,Sun Dollar Maximizer - PriMO,USD,Y,23,A,SLUD8,Sun Dollar Maximizer - PriMO
2022-02-02,0.9907,true,2022-02-01,-7.6184,-2.0176,Sun Dollar Maximizer - PriMO,USD,Y,23,A,SLUD8,Sun Dollar Maximizer - PriMO
2022-01-25,0.9934,true,2022-01-24,-7.4185,-1.7506,Sun Dollar Maximizer - PriMO,USD,Y,23,A,SLUD8,Sun Dollar Maximizer - PriMO
2022-01-18,0.9981,true,2022-01-17,-6.9284,-1.2857,Sun Dollar Maximizer - PriMO,USD,Y,23,A,SLUD8,Sun Dollar Maximizer - PriMO
2022-01-11,1.0029,true,2022-01-10,-6.6375,-0.811,Sun Dollar Maximizer - PriMO,USD,Y,23,A,SLUD8,Sun Dollar Maximizer - PriMO
2022-01-04,1.0126,true,2022-01-03,-6.0319,0.1484,Sun Dollar Maximizer - PriMO,USD,Y,23,A,SLUD8,Sun Dollar Maximizer - PriMO
2021-12-28,1.0111,true,2021-12-27,-5.681,-5.681,Sun Dollar Maximizer - PriMO,USD,Y,23,A,SLUD8,Sun Dollar Maximizer - PriMO
2021-12-21,1.0114,true,2021-12-20,-5.6794,-5.653,Sun Dollar Maximizer - PriMO,USD,Y,23,A,SLUD8,Sun Dollar Maximizer - PriMO
2021-12-14,1.0078,true,2021-12-13,-5.7073,-5.9888,Sun Dollar Maximizer - PriMO,USD,Y,23,A,SLUD8,Sun Dollar Maximizer - PriMO
2021-12-07,1.0058,true,2021-12-06,-5.7534,-6.1754,Sun Dollar Maximizer - PriMO,USD,Y,23,A,SLUD8,Sun Dollar Maximizer - PriMO
2021-12-01,1.0103,true,2021-11-30,-5.4203,-5.7556,Sun Dollar Maximizer - PriMO,USD,Y,23,A,SLUD8,Sun Dollar Maximizer - PriMO
2021-11-23,1.0107,true,2021-11-22,-4.9915,-5.7183,Sun Dollar Maximizer - PriMO,USD,Y,23,A,SLUD8,Sun Dollar Maximizer - PriMO
2021-11-16,1.0119,true,2021-11-15,-4.6906,-5.6063,Sun Dollar Maximizer - PriMO,USD,Y,23,A,SLUD8,Sun Dollar Maximizer - PriMO
2021-11-09,1.019,true,2021-11-08,-3.9947,-4.944,Sun Dollar Maximizer - PriMO,USD,Y,23,A,SLUD8,Sun Dollar Maximizer - PriMO
2021-11-02,1.0133,true,2021-11-01,-3.8067,-5.4757,Sun Dollar Maximizer - PriMO,USD,Y,23,A,SLUD8,Sun Dollar Maximizer - PriMO
2021-10-26,1.0134,true,2021-10-25,-4.0977,-5.4664,Sun Dollar Maximizer - PriMO,USD,Y,23,A,SLUD8,Sun Dollar Maximizer - PriMO
2021-10-19,1.0152,true,2021-10-18,-3.7086,-5.2985,Sun Dollar Maximizer - PriMO,USD,Y,23,A,SLUD8,Sun Dollar Maximizer - PriMO
2021-10-12,1.0159,true,2021-10-11,-3.5965,-5.2332,Sun Dollar Maximizer - PriMO,USD,Y,23,A,SLUD8,Sun Dollar Maximizer - PriMO
2021-10-05,1.0245,true,2021-10-04,-2.2983,-4.431,Sun Dollar Maximizer - PriMO,USD,Y,23,A,SLUD8,Sun Dollar Maximizer - PriMO
2021-09-28,1.0253,true,2021-09-27,-1.9227,-4.3563,Sun Dollar Maximizer - PriMO,USD,Y,23,A,SLUD8,Sun Dollar Maximizer - PriMO
