fundDate,fundVal,readFlag,ingeniumDate,fundYoyVal,fundYtdVal,fundDesc,fundCurrency,weekly,risk,status,fundCode,fundName
2021-10-26,1.0406,true,2021-10-25,3.9976,3.6041,Sun Dollar Maximizer - WT,USD,Y,19,A,SLUD7,Sun Life Phils - Sun Dollar Maximizer - WT
2021-10-19,1.0426,true,2021-10-18,4.0727,3.8033,Sun Dollar Maximizer - WT,USD,Y,19,A,SLUD7,Sun Life Phils - Sun Dollar Maximizer - WT
2021-10-12,1.0426,true,2021-10-11,4.2079,3.8033,Sun Dollar Maximizer - WT,USD,Y,19,A,SLUD7,Sun Life Phils - Sun Dollar Maximizer - WT
2021-10-05,1.0436,true,2021-10-04,4.4645,3.9028,Sun Dollar Maximizer - WT,USD,Y,19,A,SLUD7,Sun Life Phils - Sun Dollar Maximizer - WT
2021-09-28,1.0437,true,2021-09-27,5.3604,3.9128,Sun Dollar Maximizer - WT,USD,Y,19,A,SLUD7,Sun Life Phils - Sun Dollar Maximizer - WT
2021-09-21,1.043,true,2021-09-20,5.1942,3.8431,Sun Dollar Maximizer - WT,USD,Y,19,A,SLUD7,Sun Life Phils - Sun Dollar Maximizer - WT
2021-09-14,1.0432,true,2021-09-13,5.2355,3.863,Sun Dollar Maximizer - WT,USD,Y,19,A,SLUD7,Sun Life Phils - Sun Dollar Maximizer - WT
2021-09-07,1.0433,true,2021-09-06,5.32,3.873,Sun Dollar Maximizer - WT,USD,Y,19,A,SLUD7,Sun Life Phils - Sun Dollar Maximizer - WT
2021-08-31,1.0426,true,2021-08-30,5.3663,3.8033,Sun Dollar Maximizer - WT,USD,Y,19,A,SLUD7,Sun Life Phils - Sun Dollar Maximizer - WT
2021-08-24,1.0424,true,2021-08-23,5.2398,3.7834,Sun Dollar Maximizer - WT,USD,Y,19,A,SLUD7,Sun Life Phils - Sun Dollar Maximizer - WT
2021-08-17,1.0399,true,2021-08-16,5.1785,3.5344,Sun Dollar Maximizer - WT,USD,Y,19,A,SLUD7,Sun Life Phils - Sun Dollar Maximizer - WT
2021-08-10,1.0388,true,2021-08-09,5.1204,3.4249,Sun Dollar Maximizer - WT,USD,Y,19,A,SLUD7,Sun Life Phils - Sun Dollar Maximizer - WT
2021-08-03,1.039,true,2021-08-02,5.2898,3.4448,Sun Dollar Maximizer - WT,USD,Y,19,A,SLUD7,Sun Life Phils - Sun Dollar Maximizer - WT
2021-07-27,1.0385,true,2021-07-26,5.5386,3.3951,Sun Dollar Maximizer - WT,USD,Y,19,A,SLUD7,Sun Life Phils - Sun Dollar Maximizer - WT
2021-07-21,1.0442,true,2021-07-20,6.4858,3.9626,Sun Dollar Maximizer - WT,USD,Y,19,A,SLUD7,Sun Life Phils - Sun Dollar Maximizer - WT
2021-07-13,1.0442,true,2021-07-12,6.6163,3.9626,Sun Dollar Maximizer - WT,USD,Y,19,A,SLUD7,Sun Life Phils - Sun Dollar Maximizer - WT
