fundValDate,fundNetVal,fundYoyVal,fundYtdVal,fundDesc,fundCurrency,weekly,fundCode,fundName,fundUrl
2021-08-13,0.8288,0.4484,-11.1778,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-08-12,0.8535,4.9815,-8.5307,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-08-11,0.8663,7.1623,-7.1589,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-08-10,0.8629,7.0728,-7.5233,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-08-09,0.8639,8.4893,-7.4161,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-08-06,0.854,6.5369,-8.4771,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-08-05,0.8554,7.8145,-8.3271,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-08-04,0.8594,9.2272,-7.8984,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-08-03,0.8567,9.8052,-8.1878,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-08-02,0.8442,4.8956,-9.5274,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-07-30,0.8248,2.4851,-11.6065,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-07-29,0.8499,5.0816,-8.9165,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-07-28,0.8474,5.3325,-9.1844,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-07-27,0.8513,6.813,-8.7665,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-07-26,0.8347,2.606,-10.5455,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-07-23,0.8511,4.2121,-8.7879,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-07-22,0.8575,4.484,-8.102,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-07-21,0.8467,2.1228,-9.2595,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-07-19,0.8596,4.3457,-7.877,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-07-16,0.8723,5.0078,-6.5159,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-07-15,0.874,7.1341,-6.3337,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-07-14,0.8863,6.3475,-5.0155,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-07-13,0.8819,5.7815,-5.4871,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-07-12,0.8953,6.9781,-4.051,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-07-09,0.8868,6.0132,-4.962,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-07-08,0.8968,5.8921,-3.8903,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-07-07,0.899,6.4661,-3.6545,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-07-06,0.9047,6.2478,-3.0436,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-07-05,0.9096,6.1377,-2.5185,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-07-02,0.906,5.8288,-2.9043,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-07-01,0.9017,7.486,-3.3651,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-06-30,0.8949,6.7263,-4.0939,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-06-29,0.901,8.9348,-3.4401,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-06-28,0.899,7.6389,-3.6545,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-06-25,0.9006,9.5487,-3.483,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-06-24,0.8936,7.6627,-4.2332,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-06-23,0.8972,6.4673,-3.8474,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-06-22,0.8919,5.1273,-4.4154,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-06-21,0.887,4.9828,-4.9405,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-06-18,0.8894,4.7709,-4.6833,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-06-17,0.8932,6.0808,-4.2761,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-06-16,0.9028,7.1954,-3.2472,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-06-15,0.9032,8.99,-3.2044,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-06-14,0.8967,3.7007,-3.901,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-06-11,0.8958,3.5966,-3.9974,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-06-10,0.892,3.6848,-4.4047,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-06-09,0.8949,2.0178,-4.0939,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-06-08,0.8845,1.7837,-5.2084,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-06-07,0.8792,1.8654,-5.7764,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-06-04,0.8828,1.6114,-5.3906,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-06-03,0.8824,5.3486,-5.4335,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-06-02,0.8879,9.3877,-4.8441,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-06-01,0.8646,7.8055,-7.3411,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-05-31,0.8647,9.3035,-7.3304,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-05-28,0.8699,14.4154,-6.7731,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-05-27,0.8689,15.1318,-6.8803,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-05-26,0.8337,10.9824,-10.6527,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-05-25,0.8172,8.1382,-12.421,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-05-24,0.8136,7.6618,-12.8068,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-05-21,0.8174,7.2141,-12.3995,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-05-20,0.8169,7.5151,-12.4531,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-05-19,0.822,8.429,-11.9065,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-05-18,0.8226,9.7678,-11.8422,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-05-17,0.8277,9.3684,-11.2957,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-05-14,0.8257,7.2616,-11.51,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-05-12,0.8222,6.8764,-11.8851,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-05-11,0.8323,7.8668,-10.8027,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-05-10,0.8312,8.441,-10.9206,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-05-07,0.8244,7.0649,-11.6493,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-05-06,0.8271,7.6673,-11.36,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-05-05,0.8287,7.3307,-11.1885,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-05-04,0.8353,10.0092,-10.4812,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-05-03,0.8366,8.1437,-10.3419,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-04-30,0.8369,8.1825,-10.3097,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-04-29,0.8498,10.6366,-8.9272,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-04-28,0.8477,11.657,-9.1523,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-04-27,0.8353,12.2715,-10.4812,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-04-26,0.838,12.5436,-10.1918,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-04-23,0.8369,10.1764,-10.3097,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-04-22,0.8412,10.9763,-9.8489,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-04-21,0.8434,10.9445,-9.6131,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-04-20,0.8501,9.4643,-8.8951,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-04-19,0.8456,7.9811,-9.3773,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-04-16,0.8497,13.0973,-8.9379,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-04-15,0.8549,7.0364,-8.3807,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-04-14,0.8531,9.5403,-8.5736,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-04-13,0.8459,11.7733,-9.3452,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-04-12,0.8526,14.4122,-8.6272,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-04-08,0.8553,14.7746,-8.3378,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-04-07,0.8673,14.0884,-7.0518,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-04-06,0.8604,14.552,-7.7912,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-04-05,0.8503,17.1858,-8.8736,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
2021-03-31,0.8446,16.8511,-9.4845,Achiever 2048,PHP,Y,CF0015,SUN LIFE PROSPERITY ACHIEVER FUND 2048,
