fundValDate,fundNetVal,fundYoyVal,fundYtdVal,fundDesc,fundCurrency,weekly,fundCode,fundName,fundUrl
2021-08-09,3.4763,8.0301,-2.7173,Balanced,PHP,N,CF0002,SUN LIFE PROSPERITY BALANCED FUND,
2021-08-06,3.4385,6.3826,-3.7751,Balanced,PHP,N,CF0002,SUN LIFE PROSPERITY BALANCED FUND,
2021-08-05,3.4246,6.536,-4.1641,Balanced,PHP,N,CF0002,SUN LIFE PROSPERITY BALANCED FUND,
2021-08-04,3.4412,7.598,-3.6996,Balanced,PHP,N,CF0002,SUN LIFE PROSPERITY BALANCED FUND,
2021-08-03,3.4307,7.9176,-3.9934,Balanced,PHP,N,CF0002,SUN LIFE PROSPERITY BALANCED FUND,
2021-08-02,3.394,4.6368,-5.0204,Balanced,PHP,N,CF0002,SUN LIFE PROSPERITY BALANCED FUND,
2021-07-30,3.3363,2.8579,-6.6351,Balanced,PHP,N,CF0002,SUN LIFE PROSPERITY BALANCED FUND,
2021-07-29,3.4051,4.621,-4.7098,Balanced,PHP,N,CF0002,SUN LIFE PROSPERITY BALANCED FUND,
2021-07-28,3.3974,4.8257,-4.9253,Balanced,PHP,N,CF0002,SUN LIFE PROSPERITY BALANCED FUND,
2021-07-27,3.4113,5.9574,-4.5363,Balanced,PHP,N,CF0002,SUN LIFE PROSPERITY BALANCED FUND,
2021-07-26,3.3581,2.8578,-6.0251,Balanced,PHP,N,CF0002,SUN LIFE PROSPERITY BALANCED FUND,
2021-07-23,3.4039,4.0153,-4.7434,Balanced,PHP,N,CF0002,SUN LIFE PROSPERITY BALANCED FUND,
2021-07-22,3.4219,4.2944,-4.2397,Balanced,PHP,N,CF0002,SUN LIFE PROSPERITY BALANCED FUND,
2021-07-21,3.3946,2.9821,-5.0036,Balanced,PHP,N,CF0002,SUN LIFE PROSPERITY BALANCED FUND,
2021-07-19,3.423,4.2803,-4.2089,Balanced,PHP,N,CF0002,SUN LIFE PROSPERITY BALANCED FUND,
2021-07-16,3.4597,4.8108,-3.1818,Balanced,PHP,N,CF0002,SUN LIFE PROSPERITY BALANCED FUND,
2021-07-15,3.4728,6.446,-2.8152,Balanced,PHP,N,CF0002,SUN LIFE PROSPERITY BALANCED FUND,
2021-07-14,3.5096,6.1842,-1.7854,Balanced,PHP,N,CF0002,SUN LIFE PROSPERITY BALANCED FUND,
2021-07-13,3.4941,5.8273,-2.2192,Balanced,PHP,N,CF0002,SUN LIFE PROSPERITY BALANCED FUND,
2021-07-12,3.5258,6.6034,-1.3321,Balanced,PHP,N,CF0002,SUN LIFE PROSPERITY BALANCED FUND,
2021-07-09,3.4954,5.6619,-2.1828,Balanced,PHP,N,CF0002,SUN LIFE PROSPERITY BALANCED FUND,
2021-07-08,3.5241,5.6543,-1.3796,Balanced,PHP,N,CF0002,SUN LIFE PROSPERITY BALANCED FUND,
2021-07-07,3.5285,5.9832,-1.2565,Balanced,PHP,N,CF0002,SUN LIFE PROSPERITY BALANCED FUND,
