fundValDate,fundNetVal,fundYoyVal,fundYtdVal,fundDesc,fundCurrency,weekly,fundCode,fundName,fundUrl
2022-03-11,3.161,0.1172,-0.6412,Bond,PHP,N,CF0001,SUN LIFE PROSPERITY BOND FUND,
2022-03-10,3.1648,0.019,-0.5218,Bond,PHP,N,CF0001,SUN LIFE PROSPERITY BOND FUND,
2022-03-09,3.1623,-0.3435,-0.6004,Bond,PHP,N,CF0001,SUN LIFE PROSPERITY BOND FUND,
2022-03-08,3.164,-0.6188,-0.5469,Bond,PHP,N,CF0001,SUN LIFE PROSPERITY BOND FUND,
2022-03-07,3.1684,-0.5431,-0.4086,Bond,PHP,N,CF0001,SUN LIFE PROSPERITY BOND FUND,
2022-03-04,3.1722,-0.5112,-0.2892,Bond,PHP,N,CF0001,SUN LIFE PROSPERITY BOND FUND,
2022-03-03,3.1709,-0.5613,-0.33,Bond,PHP,N,CF0001,SUN LIFE PROSPERITY BOND FUND,
2022-03-02,3.1667,-0.6214,-0.4621,Bond,PHP,N,CF0001,SUN LIFE PROSPERITY BOND FUND,
2022-03-01,3.1595,-0.8473,-0.6884,Bond,PHP,N,CF0001,SUN LIFE PROSPERITY BOND FUND,
2022-02-28,3.1636,-0.6157,-0.5595,Bond,PHP,N,CF0001,SUN LIFE PROSPERITY BOND FUND,
2022-02-24,3.1703,-0.6362,-0.3489,Bond,PHP,N,CF0001,SUN LIFE PROSPERITY BOND FUND,
2022-02-23,3.1716,-0.5768,-0.308,Bond,PHP,N,CF0001,SUN LIFE PROSPERITY BOND FUND,
2022-02-22,3.1797,-0.3323,-0.0534,Bond,PHP,N,CF0001,SUN LIFE PROSPERITY BOND FUND,
2022-02-21,3.1824,-0.3694,0.0314,Bond,PHP,N,CF0001,SUN LIFE PROSPERITY BOND FUND,
2022-02-18,3.1825,-0.5033,0.0346,Bond,PHP,N,CF0001,SUN LIFE PROSPERITY BOND FUND,
2022-02-17,3.1834,-0.5405,0.0629,Bond,PHP,N,CF0001,SUN LIFE PROSPERITY BOND FUND,
2022-02-16,3.1833,-0.5964,0.0597,Bond,PHP,N,CF0001,SUN LIFE PROSPERITY BOND FUND,
2022-02-15,3.1837,-0.5964,0.0723,Bond,PHP,N,CF0001,SUN LIFE PROSPERITY BOND FUND,
2022-02-14,3.1841,-0.6366,0.0849,Bond,PHP,N,CF0001,SUN LIFE PROSPERITY BOND FUND,
2022-02-11,3.1847,-0.6179,0.1037,Bond,PHP,N,CF0001,SUN LIFE PROSPERITY BOND FUND,
2022-02-10,3.1873,-0.5367,0.1855,Bond,PHP,N,CF0001,SUN LIFE PROSPERITY BOND FUND,
2022-02-09,3.1868,-0.5492,0.1697,Bond,PHP,N,CF0001,SUN LIFE PROSPERITY BOND FUND,
2022-02-08,3.189,-0.5023,0.2389,Bond,PHP,N,CF0001,SUN LIFE PROSPERITY BOND FUND,
2022-02-07,3.1885,-0.5241,0.2232,Bond,PHP,N,CF0001,SUN LIFE PROSPERITY BOND FUND,
2022-02-04,3.1869,-0.5616,0.1729,Bond,PHP,N,CF0001,SUN LIFE PROSPERITY BOND FUND,
2022-02-03,3.189,-0.4899,0.2389,Bond,PHP,N,CF0001,SUN LIFE PROSPERITY BOND FUND,
2022-02-02,3.188,-0.5118,0.2075,Bond,PHP,N,CF0001,SUN LIFE PROSPERITY BOND FUND,
2022-01-31,3.1881,-0.4403,0.2106,Bond,PHP,N,CF0001,SUN LIFE PROSPERITY BOND FUND,
2022-01-28,3.1858,-0.509,0.1383,Bond,PHP,N,CF0001,SUN LIFE PROSPERITY BOND FUND,
2022-01-27,3.1863,-0.5742,0.154,Bond,PHP,N,CF0001,SUN LIFE PROSPERITY BOND FUND,
2022-01-26,3.1871,-0.732,0.1792,Bond,PHP,N,CF0001,SUN LIFE PROSPERITY BOND FUND,
2022-01-25,3.1906,-0.626,0.2892,Bond,PHP,N,CF0001,SUN LIFE PROSPERITY BOND FUND,
2022-01-24,3.1914,-0.567,0.3143,Bond,PHP,N,CF0001,SUN LIFE PROSPERITY BOND FUND,
2022-01-21,3.1912,-0.5857,0.308,Bond,PHP,N,CF0001,SUN LIFE PROSPERITY BOND FUND,
2022-01-20,3.1915,-0.5484,0.3175,Bond,PHP,N,CF0001,SUN LIFE PROSPERITY BOND FUND,
2022-01-19,3.1934,-0.4054,0.3772,Bond,PHP,N,CF0001,SUN LIFE PROSPERITY BOND FUND,
2022-01-18,3.1936,-0.3681,0.3835,Bond,PHP,N,CF0001,SUN LIFE PROSPERITY BOND FUND,
2022-01-17,3.1941,-0.2218,0.3992,Bond,PHP,N,CF0001,SUN LIFE PROSPERITY BOND FUND,
2022-01-14,3.1943,-0.1688,0.4055,Bond,PHP,N,CF0001,SUN LIFE PROSPERITY BOND FUND,
2022-01-13,3.1914,-0.2189,0.3143,Bond,PHP,N,CF0001,SUN LIFE PROSPERITY BOND FUND,
2022-01-12,3.19,-0.2502,0.2703,Bond,PHP,N,CF0001,SUN LIFE PROSPERITY BOND FUND,
2022-01-11,3.1857,-0.3846,0.1352,Bond,PHP,N,CF0001,SUN LIFE PROSPERITY BOND FUND,
2022-01-10,3.1828,-0.5375,0.044,Bond,PHP,N,CF0001,SUN LIFE PROSPERITY BOND FUND,
2022-01-07,3.1815,-0.5346,0.0031,Bond,PHP,N,CF0001,SUN LIFE PROSPERITY BOND FUND,
2022-01-06,3.1823,-0.7392,0.0283,Bond,PHP,N,CF0001,SUN LIFE PROSPERITY BOND FUND,
2022-01-05,3.1826,-0.7732,0.0377,Bond,PHP,N,CF0001,SUN LIFE PROSPERITY BOND FUND,
2022-01-04,3.1822,-0.764,0.0251,Bond,PHP,N,CF0001,SUN LIFE PROSPERITY BOND FUND,
2022-01-03,3.1837,-0.6925,0.0723,Bond,PHP,N,CF0001,SUN LIFE PROSPERITY BOND FUND,
2021-12-31,3.1814,-0.7642,-0.7642,Bond,PHP,N,CF0001,SUN LIFE PROSPERITY BOND FUND,
2021-12-29,3.1874,-0.5771,-0.5771,Bond,PHP,N,CF0001,SUN LIFE PROSPERITY BOND FUND,
2021-12-28,3.1859,-0.45,-0.6238,Bond,PHP,N,CF0001,SUN LIFE PROSPERITY BOND FUND,
2021-12-27,3.1873,-0.4373,-0.5802,Bond,PHP,N,CF0001,SUN LIFE PROSPERITY BOND FUND,
2021-12-24,3.1867,-0.4561,-0.5989,Bond,PHP,N,CF0001,SUN LIFE PROSPERITY BOND FUND,
2021-12-23,3.193,-0.2593,-0.4024,Bond,PHP,N,CF0001,SUN LIFE PROSPERITY BOND FUND,
2021-12-22,3.1946,-0.0876,-0.3525,Bond,PHP,N,CF0001,SUN LIFE PROSPERITY BOND FUND,
