fundValDate,fundNetVal,fundYoyVal,fundYtdVal,fundDesc,fundCurrency,weekly,fundCode,fundName,fundUrl
2021-11-29,4.7585,8.808,5.8079,Dollar Advantage,USD,,CF0004,SUN LIFE PROSPERITY DOLLAR ADVANTAGE FUND,
2021-11-26,4.796,10.0227,6.6418,Dollar Advantage,USD,,CF0004,SUN LIFE PROSPERITY DOLLAR ADVANTAGE FUND,
2021-11-25,4.7835,9.8771,6.3638,Dollar Advantage,USD,,CF0004,SUN LIFE PROSPERITY DOLLAR ADVANTAGE FUND,
2021-11-24,4.8045,10.7844,6.8308,Dollar Advantage,USD,,CF0004,SUN LIFE PROSPERITY DOLLAR ADVANTAGE FUND,
2021-11-23,4.8451,11.909,7.7335,Dollar Advantage,USD,,CF0004,SUN LIFE PROSPERITY DOLLAR ADVANTAGE FUND,
2021-11-22,4.86,12.3829,8.0648,Dollar Advantage,USD,,CF0004,SUN LIFE PROSPERITY DOLLAR ADVANTAGE FUND,
2021-11-19,4.8611,12.5541,8.0893,Dollar Advantage,USD,,CF0004,SUN LIFE PROSPERITY DOLLAR ADVANTAGE FUND,
2021-11-18,4.8645,12.8183,8.1649,Dollar Advantage,USD,,CF0004,SUN LIFE PROSPERITY DOLLAR ADVANTAGE FUND,
2021-11-17,4.8663,12.6719,8.2049,Dollar Advantage,USD,,CF0004,SUN LIFE PROSPERITY DOLLAR ADVANTAGE FUND,
2021-11-16,4.8657,13.1874,8.1916,Dollar Advantage,USD,,CF0004,SUN LIFE PROSPERITY DOLLAR ADVANTAGE FUND,
2021-11-15,4.8495,13.0499,7.8314,Dollar Advantage,USD,,CF0004,SUN LIFE PROSPERITY DOLLAR ADVANTAGE FUND,
2021-11-12,4.8408,13.7005,7.6379,Dollar Advantage,USD,,CF0004,SUN LIFE PROSPERITY DOLLAR ADVANTAGE FUND,
2021-11-11,4.861,14.175,8.0871,Dollar Advantage,USD,,CF0004,SUN LIFE PROSPERITY DOLLAR ADVANTAGE FUND,
2021-11-10,4.8783,12.8714,8.4717,Dollar Advantage,USD,,CF0004,SUN LIFE PROSPERITY DOLLAR ADVANTAGE FUND,
2021-11-09,4.8806,13.9103,8.5229,Dollar Advantage,USD,,CF0004,SUN LIFE PROSPERITY DOLLAR ADVANTAGE FUND,
2021-11-08,4.8766,13.7002,8.4339,Dollar Advantage,USD,,CF0004,SUN LIFE PROSPERITY DOLLAR ADVANTAGE FUND,
2021-11-05,4.8611,15.5067,8.0893,Dollar Advantage,USD,,CF0004,SUN LIFE PROSPERITY DOLLAR ADVANTAGE FUND,
2021-11-04,4.8321,16.867,7.4445,Dollar Advantage,USD,,CF0004,SUN LIFE PROSPERITY DOLLAR ADVANTAGE FUND,
2021-11-03,4.8323,17.7461,7.4489,Dollar Advantage,USD,,CF0004,SUN LIFE PROSPERITY DOLLAR ADVANTAGE FUND,
2021-11-02,4.8095,16.6024,6.9419,Dollar Advantage,USD,,CF0004,SUN LIFE PROSPERITY DOLLAR ADVANTAGE FUND,
2021-10-29,4.8062,16.5761,6.8686,Dollar Advantage,USD,,CF0004,SUN LIFE PROSPERITY DOLLAR ADVANTAGE FUND,
2021-10-28,4.7953,14.3753,6.6262,Dollar Advantage,USD,,CF0004,SUN LIFE PROSPERITY DOLLAR ADVANTAGE FUND,
2021-10-27,4.8081,14.7956,6.9108,Dollar Advantage,USD,,CF0004,SUN LIFE PROSPERITY DOLLAR ADVANTAGE FUND,
2021-10-26,4.789,13.4942,6.4861,Dollar Advantage,USD,,CF0004,SUN LIFE PROSPERITY DOLLAR ADVANTAGE FUND,
2021-10-25,4.7925,13.6067,6.5639,Dollar Advantage,USD,,CF0004,SUN LIFE PROSPERITY DOLLAR ADVANTAGE FUND,
2021-10-22,4.7895,12.9013,6.4972,Dollar Advantage,USD,,CF0004,SUN LIFE PROSPERITY DOLLAR ADVANTAGE FUND,
2021-10-21,4.7896,12.8691,6.4995,Dollar Advantage,USD,,CF0004,SUN LIFE PROSPERITY DOLLAR ADVANTAGE FUND,
2021-10-20,4.782,12.3986,6.3305,Dollar Advantage,USD,,CF0004,SUN LIFE PROSPERITY DOLLAR ADVANTAGE FUND,
2021-10-19,4.7591,11.585,5.8213,Dollar Advantage,USD,,CF0004,SUN LIFE PROSPERITY DOLLAR ADVANTAGE FUND,
2021-10-18,4.7547,12.1312,5.7234,Dollar Advantage,USD,,CF0004,SUN LIFE PROSPERITY DOLLAR ADVANTAGE FUND,
2021-10-15,4.7324,10.3021,5.2276,Dollar Advantage,USD,,CF0004,SUN LIFE PROSPERITY DOLLAR ADVANTAGE FUND,
2021-10-14,4.6846,9.0786,4.1647,Dollar Advantage,USD,,CF0004,SUN LIFE PROSPERITY DOLLAR ADVANTAGE FUND,
2021-10-13,4.6596,9.0679,3.6088,Dollar Advantage,USD,,CF0004,SUN LIFE PROSPERITY DOLLAR ADVANTAGE FUND,
2021-10-12,4.6773,10.1293,4.0024,Dollar Advantage,USD,,CF0004,SUN LIFE PROSPERITY DOLLAR ADVANTAGE FUND,
2021-10-11,4.693,11.396,4.3515,Dollar Advantage,USD,,CF0004,SUN LIFE PROSPERITY DOLLAR ADVANTAGE FUND,
2021-10-08,4.6984,12.1979,4.4716,Dollar Advantage,USD,,CF0004,SUN LIFE PROSPERITY DOLLAR ADVANTAGE FUND,
2021-10-07,4.6391,11.1375,3.153,Dollar Advantage,USD,,CF0004,SUN LIFE PROSPERITY DOLLAR ADVANTAGE FUND,
2021-10-06,4.6519,11.7627,3.4376,Dollar Advantage,USD,,CF0004,SUN LIFE PROSPERITY DOLLAR ADVANTAGE FUND,
2021-10-05,4.6499,12.3816,3.3931,Dollar Advantage,USD,,CF0004,SUN LIFE PROSPERITY DOLLAR ADVANTAGE FUND,
2021-10-04,4.6711,12.6544,3.8645,Dollar Advantage,USD,,CF0004,SUN LIFE PROSPERITY DOLLAR ADVANTAGE FUND,
2021-10-01,4.671,13.2226,3.8623,Dollar Advantage,USD,,CF0004,SUN LIFE PROSPERITY DOLLAR ADVANTAGE FUND,
2021-09-30,4.6886,13.7816,4.2537,Dollar Advantage,USD,,CF0004,SUN LIFE PROSPERITY DOLLAR ADVANTAGE FUND,
2021-09-29,4.7225,14.9362,5.0074,Dollar Advantage,USD,,CF0004,SUN LIFE PROSPERITY DOLLAR ADVANTAGE FUND,
2021-09-28,4.7687,17.8475,6.0347,Dollar Advantage,USD,,CF0004,SUN LIFE PROSPERITY DOLLAR ADVANTAGE FUND,
2021-09-27,4.7825,18.5195,6.3416,Dollar Advantage,USD,,CF0004,SUN LIFE PROSPERITY DOLLAR ADVANTAGE FUND,
2021-09-24,4.7991,17.4782,6.7107,Dollar Advantage,USD,,CF0004,SUN LIFE PROSPERITY DOLLAR ADVANTAGE FUND,
2021-09-23,4.7602,16.7231,5.8457,Dollar Advantage,USD,,CF0004,SUN LIFE PROSPERITY DOLLAR ADVANTAGE FUND,
2021-09-22,4.7501,16.963,5.6212,Dollar Advantage,USD,,CF0004,SUN LIFE PROSPERITY DOLLAR ADVANTAGE FUND,
2021-09-21,4.735,15.1088,5.2854,Dollar Advantage,USD,,CF0004,SUN LIFE PROSPERITY DOLLAR ADVANTAGE FUND,
2021-09-20,4.7947,16.7361,6.6129,Dollar Advantage,USD,,CF0004,SUN LIFE PROSPERITY DOLLAR ADVANTAGE FUND,
2021-09-17,4.8019,15.7196,6.773,Dollar Advantage,USD,,CF0004,SUN LIFE PROSPERITY DOLLAR ADVANTAGE FUND,
2021-09-16,4.8009,15.5646,6.7507,Dollar Advantage,USD,,CF0004,SUN LIFE PROSPERITY DOLLAR ADVANTAGE FUND,
2021-09-15,4.8098,16.5278,6.9486,Dollar Advantage,USD,,CF0004,SUN LIFE PROSPERITY DOLLAR ADVANTAGE FUND,
2021-09-14,4.8054,17.3337,6.8508,Dollar Advantage,USD,,CF0004,SUN LIFE PROSPERITY DOLLAR ADVANTAGE FUND,
2021-09-13,4.8284,16.8991,7.3622,Dollar Advantage,USD,,CF0004,SUN LIFE PROSPERITY DOLLAR ADVANTAGE FUND,
2021-09-10,4.8347,17.6383,7.5023,Dollar Advantage,USD,,CF0004,SUN LIFE PROSPERITY DOLLAR ADVANTAGE FUND,
2021-09-09,4.8352,18.0037,7.5134,Dollar Advantage,USD,,CF0004,SUN LIFE PROSPERITY DOLLAR ADVANTAGE FUND,
2021-09-08,4.8543,17.115,7.9381,Dollar Advantage,USD,,CF0004,SUN LIFE PROSPERITY DOLLAR ADVANTAGE FUND,
2021-09-07,4.8653,17.2051,8.1827,Dollar Advantage,USD,,CF0004,SUN LIFE PROSPERITY DOLLAR ADVANTAGE FUND,
