fundValDate,fundNetVal,fundYoyVal,fundYtdVal,fundDesc,fundCurrency,weekly,fundCode,fundName,fundUrl
2021-12-06,1.0601,0.7987,0.7317,Dollar Starter,USD,,CF0012,SUN LIFE PROSPERITY DOLLAR STARTER FUND,
2021-12-03,1.0601,0.7987,0.7317,Dollar Starter,USD,,CF0012,SUN LIFE PROSPERITY DOLLAR STARTER FUND,
2021-12-02,1.0601,0.7987,0.7317,Dollar Starter,USD,,CF0012,SUN LIFE PROSPERITY DOLLAR STARTER FUND,
2021-12-01,1.06,0.7988,0.7222,Dollar Starter,USD,,CF0012,SUN LIFE PROSPERITY DOLLAR STARTER FUND,
2021-11-29,1.06,0.8084,0.7222,Dollar Starter,USD,,CF0012,SUN LIFE PROSPERITY DOLLAR STARTER FUND,
2021-11-26,1.06,0.8084,0.7222,Dollar Starter,USD,,CF0012,SUN LIFE PROSPERITY DOLLAR STARTER FUND,
2021-11-25,1.06,0.8084,0.7222,Dollar Starter,USD,,CF0012,SUN LIFE PROSPERITY DOLLAR STARTER FUND,
2021-11-24,1.06,0.8084,0.7222,Dollar Starter,USD,,CF0012,SUN LIFE PROSPERITY DOLLAR STARTER FUND,
2021-11-23,1.06,0.818,0.7222,Dollar Starter,USD,,CF0012,SUN LIFE PROSPERITY DOLLAR STARTER FUND,
2021-11-22,1.06,0.818,0.7222,Dollar Starter,USD,,CF0012,SUN LIFE PROSPERITY DOLLAR STARTER FUND,
2021-11-19,1.0599,0.818,0.7127,Dollar Starter,USD,,CF0012,SUN LIFE PROSPERITY DOLLAR STARTER FUND,
2021-11-18,1.0599,0.818,0.7127,Dollar Starter,USD,,CF0012,SUN LIFE PROSPERITY DOLLAR STARTER FUND,
2021-11-17,1.0599,0.818,0.7127,Dollar Starter,USD,,CF0012,SUN LIFE PROSPERITY DOLLAR STARTER FUND,
2021-11-16,1.0599,0.818,0.7127,Dollar Starter,USD,,CF0012,SUN LIFE PROSPERITY DOLLAR STARTER FUND,
2021-11-15,1.0599,0.8276,0.7127,Dollar Starter,USD,,CF0012,SUN LIFE PROSPERITY DOLLAR STARTER FUND,
2021-11-12,1.0599,0.8372,0.7127,Dollar Starter,USD,,CF0012,SUN LIFE PROSPERITY DOLLAR STARTER FUND,
2021-11-11,1.0599,0.8372,0.7127,Dollar Starter,USD,,CF0012,SUN LIFE PROSPERITY DOLLAR STARTER FUND,
2021-11-10,1.0599,0.8372,0.7127,Dollar Starter,USD,,CF0012,SUN LIFE PROSPERITY DOLLAR STARTER FUND,
2021-11-09,1.0599,0.8372,0.7127,Dollar Starter,USD,,CF0012,SUN LIFE PROSPERITY DOLLAR STARTER FUND,
2021-11-08,1.0599,0.8468,0.7127,Dollar Starter,USD,,CF0012,SUN LIFE PROSPERITY DOLLAR STARTER FUND,
2021-11-05,1.0598,0.8469,0.7032,Dollar Starter,USD,,CF0012,SUN LIFE PROSPERITY DOLLAR STARTER FUND,
2021-11-04,1.0598,0.8469,0.7032,Dollar Starter,USD,,CF0012,SUN LIFE PROSPERITY DOLLAR STARTER FUND,
2021-11-03,1.0598,0.8565,0.7032,Dollar Starter,USD,,CF0012,SUN LIFE PROSPERITY DOLLAR STARTER FUND,
2021-11-02,1.0598,0.8565,0.7032,Dollar Starter,USD,,CF0012,SUN LIFE PROSPERITY DOLLAR STARTER FUND,
2021-10-29,1.0598,0.8661,0.7032,Dollar Starter,USD,,CF0012,SUN LIFE PROSPERITY DOLLAR STARTER FUND,
2021-10-28,1.0598,0.8661,0.7032,Dollar Starter,USD,,CF0012,SUN LIFE PROSPERITY DOLLAR STARTER FUND,
2021-10-27,1.0598,0.8661,0.7032,Dollar Starter,USD,,CF0012,SUN LIFE PROSPERITY DOLLAR STARTER FUND,
2021-10-26,1.0598,0.8757,0.7032,Dollar Starter,USD,,CF0012,SUN LIFE PROSPERITY DOLLAR STARTER FUND,
2021-10-25,1.0598,0.8853,0.7032,Dollar Starter,USD,,CF0012,SUN LIFE PROSPERITY DOLLAR STARTER FUND,
