fundValDate,fundNetVal,fundYoyVal,fundYtdVal,fundDesc,fundCurrency,weekly,fundCode,fundName,fundUrl
2021-07-09,1.2184,9.746,1.5672,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-07-08,1.2241,10.6981,2.0423,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-07-07,1.2217,10.4112,1.8423,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-07-06,1.2201,10.9182,1.7089,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-07-05,1.2203,10.9061,1.7256,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-07-02,1.219,11.5789,1.6172,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-07-01,1.2188,11.9089,1.6005,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-06-30,1.2204,12.2723,1.7339,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-06-29,1.2194,11.964,1.6506,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-06-28,1.218,11.9382,1.5338,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-06-25,1.217,11.5695,1.4505,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-06-24,1.2138,10.8797,1.1837,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-06-23,1.2119,10.99,1.0253,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-06-22,1.2089,10.7558,0.7753,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-06-21,1.2098,11.1234,0.8503,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-06-18,1.2111,11.2019,0.9587,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-06-17,1.2147,11.7479,1.2588,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-06-16,1.2163,13.0811,1.3921,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-06-15,1.2164,12.4318,1.4005,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-06-14,1.2152,11.2413,1.3004,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-06-11,1.2142,11.1498,1.2171,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-06-10,1.2134,11.4438,1.1504,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-06-09,1.2105,11.4846,0.9086,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-06-08,1.2089,12.0182,0.7753,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-06-07,1.207,11.9458,0.6169,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-06-04,1.2043,11.654,0.3918,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-06-03,1.2091,12.5372,0.7919,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-06-02,1.2099,13.1805,0.8586,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-06-01,1.2079,13.1734,0.6919,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-05-31,1.208,13.3421,0.7002,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-05-28,1.2059,13.8071,0.5252,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-05-27,1.2056,13.5323,0.5002,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-05-26,1.205,14.0882,0.4502,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-05-25,1.2006,13.3925,0.0834,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-05-24,1.1991,13.2509,-0.0417,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-05-21,1.1951,12.8731,-0.3751,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-05-20,1.1902,13.1476,-0.7836,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-05-19,1.1947,13.9329,-0.4085,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-05-18,1.1931,14.2926,-0.5418,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-05-17,1.1902,14.4423,-0.7836,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-05-14,1.1863,13.3913,-1.1087,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-05-12,1.1965,14.3553,-0.2584,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-05-11,1.2045,15.2301,0.4085,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-05-10,1.2062,15.7248,0.5502,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-05-07,1.2021,15.8204,0.2084,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-05-06,1.2029,15.7191,0.2751,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-05-05,1.2029,16.1212,0.2751,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-05-04,1.2085,15.8455,0.7419,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-05-03,1.2093,15.9666,0.8086,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-04-30,1.2127,16.2927,1.092,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-04-29,1.2126,16.8996,1.0837,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-04-28,1.2121,17.0998,1.042,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-04-27,1.2116,17.7111,1.0003,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-04-26,1.2076,17.3111,0.6669,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-04-23,1.2062,17.4718,0.5502,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-04-22,1.2016,16.9782,0.1667,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-04-21,1.2039,16.3638,0.3585,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-04-20,1.2077,16.7763,0.6752,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-04-19,1.207,17.5039,0.6169,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-04-16,1.2039,17.5225,0.3585,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-04-15,1.2024,17.2273,0.025,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-04-14,1.1998,18.7098,-0.1913,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-04-13,1.1977,18.4903,-0.366,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-04-12,1.1979,20.1143,-0.3494,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-04-08,1.196,19.9238,-0.5074,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-04-07,1.1946,21.1562,-0.6239,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-04-06,1.1868,21.3993,-1.2728,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-04-05,1.1867,21.4512,-1.2811,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-03-31,1.1747,19.1258,-2.2793,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-03-30,1.1775,20.1408,-2.0464,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-03-29,1.1766,20.838,-2.1213,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-03-26,1.1719,22.6863,-2.5123,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-03-25,1.1795,25.1592,-1.88,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-03-24,1.1847,27.6341,-1.4475,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-03-23,1.1855,25.7291,-1.3809,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-03-22,1.1828,25.164,-1.6055,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-03-19,1.1885,23.1734,-1.1314,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-03-18,1.19,20.2749,-1.0066,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-03-17,1.1945,19.5576,-0.6322,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-03-16,1.1907,17.0221,-0.9483,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-03-15,1.1915,15.7246,-0.8818,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-03-12,1.1906,11.9511,-0.9567,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-03-11,1.1841,10.4159,-1.4974,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-03-10,1.1781,8.8918,-1.9965,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-03-09,1.1768,6.9624,-2.1047,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-03-08,1.1764,6.0584,-2.1379,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-03-05,1.1871,7.1777,-1.2478,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-03-04,1.1983,8.7979,-0.3161,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-03-03,1.2057,10.0794,0.2995,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-03-02,1.2014,10.6363,-0.0582,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-03-01,1.1942,8.5045,-0.6572,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-02-26,1.2077,8.1781,0.4659,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-02-24,1.2091,7.0758,0.5823,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-02-23,1.219,7.7141,1.4059,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-02-22,1.223,8.0675,1.7386,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-02-19,1.2227,8.0983,1.7137,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-02-18,1.2264,8.3392,2.0215,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-02-17,1.2313,8.8298,2.4291,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-02-16,1.2318,8.9799,2.4707,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-02-15,1.231,8.9091,2.4041,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-02-11,1.2303,9.3406,2.3459,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-02-10,1.2257,9.0674,1.9632,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-02-09,1.2216,8.6156,1.6222,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-02-08,1.2174,8.2422,1.2728,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-02-05,1.2128,8.1698,0.8901,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-02-04,1.2123,8.5804,0.8485,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-02-03,1.2091,8.2744,0.5823,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-02-02,1.2002,7.4485,-0.1581,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-02-01,1.1999,7.4217,-0.183,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-01-29,1.2041,7.788,0.1664,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-01-28,1.2066,8.225,0.3743,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-01-27,1.2179,8.615,1.3144,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-01-26,1.2172,8.6301,1.2561,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-01-25,1.2151,8.4427,1.0814,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-01-22,1.2155,8.5462,1.1147,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-01-21,1.2125,8.2106,0.8652,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-01-20,1.2071,7.7383,0.4159,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-01-19,1.2041,7.6242,0.1664,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-01-18,1.2053,7.7315,0.2662,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-01-15,1.2097,8.4835,0.6322,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-01-14,1.2078,8.3715,0.4742,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-01-13,1.2054,8.4188,0.2745,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-01-12,1.2061,8.4817,0.3328,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-01-11,1.2115,8.9674,0.782,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-01-08,1.2072,8.6589,0.4243,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-01-07,1.2036,8.3641,0.1248,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-01-06,1.2046,8.4932,0.208,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-01-05,1.2068,8.6522,0.391,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2021-01-04,1.2062,8.5982,0.3411,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2020-12-29,1.1996,8.6397,8.2769,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2020-12-28,1.1996,8.6397,8.2769,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
2020-12-23,1.1991,8.6437,8.2318,Dollar Wellspring,USD,,CF0010,SUN LIFE PROSPERITY DOLLAR WELLSPRING FUND,
