fundValDate,fundNetVal,fundYoyVal,fundYtdVal,fundDesc,fundCurrency,weekly,fundCode,fundName,fundUrl
2022-02-04,0.9692,11.492,3.1503,Dynamic,PHP,N,CF0008,SUN LIFE PROSPERITY DYNAMIC FUND,
2022-02-03,0.9654,11.4523,2.7458,Dynamic,PHP,N,CF0008,SUN LIFE PROSPERITY DYNAMIC FUND,
2022-02-02,0.9721,11.9802,3.4589,Dynamic,PHP,N,CF0008,SUN LIFE PROSPERITY DYNAMIC FUND,
2022-01-31,0.9661,14.589,2.8203,Dynamic,PHP,N,CF0008,SUN LIFE PROSPERITY DYNAMIC FUND,
2022-01-28,0.9578,10.9849,1.937,Dynamic,PHP,N,CF0008,SUN LIFE PROSPERITY DYNAMIC FUND,
2022-01-27,0.957,10.623,1.8519,Dynamic,PHP,N,CF0008,SUN LIFE PROSPERITY DYNAMIC FUND,
2022-01-26,0.9544,8.9373,1.5751,Dynamic,PHP,N,CF0008,SUN LIFE PROSPERITY DYNAMIC FUND,
2022-01-25,0.9581,8.0158,1.9689,Dynamic,PHP,N,CF0008,SUN LIFE PROSPERITY DYNAMIC FUND,
2022-01-24,0.9549,7.9715,1.6284,Dynamic,PHP,N,CF0008,SUN LIFE PROSPERITY DYNAMIC FUND,
2022-01-21,0.9592,7.5336,2.086,Dynamic,PHP,N,CF0008,SUN LIFE PROSPERITY DYNAMIC FUND,
2022-01-20,0.9561,7.1741,1.7561,Dynamic,PHP,N,CF0008,SUN LIFE PROSPERITY DYNAMIC FUND,
2022-01-19,0.9578,6.802,1.937,Dynamic,PHP,N,CF0008,SUN LIFE PROSPERITY DYNAMIC FUND,
2022-01-18,0.9649,7.6177,2.6926,Dynamic,PHP,N,CF0008,SUN LIFE PROSPERITY DYNAMIC FUND,
2022-01-17,0.9561,6.2688,1.7561,Dynamic,PHP,N,CF0008,SUN LIFE PROSPERITY DYNAMIC FUND,
2022-01-14,0.9582,6.3367,1.9796,Dynamic,PHP,N,CF0008,SUN LIFE PROSPERITY DYNAMIC FUND,
2022-01-13,0.9582,6.6325,1.9796,Dynamic,PHP,N,CF0008,SUN LIFE PROSPERITY DYNAMIC FUND,
2022-01-12,0.9492,5.3145,1.0217,Dynamic,PHP,N,CF0008,SUN LIFE PROSPERITY DYNAMIC FUND,
2022-01-11,0.9349,3.1216,-0.5002,Dynamic,PHP,N,CF0008,SUN LIFE PROSPERITY DYNAMIC FUND,
2022-01-10,0.9403,4.1076,0.0745,Dynamic,PHP,N,CF0008,SUN LIFE PROSPERITY DYNAMIC FUND,
2022-01-07,0.928,4.6931,-1.2346,Dynamic,PHP,N,CF0008,SUN LIFE PROSPERITY DYNAMIC FUND,
2022-01-06,0.9344,6.4843,-0.5534,Dynamic,PHP,N,CF0008,SUN LIFE PROSPERITY DYNAMIC FUND,
2022-01-05,0.9354,5.5399,-0.447,Dynamic,PHP,N,CF0008,SUN LIFE PROSPERITY DYNAMIC FUND,
2022-01-04,0.9309,4.1741,-0.9259,Dynamic,PHP,N,CF0008,SUN LIFE PROSPERITY DYNAMIC FUND,
2022-01-03,0.9309,4.8547,-0.9259,Dynamic,PHP,N,CF0008,SUN LIFE PROSPERITY DYNAMIC FUND,
2021-12-31,0.9396,5.8346,5.8346,Dynamic,PHP,N,CF0008,SUN LIFE PROSPERITY DYNAMIC FUND,
2021-12-29,0.9542,7.4792,7.4792,Dynamic,PHP,N,CF0008,SUN LIFE PROSPERITY DYNAMIC FUND,
2021-12-28,0.9482,6.8635,6.8033,Dynamic,PHP,N,CF0008,SUN LIFE PROSPERITY DYNAMIC FUND,
2021-12-27,0.9449,5.4694,6.4316,Dynamic,PHP,N,CF0008,SUN LIFE PROSPERITY DYNAMIC FUND,
2021-12-24,0.94,4.9224,5.8797,Dynamic,PHP,N,CF0008,SUN LIFE PROSPERITY DYNAMIC FUND,
2021-12-23,0.9457,5.5587,6.5217,Dynamic,PHP,N,CF0008,SUN LIFE PROSPERITY DYNAMIC FUND,
2021-12-22,0.9346,4.3663,5.2715,Dynamic,PHP,N,CF0008,SUN LIFE PROSPERITY DYNAMIC FUND,
2021-12-21,0.9377,4.3512,5.6206,Dynamic,PHP,N,CF0008,SUN LIFE PROSPERITY DYNAMIC FUND,
2021-12-20,0.9427,4.5238,6.1838,Dynamic,PHP,N,CF0008,SUN LIFE PROSPERITY DYNAMIC FUND,
2021-12-17,0.9455,4.5329,6.4992,Dynamic,PHP,N,CF0008,SUN LIFE PROSPERITY DYNAMIC FUND,
2021-12-16,0.9422,4.145,6.1275,Dynamic,PHP,N,CF0008,SUN LIFE PROSPERITY DYNAMIC FUND,
