fundValDate,fundNetVal,fundYoyVal,fundYtdVal,fundDesc,fundCurrency,weekly,fundCode,fundName,fundUrl
2021-09-10,1.7524,0.5739,-0.1538,GS,PHP,N,CF0007,SUN LIFE PROSPERITY GOVERNMENT SECURITIES (GS) FUND,
2021-09-09,1.7524,0.5162,-0.1538,GS,PHP,N,CF0007,SUN LIFE PROSPERITY GOVERNMENT SECURITIES (GS) FUND,
2021-09-08,1.7522,0.5394,-0.1652,GS,PHP,N,CF0007,SUN LIFE PROSPERITY GOVERNMENT SECURITIES (GS) FUND,
2021-09-07,1.7518,0.4933,-0.188,GS,PHP,N,CF0007,SUN LIFE PROSPERITY GOVERNMENT SECURITIES (GS) FUND,
2021-09-06,1.752,0.4991,-0.1766,GS,PHP,N,CF0007,SUN LIFE PROSPERITY GOVERNMENT SECURITIES (GS) FUND,
2021-09-03,1.7521,0.5163,-0.1709,GS,PHP,N,CF0007,SUN LIFE PROSPERITY GOVERNMENT SECURITIES (GS) FUND,
2021-09-02,1.7519,0.5106,-0.1823,GS,PHP,N,CF0007,SUN LIFE PROSPERITY GOVERNMENT SECURITIES (GS) FUND,
2021-09-01,1.7519,0.5164,-0.1823,GS,PHP,N,CF0007,SUN LIFE PROSPERITY GOVERNMENT SECURITIES (GS) FUND,
2021-08-31,1.7529,0.5449,-0.1253,GS,PHP,N,CF0007,SUN LIFE PROSPERITY GOVERNMENT SECURITIES (GS) FUND,
2021-08-27,1.7516,0.407,-0.1994,GS,PHP,N,CF0007,SUN LIFE PROSPERITY GOVERNMENT SECURITIES (GS) FUND,
2021-08-26,1.7502,0.2865,-0.2792,GS,PHP,N,CF0007,SUN LIFE PROSPERITY GOVERNMENT SECURITIES (GS) FUND,
2021-08-25,1.7494,-0.3361,-0.3248,GS,PHP,N,CF0007,SUN LIFE PROSPERITY GOVERNMENT SECURITIES (GS) FUND,
2021-08-24,1.7498,-0.2963,-0.302,GS,PHP,N,CF0007,SUN LIFE PROSPERITY GOVERNMENT SECURITIES (GS) FUND,
2021-08-23,1.75,-0.5738,-0.2906,GS,PHP,N,CF0007,SUN LIFE PROSPERITY GOVERNMENT SECURITIES (GS) FUND,
2021-08-20,1.7504,-0.5511,-0.2678,GS,PHP,N,CF0007,SUN LIFE PROSPERITY GOVERNMENT SECURITIES (GS) FUND,
2021-08-19,1.7497,-0.557,-0.3077,GS,PHP,N,CF0007,SUN LIFE PROSPERITY GOVERNMENT SECURITIES (GS) FUND,
2021-08-18,1.7504,-0.5115,-0.2678,GS,PHP,N,CF0007,SUN LIFE PROSPERITY GOVERNMENT SECURITIES (GS) FUND,
2021-08-17,1.7527,-0.3638,-0.1367,GS,PHP,N,CF0007,SUN LIFE PROSPERITY GOVERNMENT SECURITIES (GS) FUND,
2021-08-16,1.7527,0.1314,-0.1367,GS,PHP,N,CF0007,SUN LIFE PROSPERITY GOVERNMENT SECURITIES (GS) FUND,
2021-08-13,1.7523,0.183,-0.1595,GS,PHP,N,CF0007,SUN LIFE PROSPERITY GOVERNMENT SECURITIES (GS) FUND,
2021-08-12,1.753,0.3779,-0.1197,GS,PHP,N,CF0007,SUN LIFE PROSPERITY GOVERNMENT SECURITIES (GS) FUND,
2021-08-11,1.7526,-0.4713,-0.1424,GS,PHP,N,CF0007,SUN LIFE PROSPERITY GOVERNMENT SECURITIES (GS) FUND,
2021-08-10,1.7537,-0.3693,-0.0798,GS,PHP,N,CF0007,SUN LIFE PROSPERITY GOVERNMENT SECURITIES (GS) FUND,
2021-08-09,1.7543,0.0856,-0.0456,GS,PHP,N,CF0007,SUN LIFE PROSPERITY GOVERNMENT SECURITIES (GS) FUND,
2021-08-06,1.755,0.2972,-0.0057,GS,PHP,N,CF0007,SUN LIFE PROSPERITY GOVERNMENT SECURITIES (GS) FUND,
2021-08-05,1.7573,0.532,0.1253,GS,PHP,N,CF0007,SUN LIFE PROSPERITY GOVERNMENT SECURITIES (GS) FUND,
2021-08-04,1.7554,0.5153,0.0171,GS,PHP,N,CF0007,SUN LIFE PROSPERITY GOVERNMENT SECURITIES (GS) FUND,
2021-08-03,1.7544,0.4869,-0.0399,GS,PHP,N,CF0007,SUN LIFE PROSPERITY GOVERNMENT SECURITIES (GS) FUND,
2021-08-02,1.7523,0.3608,-0.1595,GS,PHP,N,CF0007,SUN LIFE PROSPERITY GOVERNMENT SECURITIES (GS) FUND,
2021-07-30,1.7518,0.3322,-0.188,GS,PHP,N,CF0007,SUN LIFE PROSPERITY GOVERNMENT SECURITIES (GS) FUND,
2021-07-29,1.7519,0.3322,-0.1823,GS,PHP,N,CF0007,SUN LIFE PROSPERITY GOVERNMENT SECURITIES (GS) FUND,
2021-07-28,1.7512,0.2978,-0.2222,GS,PHP,N,CF0007,SUN LIFE PROSPERITY GOVERNMENT SECURITIES (GS) FUND,
2021-07-27,1.7512,0.2978,-0.2222,GS,PHP,N,CF0007,SUN LIFE PROSPERITY GOVERNMENT SECURITIES (GS) FUND,
2021-07-26,1.7508,0.2864,-0.245,GS,PHP,N,CF0007,SUN LIFE PROSPERITY GOVERNMENT SECURITIES (GS) FUND,
2021-07-23,1.7504,0.2807,-0.2678,GS,PHP,N,CF0007,SUN LIFE PROSPERITY GOVERNMENT SECURITIES (GS) FUND,
2021-07-22,1.7498,0.2406,-0.302,GS,PHP,N,CF0007,SUN LIFE PROSPERITY GOVERNMENT SECURITIES (GS) FUND,
2021-07-21,1.7494,0.2177,-0.3248,GS,PHP,N,CF0007,SUN LIFE PROSPERITY GOVERNMENT SECURITIES (GS) FUND,
2021-07-19,1.7492,0.1948,-0.3362,GS,PHP,N,CF0007,SUN LIFE PROSPERITY GOVERNMENT SECURITIES (GS) FUND,
2021-07-16,1.7494,0.2062,-0.3248,GS,PHP,N,CF0007,SUN LIFE PROSPERITY GOVERNMENT SECURITIES (GS) FUND,
2021-07-15,1.7491,0.1546,-0.3419,GS,PHP,N,CF0007,SUN LIFE PROSPERITY GOVERNMENT SECURITIES (GS) FUND,
2021-07-14,1.7479,0.063,-0.4102,GS,PHP,N,CF0007,SUN LIFE PROSPERITY GOVERNMENT SECURITIES (GS) FUND,
2021-07-13,1.7483,0.126,-0.3874,GS,PHP,N,CF0007,SUN LIFE PROSPERITY GOVERNMENT SECURITIES (GS) FUND,
2021-07-12,1.7488,0.126,-0.359,GS,PHP,N,CF0007,SUN LIFE PROSPERITY GOVERNMENT SECURITIES (GS) FUND,
2021-07-09,1.7491,0.1546,-0.3419,GS,PHP,N,CF0007,SUN LIFE PROSPERITY GOVERNMENT SECURITIES (GS) FUND,
2021-07-08,1.7496,0.2234,-0.3134,GS,PHP,N,CF0007,SUN LIFE PROSPERITY GOVERNMENT SECURITIES (GS) FUND,
2021-07-07,1.7503,0.2635,-0.2735,GS,PHP,N,CF0007,SUN LIFE PROSPERITY GOVERNMENT SECURITIES (GS) FUND,
2021-07-06,1.7505,0.252,-0.2621,GS,PHP,N,CF0007,SUN LIFE PROSPERITY GOVERNMENT SECURITIES (GS) FUND,
2021-07-05,1.7509,0.2921,-0.2393,GS,PHP,N,CF0007,SUN LIFE PROSPERITY GOVERNMENT SECURITIES (GS) FUND,
2021-07-02,1.7503,0.2865,-0.2735,GS,PHP,N,CF0007,SUN LIFE PROSPERITY GOVERNMENT SECURITIES (GS) FUND,
2021-07-01,1.7497,0.3153,-0.3077,GS,PHP,N,CF0007,SUN LIFE PROSPERITY GOVERNMENT SECURITIES (GS) FUND,
2021-06-30,1.7493,0.3212,-0.3305,GS,PHP,N,CF0007,SUN LIFE PROSPERITY GOVERNMENT SECURITIES (GS) FUND,
2021-06-29,1.7492,0.3269,-0.3362,GS,PHP,N,CF0007,SUN LIFE PROSPERITY GOVERNMENT SECURITIES (GS) FUND,
2021-06-28,1.7493,0.5229,-0.3305,GS,PHP,N,CF0007,SUN LIFE PROSPERITY GOVERNMENT SECURITIES (GS) FUND,
2021-06-25,1.7491,0.9057,-0.3419,GS,PHP,N,CF0007,SUN LIFE PROSPERITY GOVERNMENT SECURITIES (GS) FUND,
