fundValDate,fundNetVal,fundYoyVal,fundYtdVal,fundDesc,fundCurrency,weekly,fundCode,fundName,fundUrl
2021-07-30,1.3069,1.641,0.8022,Money Market,PHP,N,CF0005,SUN LIFE PROSPERITY MONEY MARKET FUND,
2021-07-29,1.3068,1.6411,0.7944,Money Market,PHP,N,CF0005,SUN LIFE PROSPERITY MONEY MARKET FUND,
2021-07-28,1.3068,1.649,0.7944,Money Market,PHP,N,CF0005,SUN LIFE PROSPERITY MONEY MARKET FUND,
2021-07-27,1.3067,1.6492,0.7867,Money Market,PHP,N,CF0005,SUN LIFE PROSPERITY MONEY MARKET FUND,
2021-07-26,1.3066,1.6572,0.779,Money Market,PHP,N,CF0005,SUN LIFE PROSPERITY MONEY MARKET FUND,
2021-07-23,1.3065,1.6573,0.7713,Money Market,PHP,N,CF0005,SUN LIFE PROSPERITY MONEY MARKET FUND,
2021-07-22,1.3064,1.6575,0.7636,Money Market,PHP,N,CF0005,SUN LIFE PROSPERITY MONEY MARKET FUND,
2021-07-21,1.3064,1.6575,0.7636,Money Market,PHP,N,CF0005,SUN LIFE PROSPERITY MONEY MARKET FUND,
2021-07-19,1.3063,1.6734,0.7559,Money Market,PHP,N,CF0005,SUN LIFE PROSPERITY MONEY MARKET FUND,
2021-07-16,1.3061,1.6658,0.7405,Money Market,PHP,N,CF0005,SUN LIFE PROSPERITY MONEY MARKET FUND,
2021-07-15,1.306,1.6659,0.7327,Money Market,PHP,N,CF0005,SUN LIFE PROSPERITY MONEY MARKET FUND,
2021-07-14,1.306,1.6659,0.7327,Money Market,PHP,N,CF0005,SUN LIFE PROSPERITY MONEY MARKET FUND,
2021-07-13,1.3059,1.666,0.725,Money Market,PHP,N,CF0005,SUN LIFE PROSPERITY MONEY MARKET FUND,
2021-07-12,1.3059,1.6819,0.725,Money Market,PHP,N,CF0005,SUN LIFE PROSPERITY MONEY MARKET FUND,
2021-07-09,1.3058,1.682,0.7173,Money Market,PHP,N,CF0005,SUN LIFE PROSPERITY MONEY MARKET FUND,
2021-07-08,1.3057,1.6821,0.7096,Money Market,PHP,N,CF0005,SUN LIFE PROSPERITY MONEY MARKET FUND,
2021-07-07,1.3057,1.6821,0.7096,Money Market,PHP,N,CF0005,SUN LIFE PROSPERITY MONEY MARKET FUND,
2021-07-06,1.3056,1.6822,0.7019,Money Market,PHP,N,CF0005,SUN LIFE PROSPERITY MONEY MARKET FUND,
2021-07-05,1.3056,1.706,0.7019,Money Market,PHP,N,CF0005,SUN LIFE PROSPERITY MONEY MARKET FUND,
2021-07-02,1.3054,1.6983,0.6865,Money Market,PHP,N,CF0005,SUN LIFE PROSPERITY MONEY MARKET FUND,
2021-07-01,1.3054,1.7063,0.6865,Money Market,PHP,N,CF0005,SUN LIFE PROSPERITY MONEY MARKET FUND,
2021-06-30,1.3054,1.7142,0.6865,Money Market,PHP,N,CF0005,SUN LIFE PROSPERITY MONEY MARKET FUND,
2021-06-29,1.3053,1.7064,0.6788,Money Market,PHP,N,CF0005,SUN LIFE PROSPERITY MONEY MARKET FUND,
2021-06-28,1.3053,1.7302,0.6788,Money Market,PHP,N,CF0005,SUN LIFE PROSPERITY MONEY MARKET FUND,
2021-06-25,1.3052,1.7303,0.671,Money Market,PHP,N,CF0005,SUN LIFE PROSPERITY MONEY MARKET FUND,
2021-06-24,1.3051,1.7305,0.6633,Money Market,PHP,N,CF0005,SUN LIFE PROSPERITY MONEY MARKET FUND,
2021-06-23,1.3051,1.7384,0.6633,Money Market,PHP,N,CF0005,SUN LIFE PROSPERITY MONEY MARKET FUND,
2021-06-22,1.305,1.7385,0.6556,Money Market,PHP,N,CF0005,SUN LIFE PROSPERITY MONEY MARKET FUND,
