fundValDate,fundNetVal,fundYoyVal,fundYtdVal,fundDesc,fundCurrency,weekly,fundCode,fundName,fundUrl
2021-11-19,3.747,5.114,3.3855,Equity,PHP,N,CF0003,SUN LIFE PROSPERITY PHILIPPINE EQUITY FUND,
2021-11-18,3.7508,4.619,3.4903,Equity,PHP,N,CF0003,SUN LIFE PROSPERITY PHILIPPINE EQUITY FUND,
2021-11-17,3.775,6.6505,4.158,Equity,PHP,N,CF0003,SUN LIFE PROSPERITY PHILIPPINE EQUITY FUND,
2021-11-16,3.7828,7.4323,4.3733,Equity,PHP,N,CF0003,SUN LIFE PROSPERITY PHILIPPINE EQUITY FUND,
2021-11-15,3.7707,6.0377,4.0394,Equity,PHP,N,CF0003,SUN LIFE PROSPERITY PHILIPPINE EQUITY FUND,
2021-11-12,3.7908,5.9297,4.594,Equity,PHP,N,CF0003,SUN LIFE PROSPERITY PHILIPPINE EQUITY FUND,
2021-11-11,3.767,5.2646,3.9373,Equity,PHP,N,CF0003,SUN LIFE PROSPERITY PHILIPPINE EQUITY FUND,
2021-11-10,3.7913,5.9318,4.6078,Equity,PHP,N,CF0003,SUN LIFE PROSPERITY PHILIPPINE EQUITY FUND,
2021-11-09,3.8177,11.9987,5.3362,Equity,PHP,N,CF0003,SUN LIFE PROSPERITY PHILIPPINE EQUITY FUND,
2021-11-08,3.7968,11.2811,4.7595,Equity,PHP,N,CF0003,SUN LIFE PROSPERITY PHILIPPINE EQUITY FUND,
2021-11-05,3.7743,11.4119,4.1387,Equity,PHP,N,CF0003,SUN LIFE PROSPERITY PHILIPPINE EQUITY FUND,
2021-11-04,3.71,12.3085,2.3646,Equity,PHP,N,CF0003,SUN LIFE PROSPERITY PHILIPPINE EQUITY FUND,
2021-11-03,3.705,14.0948,2.2266,Equity,PHP,N,CF0003,SUN LIFE PROSPERITY PHILIPPINE EQUITY FUND,
2021-11-02,3.6633,13.0055,1.0761,Equity,PHP,N,CF0003,SUN LIFE PROSPERITY PHILIPPINE EQUITY FUND,
2021-10-29,3.6469,13.7736,0.6236,Equity,PHP,N,CF0003,SUN LIFE PROSPERITY PHILIPPINE EQUITY FUND,
2021-10-28,3.6879,12.7557,1.7548,Equity,PHP,N,CF0003,SUN LIFE PROSPERITY PHILIPPINE EQUITY FUND,
2021-10-27,3.7239,13.3228,2.7481,Equity,PHP,N,CF0003,SUN LIFE PROSPERITY PHILIPPINE EQUITY FUND,
