fundValDate,fundNetVal,fundYoyVal,fundYtdVal,fundDesc,fundCurrency,weekly,fundCode,fundName,fundUrl
2021-11-29,0.9277,6.1685,1.0787,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-11-26,0.9378,5.2407,2.1791,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-11-25,0.949,5.3742,3.3994,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-11-24,0.9554,4.4838,4.0968,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-11-23,0.9531,3.2164,3.8462,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-11-22,0.938,1.6912,2.2009,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-11-19,0.9377,4.1426,2.1682,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-11-18,0.94,3.6041,2.4188,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-11-17,0.9464,5.6958,3.1161,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-11-16,0.9487,6.5716,3.3667,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-11-15,0.9455,5.4187,3.0181,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-11-12,0.9508,5.2003,3.5956,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-11-11,0.9443,4.4811,2.8873,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-11-10,0.95,4.9376,3.5084,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-11-09,0.9585,11.3758,4.4345,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-11-08,0.9527,10.689,3.8026,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-11-05,0.9457,10.5694,3.0399,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-11-04,0.928,11.4983,1.1114,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-11-03,0.9256,13.4453,0.8499,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-11-02,0.9156,12.3987,-0.2397,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-10-29,0.9091,12.9878,-0.9479,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-10-28,0.9224,12.3234,0.5012,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-10-27,0.9315,12.7724,1.4927,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-10-26,0.9343,11.7851,1.7978,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-10-25,0.9292,11.2814,1.2421,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-10-22,0.9393,14.9413,2.3426,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-10-21,0.9422,16.4792,2.6585,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-10-20,0.9404,19.4007,2.4624,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-10-19,0.9365,20.7297,2.0375,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-10-18,0.9306,22.4152,1.3946,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-10-15,0.9299,21.492,1.3184,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-10-14,0.926,21.2518,0.8934,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-10-13,0.9114,19.387,-0.6973,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-10-12,0.9164,19.7595,-0.1525,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-10-11,0.9186,20.1255,0.0872,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-10-08,0.8909,16.2751,-2.9309,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-10-07,0.8964,18.4774,-2.3317,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-10-06,0.9101,19.42,-0.839,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-10-05,0.9004,17.6071,-1.8958,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-10-04,0.8978,16.0698,-2.1791,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-10-01,0.893,16.5036,-2.7021,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-09-30,0.8968,18.593,-2.2881,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-09-29,0.8945,18.7442,-2.5387,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-09-28,0.8882,17.4868,-3.2251,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-09-27,0.8973,19.1633,-2.2336,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-09-24,0.8968,18.939,-2.2881,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-09-23,0.8922,17.3793,-2.7893,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-09-22,0.8891,16.9407,-3.127,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-09-21,0.8879,16.4765,-3.2578,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-09-20,0.8849,16.0829,-3.5847,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-09-17,0.8921,16.3406,-2.8002,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-09-16,0.8992,17.1901,-2.0266,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-09-15,0.888,14.374,-3.2469,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-09-14,0.8932,15.4303,-2.6803,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-09-13,0.8995,16.803,-1.9939,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-09-10,0.8999,18.1436,-1.9503,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-09-09,0.8939,16.7734,-2.6041,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-09-08,0.8972,15.2621,-2.2445,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-09-07,0.8925,16.5296,-2.7566,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-09-06,0.888,18.9392,-3.2469,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-09-03,0.8907,19.541,-2.9527,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-09-02,0.8827,19.1711,-3.8244,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-09-01,0.8765,17.0852,-4.4999,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-08-31,0.8854,16.5613,-3.5302,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-08-27,0.8767,14.6913,-4.4781,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-08-26,0.8811,15.1012,-3.9987,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-08-25,0.8814,14.7208,-3.966,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-08-24,0.8631,12.5293,-5.9599,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-08-23,0.8519,9.9084,-7.1802,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-08-20,0.8574,10.618,-6.581,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-08-19,0.8684,11.3619,-5.3824,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-08-18,0.8636,8.6973,-5.9054,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-08-17,0.848,8.2599,-7.6051,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-08-16,0.8412,7.4055,-8.346,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-08-13,0.8148,3.6773,-11.2225,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-08-12,0.8447,9.318,-7.9647,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-08-11,0.8589,11.938,-6.4175,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-08-10,0.8534,11.6431,-7.0168,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-08-09,0.8546,13.3873,-6.886,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-08-06,0.8427,10.7359,-8.1826,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-08-05,0.8438,12.1627,-8.0628,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-08-04,0.8487,13.9501,-7.5289,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-08-03,0.8455,14.6907,-7.8775,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-08-02,0.8309,8.657,-9.4683,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-07-30,0.8084,5.7147,-11.9198,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-07-29,0.8375,8.8228,-8.7492,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-07-28,0.8345,9.142,-9.0761,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-07-27,0.8409,11.2154,-8.3787,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-07-26,0.8217,6.0943,-10.4707,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-07-23,0.8405,8.0473,-8.4223,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-07-22,0.8477,8.3461,-7.6378,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-07-21,0.8349,5.4433,-9.0325,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-07-19,0.8492,8.0545,-7.4744,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-07-16,0.863,8.745,-5.9708,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-07-15,0.8675,11.6761,-5.4805,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-07-14,0.8813,10.6049,-3.9769,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-07-13,0.8761,9.9523,-4.5435,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-07-12,0.8914,11.4111,-2.8764,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-07-09,0.8814,10.2439,-3.966,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-07-08,0.8929,10.0172,-2.713,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-07-07,0.8953,10.5582,-2.4515,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-07-06,0.9017,10.2727,-1.7542,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-07-05,0.9074,10.2686,-1.1331,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-07-02,0.9031,9.8929,-1.6017,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-07-01,0.8983,12.0214,-2.1246,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-06-30,0.8903,11.0377,-2.9963,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-06-29,0.8974,13.7966,-2.2227,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-06-28,0.895,11.903,-2.4842,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-06-25,0.8967,13.4632,-2.299,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-06-24,0.8885,11.2711,-3.1924,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
2021-06-23,0.8927,9.8708,-2.7348,Index,PHP,N,CF0009,SUN LIFE PROSPERITY INDEX FUND,
