fundValDate,fundNetVal,fundYoyVal,fundYtdVal,fundDesc,fundCurrency,weekly,fundCode,fundName,fundUrl
2021-10-28,1.3645,34.2747,22.5635,World Equity Index Feeder,PHP,Y,CF0016,SUN LIFE PROSPERITY WORLD EQUITY INDEX FEEDER FUND,
2021-10-27,1.3717,35.1961,23.2103,World Equity Index Feeder,PHP,Y,CF0016,SUN LIFE PROSPERITY WORLD EQUITY INDEX FEEDER FUND,
2021-10-26,1.3677,32.5676,22.851,World Equity Index Feeder,PHP,Y,CF0016,SUN LIFE PROSPERITY WORLD EQUITY INDEX FEEDER FUND,
2021-10-25,1.3595,32.0159,22.1144,World Equity Index Feeder,PHP,Y,CF0016,SUN LIFE PROSPERITY WORLD EQUITY INDEX FEEDER FUND,
2021-10-22,1.3606,31.4462,22.2132,World Equity Index Feeder,PHP,Y,CF0016,SUN LIFE PROSPERITY WORLD EQUITY INDEX FEEDER FUND,
2021-10-21,1.366,32.1339,22.6983,World Equity Index Feeder,PHP,Y,CF0016,SUN LIFE PROSPERITY WORLD EQUITY INDEX FEEDER FUND,
2021-10-20,1.3599,30.5588,22.1504,World Equity Index Feeder,PHP,Y,CF0016,SUN LIFE PROSPERITY WORLD EQUITY INDEX FEEDER FUND,
2021-10-19,1.3473,29.0765,21.0186,World Equity Index Feeder,PHP,Y,CF0016,SUN LIFE PROSPERITY WORLD EQUITY INDEX FEEDER FUND,
2021-10-18,1.3507,30.5403,21.324,World Equity Index Feeder,PHP,Y,CF0016,SUN LIFE PROSPERITY WORLD EQUITY INDEX FEEDER FUND,
2021-10-15,1.3345,26.9381,19.8689,World Equity Index Feeder,PHP,Y,CF0016,SUN LIFE PROSPERITY WORLD EQUITY INDEX FEEDER FUND,
2021-10-14,1.3117,24.5442,17.8209,World Equity Index Feeder,PHP,Y,CF0016,SUN LIFE PROSPERITY WORLD EQUITY INDEX FEEDER FUND,
2021-10-13,1.3121,24.4759,17.8568,World Equity Index Feeder,PHP,Y,CF0016,SUN LIFE PROSPERITY WORLD EQUITY INDEX FEEDER FUND,
2021-10-12,1.3299,27.8136,19.4557,World Equity Index Feeder,PHP,Y,CF0016,SUN LIFE PROSPERITY WORLD EQUITY INDEX FEEDER FUND,
2021-10-11,1.3253,28.9453,19.0425,World Equity Index Feeder,PHP,Y,CF0016,SUN LIFE PROSPERITY WORLD EQUITY INDEX FEEDER FUND,
2021-10-08,1.3231,29.4112,18.8449,World Equity Index Feeder,PHP,Y,CF0016,SUN LIFE PROSPERITY WORLD EQUITY INDEX FEEDER FUND,
2021-10-07,1.291,26.3086,15.9616,World Equity Index Feeder,PHP,Y,CF0016,SUN LIFE PROSPERITY WORLD EQUITY INDEX FEEDER FUND,
2021-10-06,1.3182,29.4765,18.4047,World Equity Index Feeder,PHP,Y,CF0016,SUN LIFE PROSPERITY WORLD EQUITY INDEX FEEDER FUND,
2021-10-05,1.2923,28.2807,16.0783,World Equity Index Feeder,PHP,Y,CF0016,SUN LIFE PROSPERITY WORLD EQUITY INDEX FEEDER FUND,
2021-10-04,1.3026,28.2971,17.0035,World Equity Index Feeder,PHP,Y,CF0016,SUN LIFE PROSPERITY WORLD EQUITY INDEX FEEDER FUND,
2021-10-01,1.315,30.0435,18.1173,World Equity Index Feeder,PHP,Y,CF0016,SUN LIFE PROSPERITY WORLD EQUITY INDEX FEEDER FUND,
2021-09-30,1.3252,31.7558,19.0335,World Equity Index Feeder,PHP,Y,CF0016,SUN LIFE PROSPERITY WORLD EQUITY INDEX FEEDER FUND,
2021-09-29,1.3199,31.0335,18.5574,World Equity Index Feeder,PHP,Y,CF0016,SUN LIFE PROSPERITY WORLD EQUITY INDEX FEEDER FUND,
2021-09-28,1.3473,36.6707,21.0186,World Equity Index Feeder,PHP,Y,CF0016,SUN LIFE PROSPERITY WORLD EQUITY INDEX FEEDER FUND,
2021-09-27,1.3461,36.8962,20.9108,World Equity Index Feeder,PHP,Y,CF0016,SUN LIFE PROSPERITY WORLD EQUITY INDEX FEEDER FUND,
2021-09-24,1.3431,34.7412,20.6413,World Equity Index Feeder,PHP,Y,CF0016,SUN LIFE PROSPERITY WORLD EQUITY INDEX FEEDER FUND,
2021-09-23,1.3229,33.2897,18.8269,World Equity Index Feeder,PHP,Y,CF0016,SUN LIFE PROSPERITY WORLD EQUITY INDEX FEEDER FUND,
2021-09-22,1.3126,33.6388,17.9017,World Equity Index Feeder,PHP,Y,CF0016,SUN LIFE PROSPERITY WORLD EQUITY INDEX FEEDER FUND,
2021-09-21,1.3024,28.7084,16.9855,World Equity Index Feeder,PHP,Y,CF0016,SUN LIFE PROSPERITY WORLD EQUITY INDEX FEEDER FUND,
2021-09-20,1.3278,30.5862,19.267,World Equity Index Feeder,PHP,Y,CF0016,SUN LIFE PROSPERITY WORLD EQUITY INDEX FEEDER FUND,
2021-09-17,1.3268,28.5285,19.1772,World Equity Index Feeder,PHP,Y,CF0016,SUN LIFE PROSPERITY WORLD EQUITY INDEX FEEDER FUND,
2021-09-16,1.3293,29.3974,19.4018,World Equity Index Feeder,PHP,Y,CF0016,SUN LIFE PROSPERITY WORLD EQUITY INDEX FEEDER FUND,
2021-09-15,1.3288,30.0832,19.3569,World Equity Index Feeder,PHP,Y,CF0016,SUN LIFE PROSPERITY WORLD EQUITY INDEX FEEDER FUND,
2021-09-14,1.3347,31.9786,19.8868,World Equity Index Feeder,PHP,Y,CF0016,SUN LIFE PROSPERITY WORLD EQUITY INDEX FEEDER FUND,
2021-09-13,1.3388,31.075,20.2551,World Equity Index Feeder,PHP,Y,CF0016,SUN LIFE PROSPERITY WORLD EQUITY INDEX FEEDER FUND,
2021-09-10,1.3409,31.2677,20.4437,World Equity Index Feeder,PHP,Y,CF0016,SUN LIFE PROSPERITY WORLD EQUITY INDEX FEEDER FUND,
2021-09-09,1.3403,32.6111,20.3898,World Equity Index Feeder,PHP,Y,CF0016,SUN LIFE PROSPERITY WORLD EQUITY INDEX FEEDER FUND,
2021-09-08,1.354,31.8018,21.6204,World Equity Index Feeder,PHP,Y,CF0016,SUN LIFE PROSPERITY WORLD EQUITY INDEX FEEDER FUND,
2021-09-07,1.3598,34.0365,22.1414,World Equity Index Feeder,PHP,Y,CF0016,SUN LIFE PROSPERITY WORLD EQUITY INDEX FEEDER FUND,
2021-09-06,1.3503,30.5899,21.2881,World Equity Index Feeder,PHP,Y,CF0016,SUN LIFE PROSPERITY WORLD EQUITY INDEX FEEDER FUND,
2021-09-03,1.3479,28.0422,21.0725,World Equity Index Feeder,PHP,Y,CF0016,SUN LIFE PROSPERITY WORLD EQUITY INDEX FEEDER FUND,
2021-09-02,1.3445,28.6234,20.7671,World Equity Index Feeder,PHP,Y,CF0016,SUN LIFE PROSPERITY WORLD EQUITY INDEX FEEDER FUND,
2021-09-01,1.3454,29.0552,20.8479,World Equity Index Feeder,PHP,Y,CF0016,SUN LIFE PROSPERITY WORLD EQUITY INDEX FEEDER FUND,
2021-08-31,1.3302,27.8301,19.4826,World Equity Index Feeder,PHP,Y,CF0016,SUN LIFE PROSPERITY WORLD EQUITY INDEX FEEDER FUND,
2021-08-27,1.3278,27.624,19.267,World Equity Index Feeder,PHP,Y,CF0016,SUN LIFE PROSPERITY WORLD EQUITY INDEX FEEDER FUND,
2021-08-26,1.3336,29.4255,19.788,World Equity Index Feeder,PHP,Y,CF0016,SUN LIFE PROSPERITY WORLD EQUITY INDEX FEEDER FUND,
2021-08-25,1.3281,29.1424,19.294,World Equity Index Feeder,PHP,Y,CF0016,SUN LIFE PROSPERITY WORLD EQUITY INDEX FEEDER FUND,
2021-08-24,1.3291,30.3678,19.3838,World Equity Index Feeder,PHP,Y,CF0016,SUN LIFE PROSPERITY WORLD EQUITY INDEX FEEDER FUND,
2021-08-23,1.3212,28.3092,18.6742,World Equity Index Feeder,PHP,Y,CF0016,SUN LIFE PROSPERITY WORLD EQUITY INDEX FEEDER FUND,
2021-08-20,1.3153,27.7362,18.1443,World Equity Index Feeder,PHP,Y,CF0016,SUN LIFE PROSPERITY WORLD EQUITY INDEX FEEDER FUND,
2021-08-19,1.336,30.3923,20.0036,World Equity Index Feeder,PHP,Y,CF0016,SUN LIFE PROSPERITY WORLD EQUITY INDEX FEEDER FUND,
2021-08-18,1.3343,30.29,19.8509,World Equity Index Feeder,PHP,Y,CF0016,SUN LIFE PROSPERITY WORLD EQUITY INDEX FEEDER FUND,
2021-08-17,1.3376,30.8678,20.1473,World Equity Index Feeder,PHP,Y,CF0016,SUN LIFE PROSPERITY WORLD EQUITY INDEX FEEDER FUND,
2021-08-16,1.351,31.6379,21.3509,World Equity Index Feeder,PHP,Y,CF0016,SUN LIFE PROSPERITY WORLD EQUITY INDEX FEEDER FUND,
