fundValDate,fundNetVal,fundYoyVal,fundYtdVal,fundDesc,fundCurrency,weekly,fundCode,fundName,fundUrl
2021-09-10,1.8527,23.6452,11.0265,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-09-09,1.855,24.773,11.1644,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-09-08,1.8648,23.2274,11.7517,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-09-07,1.8698,23.3377,12.0513,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-09-06,1.8653,19.7394,11.7816,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-09-03,1.8655,18.0472,11.7936,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-09-02,1.8583,18.3404,11.3621,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-09-01,1.8524,19.1407,11.0086,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-08-31,1.8528,19.5818,11.0325,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-08-27,1.8321,18.7131,9.7921,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-08-26,1.8352,20.3094,9.9778,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-08-25,1.8342,20.5996,9.9179,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-08-24,1.8148,20.3368,8.7553,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-08-23,1.7964,19.2987,7.6527,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-08-20,1.7964,19.2987,7.6527,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-08-19,1.8094,19.8993,8.4317,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-08-18,1.8157,20.9016,8.8093,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-08-17,1.8269,22.4382,9.4804,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-08-16,1.8346,22.5518,9.9419,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-08-13,1.8288,22.6724,9.5943,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-08-12,1.8303,23.6105,9.6842,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-08-11,1.8319,23.535,9.7801,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-08-10,1.8303,22.6825,9.6842,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-08-09,1.8338,22.3104,9.8939,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-08-06,1.8339,22.5378,9.8999,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-08-05,1.8274,23.2232,9.5104,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-08-04,1.8193,23.3507,9.025,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-08-03,1.8192,24.1605,9.019,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-08-02,1.8174,24.3177,8.9111,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-07-30,1.8217,24.6118,9.1688,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-07-29,1.8048,24.5033,8.156,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-07-28,1.8054,24.3902,8.192,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-07-27,1.8188,26.675,8.995,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-07-26,1.8205,24.4871,9.0969,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-07-23,1.8111,23.5234,8.5336,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-07-22,1.798,22.5046,7.7485,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-07-21,1.7749,22.1878,6.3642,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-07-19,1.7959,25.7017,7.6227,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-07-16,1.8047,25.1005,8.1501,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-07-15,1.8165,28.0127,8.8572,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-07-14,1.8199,26.5137,9.0609,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-07-13,1.819,26.9099,9.007,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-07-12,1.8066,25.563,8.2639,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-07-09,1.7982,25.6165,7.7605,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-07-08,1.8184,27.8672,8.9711,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-07-07,1.8136,27.0562,8.6834,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-07-06,1.8124,28.7399,8.6115,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-07-05,1.8135,28.8729,8.6774,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-07-02,1.8083,30.4878,8.3658,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-07-01,1.8082,31.7546,8.3598,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-06-30,1.8135,33.6108,8.6774,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-06-29,1.8111,32.5357,8.5336,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-06-28,1.807,32.0617,8.2879,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-06-25,1.8008,31.2058,7.9163,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-06-24,1.7913,28.7223,7.347,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-06-23,1.7848,29.3333,6.9575,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-06-22,1.7708,28.1888,6.1185,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-06-21,1.7702,28.9669,6.0826,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-06-18,1.7763,29.3831,6.4481,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-06-17,1.7803,30.1008,6.6878,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-06-16,1.7873,34.5453,7.1073,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-06-15,1.7855,33.1966,6.9995,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-06-14,1.779,28.3272,6.6099,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-06-11,1.7736,27.9377,6.2863,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-06-10,1.7704,28.4574,6.0946,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-06-09,1.7653,28.2828,5.7889,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-06-08,1.7616,28.462,5.5672,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-06-07,1.7573,29.4798,5.3095,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-06-04,1.7507,29.003,4.914,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-06-03,1.7653,31.7388,5.7889,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-06-02,1.7669,33.4114,5.8848,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-06-01,1.7628,33.8395,5.6391,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-05-31,1.7631,34.2905,5.6571,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-05-28,1.7546,35.1564,5.1477,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-05-27,1.7512,34.4698,4.944,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-05-26,1.7505,35.9823,4.902,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-05-25,1.7386,34.4001,4.1889,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-05-24,1.7343,34.0677,3.9312,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-05-21,1.7234,32.7122,3.278,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-05-20,1.7033,32.842,2.0735,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-05-19,1.7183,34.8321,2.9724,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-05-18,1.7142,36.9388,2.7267,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-05-17,1.7043,38.0335,2.1334,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-05-14,1.6882,34.7757,1.1686,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-05-12,1.7169,34.8916,2.8885,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-05-11,1.7419,37.7976,4.3866,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-05-10,1.7509,39.5807,4.926,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-05-07,1.7376,40.0613,4.129,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-05-06,1.7419,40.4871,4.3866,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-05-05,1.7451,42.7134,4.5784,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-05-04,1.7687,42.4762,5.9927,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-05-03,1.7728,41.8013,6.2384,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-04-30,1.7867,42.9131,7.0714,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-04-29,1.7868,44.9854,7.0774,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-04-28,1.7821,45.0867,6.7957,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-04-27,1.7771,47.0866,6.4961,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-04-26,1.7632,45.8034,5.6631,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-04-23,1.7554,46.0399,5.1957,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-04-22,1.7421,45.8312,4.3986,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
2021-04-21,1.7489,43.2233,4.8061,World Voyager,USD,,CF0011,SUN LIFE PROSPERITY WORLD VOYAGER FUND,
