fundDate,fundVal,readFlag,ingeniumDate,fundYoyVal,fundYtdVal,fundDesc,fundCurrency,weekly,risk,status,fundCode,fundName
2021-08-03,0.9943,true,2021-08-02,-2.6055,0.2824,Sun Peso Maximizer,PHP,Y,25,A,SLPP1,Sun Peso Maximizer - Fund
2021-07-27,0.9864,true,2021-07-26,-3.047,-0.5144,Sun Peso Maximizer,PHP,Y,25,A,SLPP1,Sun Peso Maximizer - Fund
2021-07-21,0.9774,true,2021-07-20,-4.2516,-1.4221,Sun Peso Maximizer,PHP,Y,25,A,SLPP1,Sun Peso Maximizer - Fund
2021-07-13,0.983,true,2021-07-12,-3.3527,-0.8573,Sun Peso Maximizer,PHP,Y,25,A,SLPP1,Sun Peso Maximizer - Fund
2021-07-06,0.9806,true,2021-07-05,-3.4272,-1.0993,Sun Peso Maximizer,PHP,Y,25,A,SLPP1,Sun Peso Maximizer - Fund
2021-06-29,0.9852,true,2021-06-28,-3.6196,-0.6354,Sun Peso Maximizer,PHP,Y,25,A,SLPP1,Sun Peso Maximizer - Fund
2021-06-22,0.9787,true,2021-06-21,-5.4579,-1.291,Sun Peso Maximizer,PHP,Y,25,A,SLPP1,Sun Peso Maximizer - Fund
2021-06-15,0.9867,true,2021-06-14,-3.8023,-0.4841,Sun Peso Maximizer,PHP,Y,25,A,SLPP1,Sun Peso Maximizer - Fund
2021-06-08,0.9729,true,2021-06-07,-6.5867,-1.8759,Sun Peso Maximizer,PHP,Y,25,A,SLPP1,Sun Peso Maximizer - Fund
2021-06-01,0.958,true,2021-05-31,-4.4865,-3.3787,Sun Peso Maximizer,PHP,Y,25,A,SLPP1,Sun Peso Maximizer - Fund
2021-05-25,0.9662,true,2021-05-24,-2.7185,-2.5517,Sun Peso Maximizer,PHP,Y,25,A,SLPP1,Sun Peso Maximizer - Fund
2021-05-18,0.9641,true,2021-05-17,-2.1417,-2.7635,Sun Peso Maximizer,PHP,Y,25,A,SLPP1,Sun Peso Maximizer - Fund
2021-05-11,0.9523,true,2021-05-10,-2.6278,-3.9536,Sun Peso Maximizer,PHP,Y,25,A,SLPP1,Sun Peso Maximizer - Fund
2021-05-04,0.9547,true,2021-05-03,-2.3225,-3.7115,Sun Peso Maximizer,PHP,Y,25,A,SLPP1,Sun Peso Maximizer - Fund
2021-04-27,0.9568,true,2021-04-26,-0.2606,-3.4997,Sun Peso Maximizer,PHP,Y,25,A,SLPP1,Sun Peso Maximizer - Fund
2021-04-20,0.9541,true,2021-04-19,1.5648,-3.7721,Sun Peso Maximizer,PHP,Y,25,A,SLPP1,Sun Peso Maximizer - Fund
