fundDate,fundVal,readFlag,ingeniumDate,fundYoyVal,fundYtdVal,fundDesc,fundCurrency,weekly,risk,status,fundCode,fundName
2022-01-25,1.0024,true,2022-01-24,-1.2122,0.1999,Sun Peso Maximizer - Primo 2,PHP,Y,26,A,SLPP2,Sun Peso Maximizer - Primo 2 Fund
2022-01-18,0.9948,true,2022-01-17,-7.6837,-0.5598,Sun Peso Maximizer - Primo 2,PHP,Y,26,A,SLPP2,Sun Peso Maximizer - Primo 2 Fund
2022-01-11,0.9945,true,2022-01-10,-8.2565,-0.5898,Sun Peso Maximizer - Primo 2,PHP,Y,26,A,SLPP2,Sun Peso Maximizer - Primo 2 Fund
2022-01-04,0.9987,true,2022-01-03,-7.1744,-0.1699,Sun Peso Maximizer - Primo 2,PHP,Y,26,A,SLPP2,Sun Peso Maximizer - Primo 2 Fund
2021-12-28,1.0004,true,2021-12-27,-7.0163,-7.0163,Sun Peso Maximizer - Primo 2,PHP,Y,26,A,SLPP2,Sun Peso Maximizer - Primo 2 Fund
2021-12-21,1.0016,true,2021-12-20,-7.4734,-6.9048,Sun Peso Maximizer - Primo 2,PHP,Y,26,A,SLPP2,Sun Peso Maximizer - Primo 2 Fund
2021-12-14,1.0017,true,2021-12-13,-7.7539,-6.8955,Sun Peso Maximizer - Primo 2,PHP,Y,26,A,SLPP2,Sun Peso Maximizer - Primo 2 Fund
2021-12-07,0.9984,true,2021-12-06,-7.4422,-7.2022,Sun Peso Maximizer - Primo 2,PHP,Y,26,A,SLPP2,Sun Peso Maximizer - Primo 2 Fund
2021-12-01,0.9965,true,2021-11-30,-8.2413,-7.3788,Sun Peso Maximizer - Primo 2,PHP,Y,26,A,SLPP2,Sun Peso Maximizer - Primo 2 Fund
2021-11-23,1.001,true,2021-11-22,-7.4177,-6.9606,Sun Peso Maximizer - Primo 2,PHP,Y,26,A,SLPP2,Sun Peso Maximizer - Primo 2 Fund
2021-11-16,1.0046,true,2021-11-15,-6.0282,-6.626,Sun Peso Maximizer - Primo 2,PHP,Y,26,A,SLPP2,Sun Peso Maximizer - Primo 2 Fund
2021-11-09,0.9972,true,2021-11-08,-7.4438,-7.3138,Sun Peso Maximizer - Primo 2,PHP,Y,26,A,SLPP2,Sun Peso Maximizer - Primo 2 Fund
2021-11-02,0.9899,true,2021-11-01,-6.903,-7.9923,Sun Peso Maximizer - Primo 2,PHP,Y,26,A,SLPP2,Sun Peso Maximizer - Primo 2 Fund
2021-10-26,0.9937,true,2021-10-25,-6.3607,-7.6391,Sun Peso Maximizer - Primo 2,PHP,Y,26,A,SLPP2,Sun Peso Maximizer - Primo 2 Fund
2021-10-19,0.9944,true,2021-10-18,-5.2479,-7.574,Sun Peso Maximizer - Primo 2,PHP,Y,26,A,SLPP2,Sun Peso Maximizer - Primo 2 Fund
2021-10-12,1.0001,true,2021-10-11,-4.8792,-7.0442,Sun Peso Maximizer - Primo 2,PHP,Y,26,A,SLPP2,Sun Peso Maximizer - Primo 2 Fund
2021-10-05,1.0082,true,2021-10-04,-3.1415,-6.2914,Sun Peso Maximizer - Primo 2,PHP,Y,26,A,SLPP2,Sun Peso Maximizer - Primo 2 Fund
2021-09-28,1.0154,true,2021-09-27,-2.1018,-5.6221,Sun Peso Maximizer - Primo 2,PHP,Y,26,A,SLPP2,Sun Peso Maximizer - Primo 2 Fund
2021-09-21,1.0185,true,2021-09-20,-2.5266,-5.334,Sun Peso Maximizer - Primo 2,PHP,Y,26,A,SLPP2,Sun Peso Maximizer - Primo 2 Fund
2021-09-14,1.0248,true,2021-09-13,-2.1203,-4.7484,Sun Peso Maximizer - Primo 2,PHP,Y,26,A,SLPP2,Sun Peso Maximizer - Primo 2 Fund
2021-09-07,1.0144,true,2021-09-06,-3.3721,-5.7151,Sun Peso Maximizer - Primo 2,PHP,Y,26,A,SLPP2,Sun Peso Maximizer - Primo 2 Fund
